date,Monetary authority; SDR certificates issued by federal government; asset,Monetary authority; SDR certificates issued by federal government; asset,Federal government; Treasury currency; liability,Monetary authority; Treasury currency; asset,Instrument discrepancies; Treasury currency (seigniorage)
1945:Q4,0,0,2310,4183,-1873
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,0,0,2436,4406,-1970
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,0,0,2408,4406,-1998
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,0,0,2403,4433,-2030
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0,0,2384,4442,-2058
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,0,0,2374,4480,-2106
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
1951:Q4,0,0,2398,4553,-2155
1952:Q1,0,0,2413,4575,-2162
1952:Q2,0,0,2420,4598,-2178
1952:Q3,0,0,2429,4625,-2196
1952:Q4,0,0,2435,4656,-2221
1953:Q1,0,0,2438,4670,-2232
1953:Q2,0,0,2451,4698,-2247
1953:Q3,0,0,2458,4716,-2258
1953:Q4,0,0,2469,4738,-2269
1954:Q1,0,0,2491,4779,-2288
1954:Q2,0,0,2501,4803,-2302
1954:Q3,0,0,2503,4815,-2312
1954:Q4,0,0,2505,4829,-2324
1955:Q1,0,0,2508,4841,-2333
1955:Q2,0,0,2507,4846,-2339
1955:Q3,0,0,2507,4850,-2343
1955:Q4,0,0,2507,4852,-2345
1956:Q1,0,0,2509,4859,-2350
1956:Q2,0,0,2512,4876,-2364
1956:Q3,0,0,2517,4890,-2373
1956:Q4,0,0,2526,4910,-2384
1957:Q1,0,0,2533,4929,-2396
1957:Q2,0,0,2544,4951,-2407
1957:Q3,0,0,2552,4970,-2418
1957:Q4,0,0,2562,4990,-2428
1958:Q1,0,0,2578,5026,-2448
1958:Q2,0,0,2590,5047,-2457
1958:Q3,0,0,2593,5063,-2470
1958:Q4,0,0,2600,5078,-2478
1959:Q1,0,0,2606,5090,-2484
1959:Q2,0,0,2621,5123,-2502
1959:Q3,0,0,2626,5153,-2527
1959:Q4,0,0,2639,5155,-2516
1960:Q1,0,0,2652,5184,-2532
1960:Q2,0,0,2661,5198,-2537
1960:Q3,0,0,2673,5219,-2546
1960:Q4,0,0,2686,5242,-2556
1961:Q1,0,0,2691,5253,-2562
1961:Q2,0,0,2707,5281,-2574
1961:Q3,0,0,2723,5406,-2683
1961:Q4,0,0,2740,5429,-2689
1962:Q1,0,0,2748,5432,-2684
1962:Q2,0,0,2757,5442,-2685
1962:Q3,0,0,2749,5394,-2645
1962:Q4,0,0,2760,5411,-2651
1963:Q1,0,0,2769,5422,-2653
1963:Q2,0,0,2779,5431,-2652
1963:Q3,0,0,2788,5432,-2644
1963:Q4,0,0,2806,5422,-2616
1964:Q1,0,0,2825,5423,-2598
1964:Q2,0,0,2841,5422,-2581
1964:Q3,0,0,2855,5397,-2542
1964:Q4,0,0,2830,5249,-2419
1965:Q1,0,0,2864,5234,-2370
1965:Q2,0,0,2901,5256,-2355
1965:Q3,0,0,2949,5316,-2367
1965:Q4,0,0,3064,5419,-2355
1966:Q1,0,0,3242,5580,-2338
1966:Q2,0,0,3543,5822,-2279
1966:Q3,0,0,3740,5930,-2190
1966:Q4,0,0,3963,6161,-2198
1967:Q1,0,0,4176,6348,-2172
1967:Q2,0,0,4394,6456,-2062
1967:Q3,0,0,4560,6604,-2044
1967:Q4,0,0,4646,6628,-1982
1968:Q1,0,0,4870,6799,-1929
1968:Q2,0,0,4930,6708,-1778
1968:Q3,0,0,4976,6741,-1765
1968:Q4,0,0,5062,6795,-1733
1969:Q1,0,0,5108,6826,-1718
1969:Q2,0,0,5166,6736,-1570
1969:Q3,0,0,5198,6761,-1563
1969:Q4,0,0,5334,6848,-1514
1970:Q1,400,400,5397,6900,-1503
1970:Q2,400,400,5421,6986,-1565
1970:Q3,400,400,5492,7074,-1582
1970:Q4,400,400,5556,7149,-1593
1971:Q1,400,400,5654,7270,-1616
1971:Q2,400,400,5797,7420,-1623
1971:Q3,400,400,5911,7547,-1636
1971:Q4,400,400,6046,7627,-1581
1972:Q1,400,400,6219,7895,-1676
1972:Q2,400,400,6372,8066,-1694
1972:Q3,400,400,6483,8200,-1717
1972:Q4,400,400,6579,8313,-1734
1973:Q1,400,400,6667,8420,-1753
1973:Q2,400,400,6860,8531,-1671
1973:Q3,400,400,6924,8614,-1690
1973:Q4,400,400,7001,8716,-1715
1974:Q1,400,400,6988,8813,-1825
1974:Q2,400,400,7085,8924,-1839
1974:Q3,400,400,7188,9069,-1881
1974:Q4,400,400,7333,9252,-1919
1975:Q1,400,400,7500,9453,-1953
1975:Q2,500,500,7711,9687,-1976
1975:Q3,500,500,7910,9934,-2024
1975:Q4,500,500,8170,10218,-2048
1976:Q1,500,500,8318,10403,-2085
1976:Q2,500,500,8657,10558,-1901
1976:Q3,800,800,8556,10685,-2129
1976:Q4,1200,1200,8659,10820,-2161
1977:Q1,1200,1200,8648,10939,-2291
1977:Q2,1200,1200,8765,11081,-2316
1977:Q3,1200,1200,8864,11206,-2342
1977:Q4,1250,1250,8909,11331,-2422
1978:Q1,1250,1250,9045,11441,-2396
1978:Q2,1250,1250,9142,11565,-2423
1978:Q3,1300,1300,9271,11683,-2412
1978:Q4,1300,1300,9383,11831,-2448
1979:Q1,1300,1300,9659,12158,-2499
1979:Q2,1800,1800,9982,12525,-2543
1979:Q3,1800,1800,10262,12825,-2563
1979:Q4,1800,1800,10493,13091,-2598
1980:Q1,2968,2968,10709,13352,-2643
1980:Q2,3018,3018,10849,13523,-2674
1980:Q3,3268,3268,10925,13653,-2728
1980:Q4,2518,2518,11057,13832,-2775
1981:Q1,2818,2818,11167,14004,-2837
1981:Q2,3068,3068,11266,14158,-2892
1981:Q3,3318,3318,11374,14313,-2939
1981:Q4,3318,3318,11502,14482,-2980
1982:Q1,3568,3568,11606,14637,-3031
1982:Q2,3818,3818,11693,14777,-3084
1982:Q3,4218,4218,11764,14912,-3148
1982:Q4,4618,4618,11859,15043,-3184
1983:Q1,4618,4618,11971,15213,-3242
1983:Q2,4618,4618,12104,15392,-3288
1983:Q3,4618,4618,12241,15568,-3327
1983:Q4,4618,4618,12327,15732,-3405
1984:Q1,4618,4618,12501,15889,-3388
1984:Q2,4618,4618,12656,16113,-3457
1984:Q3,4618,4618,12739,16237,-3498
1984:Q4,4618,4618,12880,16418,-3538
1985:Q1,4618,4618,13157,16588,-3431
1985:Q2,4618,4618,13175,16783,-3608
1985:Q3,4618,4618,13255,16924,-3669
1985:Q4,4718,4718,13267,17052,-3785
1986:Q1,4718,4718,13478,17207,-3729
1986:Q2,4818,4818,13571,17330,-3759
1986:Q3,5018,5018,13647,17438,-3791
1986:Q4,5018,5018,13756,17567,-3811
1987:Q1,5018,5018,13884,17735,-3851
1987:Q2,5018,5018,13991,17889,-3898
1987:Q3,5018,5018,14105,18006,-3901
1987:Q4,5018,5018,14225,18177,-3952
1988:Q1,5018,5018,14354,18339,-3985
1988:Q2,5018,5018,14454,18501,-4047
1988:Q3,5018,5018,14574,18637,-4063
1988:Q4,5018,5018,14736,18799,-4063
1989:Q1,5368,5368,14876,19036,-4160
1989:Q2,8518,8518,15056,19253,-4197
1989:Q3,8518,8518,15166,19425,-4259
1989:Q4,8518,8518,15303,19627,-4324
1990:Q1,8518,8518,15453,19841,-4388
1990:Q2,8518,8518,15614,20066,-4452
1990:Q3,8518,8518,15713,20221,-4508
1990:Q4,10018,10018,16256,20402,-4146
1991:Q1,10018,10018,15958,20574,-4616
1991:Q2,10018,10018,16070,20749,-4679
1991:Q3,10018,10018,16170,20886,-4716
1991:Q4,10018,10018,16296,21014,-4718
1992:Q1,10018,10018,16314,21135,-4821
1992:Q2,10018,10018,16386,21253,-4867
1992:Q3,10018,10018,16433,21338,-4905
1992:Q4,8018,8018,16516,21447,-4931
1993:Q1,8018,8018,16588,21573,-4985
1993:Q2,8018,8018,16678,21705,-5027
1993:Q3,8018,8018,16784,21866,-5082
1993:Q4,8018,8018,16962,22095,-5133
1994:Q1,8018,8018,17126,22318,-5192
1994:Q2,8018,8018,17285,22528,-5243
1994:Q3,8018,8018,17477,22779,-5302
1994:Q4,8018,8018,17648,22994,-5346
1995:Q1,8018,8018,17832,23226,-5394
1995:Q2,8018,8018,18002,23490,-5488
1995:Q3,10168,10168,18199,23760,-5561
1995:Q4,10168,10168,18326,24003,-5677
1996:Q1,10168,10168,18325,24269,-5944
1996:Q2,10168,10168,18280,24520,-6240
1996:Q3,9718,9718,18866,24744,-5878
1996:Q4,9718,9718,18865,24966,-6101
1997:Q1,9200,9200,18974,25157,-6183
1997:Q2,9200,9200,19013,25274,-6261
1997:Q3,9200,9200,19326,25402,-6076
1997:Q4,9200,9200,19325,25543,-6218
1998:Q1,9200,9200,19405,25664,-6259
1998:Q2,9200,9200,19461,25786,-6325
1998:Q3,9200,9200,19886,25991,-6105
1998:Q4,9200,9200,19885,26270,-6385
1999:Q1,8200,8200,19885,26638,-6753
1999:Q2,8200,8200,20402,27004,-6602
1999:Q3,7200,7200,20902,27457,-6555
1999:Q4,6200,6200,20901,28013,-7112
2000:Q1,6200,6200,21441,29003,-7562
2000:Q2,4200,4200,22124,29979,-7855
2000:Q3,3200,3200,23181,30811,-7630
2000:Q4,2200,2200,23180,31643,-8463
2001:Q1,2200,2200,23578,32271,-8693
2001:Q2,2200,2200,23904,32670,-8766
2001:Q3,2200,2200,24462,32957,-8495
2001:Q4,2200,2200,24462,33017,-8555
2002:Q1,2200,2200,24696,33630,-8934
2002:Q2,2200,2200,24846,33995,-9149
2002:Q3,2200,2200,25450,34315,-8865
2002:Q4,2200,2200,25450,34597,-9147
2003:Q1,2200,2200,25591,34798,-9207
2003:Q2,2200,2200,25992,35065,-9073
2003:Q3,2200,2200,26015,35273,-9258
2003:Q4,2200,2200,26014,35468,-9454
2004:Q1,2200,2200,26210,35761,-9551
2004:Q2,2200,2200,26499,36039,-9540
2004:Q3,2200,2200,26673,36279,-9606
2004:Q4,2200,2200,26703,36434,-9731
2005:Q1,2200,2200,26902,36545,-9643
2005:Q2,2200,2200,27172,36615,-9443
2005:Q3,2200,2200,27401,36429,-9028
2005:Q4,2200,2200,27482,36540,-9058
2006:Q1,2200,2200,27626,37879,-10253
2006:Q2,2200,2200,27815,37990,-10175
2006:Q3,2200,2200,28065,38084,-10019
2006:Q4,2200,2200,28064,38206,-10142
2007:Q1,2200,2200,28166,38371,-10205
2007:Q2,2200,2200,27835,38521,-10686
2007:Q3,2200,2200,27484,38639,-11155
2007:Q4,2200,2200,27383,38681,-11298
2008:Q1,2200,2200,27156,38679,-11523
2008:Q2,2200,2200,27039,38677,-11638
2008:Q3,2200,2200,26742,38675,-11933
2008:Q4,2200,2200,26551,38674,-12123
2009:Q1,2200,2200,26550,42261,-15711
2009:Q2,2200,2200,26549,42427,-15878
2009:Q3,5200,5200,26299,42564,-16265
2009:Q4,5200,5200,26199,42691,-16492
2010:Q1,5200,5200,26199,42745,-16546
2010:Q2,5200,5200,26198,43205,-17007
2010:Q3,5200,5200,25923,43413,-17490
2010:Q4,5200,5200,25923,43542,-17619
2011:Q1,5200,5200,25923,43790,-17867
2011:Q2,5200,5200,25923,43953,-18030
2011:Q3,5200,5200,25923,44082,-18159
2011:Q4,5200,5200,25923,44198,-18275
2012:Q1,5200,5200,25923,44389,-18466
2012:Q2,5200,5200,25923,44517,-18594
2012:Q3,5200,5200,25923,44635,-18712
2012:Q4,5200,5200,25923,44751,-18828
2013:Q1,5200,5200,25923,44971,-19048
