date,Domestic financial sectors; net interbank transactions; liability,Monetary authority; net interbank transactions; liability,U.S.-chartered depository institutions; net interbank transactions; liability,Foreign banking offices in the U.S.; net interbank transactions; liability,Banks in U.S.-affiliated areas; net interbank transactions; liability,Credit unions; total net interbank transactions; liability,All sectors; total net interbank transactions; asset,Monetary authority; net interbank transactions ith all depository institutions; asset,U.S.-chartered depository institutions; vault cash and reserves at the Federal Reserve; asset,Foreign banking offices in the U.S.; vault cash and reserves at the Federal Reserve; asset,Banks in U.S.-affiliated areas; depository institution reserves; asset,Credit unions; depository institution reserves; asset,Rest of the world; net interbank transactions with banks in foreign countries; asset,Instrument discrepancies; net interbank transactions,Private depository institutions; vault cash; asset,U.S.-chartered depository institutions; vault cash; asset,Foreign banking offices in the U.S.; vault cash; asset,Monetary authority; depository institution reserves, excluding FHLB deposits; liability,U.S.-chartered depository institutions; depository institution reserves; asset,Foreign banking offices in the U.S.; depository institution reserves; asset,Banks in U.S.-affiliated areas; depository institution reserves; asset,Credit unions; depository institution reserves; asset,Monetary authority; net interbank transactions with U.S.-chartered depository institutions; asset,Monetary authority; loans to credit unions under the Paycheck Protection Program Liquidity Facility (PPPLF), assets,Monetary authority; net interbank transactions ith all depository institutions; asset,Monetary authority; Federal Reserve float; asset,Monetary authority; loans to depository institutions, including AMLF, MMLF, and PPPLF; asset,U.S.-chartered depository institutions; net interbank transactions with foreign affiliates including deposits at foreign banks; liability,U.S.-chartered depository institutions, including IBFs; interbank transactions due to foreign affiliates; liability,U.S.-chartered depository institutions, including IBFs; interbank transactions due from foreign affiliates; asset,Foreign banking offices in the U.S.; net interbank transactions with foreign affiliates including deposits at foreign banks; liability,Foreign banking offices in the U.S., including IBFs; interbank transactions due to foreign affiliates; liability,Foreign banking offices in the U.S., including IBFs; interbank transactions due from foreign affiliates; asset,Rest of the world; U.S. deposits at foreign banks; liability,U.S.-chartered depository institutions, including IBFs; deposits at foreign banks; asset,Foreign banking offices in the U.S., including IBFs; deposits at foreign banks; asset,Rest of the world; depository institution loans to foreign banks; liability,U.S.-chartered depository institutions, including IBFs; loans to foreign banks; asset,Foreign banking offices in the U.S., including IBFs; loans to foreign banks; asset,Rest of the world; loans to U.S. private depository institutions (IBFs); asset,International banking facilities of U.S.-chartered depository institutions; other borrowed money owed to nonrelated foreign banks; liability,International banking facilities of foreign banking offices in U.S.; other borrowed money owed to nonrelated foreign banks; liability,Rest of the world; net interbank transactions with banks in foreign countries; asset,U.S.-chartered depository institutions; net interbank transactions with U.S. banking; liability,U.S.-chartered depository institutions; interbank transactions due to U.S. banks; liability,Foreign banking offices in the U.S., including IBFs; interbank transactions due from U.S. depository institutions; asset,Banks in U.S.-affiliated areas; checkable deposits and currency; asset,Credit unions; interbank transactions due from U.S. depository institutions; asset,Foreign banking offices in the U.S.; interbank transactions due to U.S. banks; liability,Instrument discrepancies; net interbank transactions
1945:Q4,18409,17784,941,50,-182,-184,18888,780,17784,0,0,0,324,-479,1869,1869,0,15915,15915,0,0,0,780,0,780,578,202,411,411,0,56,106,50,45,41,4,98,90,8,0,0,0,324,-119,-100,13,182,184,19,-479
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,17703,18185,-205,87,-161,-203,18680,596,18185,0,0,0,-101,-977,2046,2046,0,16139,16139,0,0,0,596,0,596,580,16,195,195,0,119,177,58,73,70,3,342,327,15,0,0,0,-101,-599,-593,20,161,203,6,-977
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,19833,20115,-134,205,-159,-194,20685,569,20115,0,0,0,1,-852,2216,2216,0,17899,17899,0,0,0,569,0,569,535,34,250,250,0,244,310,66,160,156,4,333,313,20,0,0,0,1,-484,-471,28,159,194,13,-852
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,22148,22457,-313,346,-150,-192,23148,574,22457,0,0,0,117,-1000,1978,1978,0,20479,20479,0,0,0,574,0,574,541,33,262,262,0,403,485,82,152,149,3,396,370,26,0,0,0,117,-630,-617,41,150,192,13,-1000
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
