date,All sectors; total debt securities; liability,All sectors; open market paper; liability,Federal government; Treasury securities; liability,All sectors; U.S. government agency securities; liability,Domestic nonfinancial sectors; municipal securities; liability,All sectors; corporate and foreign bonds; liability,All sectors; total debt securities; liability,Domestic nonfinancial sectors; debt securities; liability,Nonprofit organizations; municipal securities; liability,Nonfinancial corporate business; debt securities; liability,Federal government; debt securities; liability,State and local governments; municipal securities; liability,Domestic financial sectors; debt securities; liability,U.S.-chartered depository institutions; debt securities; liability,Foreign banking offices in the U.S.; open market paper; liability,Government-sponsored enterprises; GSE issues; liability,Agency-and GSE-backed mortgage pools; total mortgages; asset,Issuers of asset-backed securities; debt securities; liability,Finance companies; debt securities; liability,Real estate investment trusts; debt securities; liability,Security brokers and dealers; corporate and foreign bonds; liability,Holding companies; debt securities; liability,Other financial business; debt securities; liability,Rest of the world; debt securities, excluding negotiable certificates of deposit; liability,All sectors; total debt securities; asset,Domestic nonfinancial sectors; debt securities; asset,Households and nonprofit organizations; debt securities; asset,Nonfinancial corporate business; debt securities; asset,Nonfinancial noncorporate business; debt securities; asset,Federal government; debt securities; asset,State and local governments; debt securities; asset,Domestic financial sectors; debt securities; asset,Monetary authority; debt securities; asset,U.S.-chartered depository institutions; debt securities; asset,Foreign banking offices in the U.S.; debt securities; asset,Banks in U.S.-affiliated areas; debt securities; asset,Credit unions; debt securities; asset,Property-casualty insurance companies; debt securities; asset,Life insurance companies; debt securities; asset,Private pension funds; debt securities; asset,Federal government retirement funds; debt securities; asset,State and local government employee defined benefit retirement funds retirement funds; debt securities; asset,Money market funds; debt securities; asset,Mutual funds; debt securities; asset (market value),Closed-end funds; debt securities; asset,Exchange-traded funds; debt securities; asset,Government-sponsored enterprises; debt securities; asset,Issuers of asset-backed securities; debt securities; asset,Finance companies; corporate and foreign bonds; asset,Real estate investment trusts; debt securities; asset,Security brokers and dealers; debt securities; asset,Holding companies; long-term debt securities; asset,Other financial business; debt securities; asset,Rest of the world; debt securities, excluding negotiable certificates of deposit; asset,Instrument discrepancies; debt securities (level)
1945:Q4,294652,315,254077,1181,12130,26949,294652,290515,0,24000,254385,12130,1224,125,31,873,0,0,195,0,0,0,0,2913,294652,105127,78843,18760,0,0,7524,186406,24262,112424,269,618,50,3438,32611,3851,2903,2508,0,187,194,0,351,0,0,0,2715,0,25,3119,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,273118,573,231201,1273,12199,27872,273118,268500,0,24995,231306,12199,1797,183,46,1168,0,0,400,0,0,0,0,2821,273118,96380,76489,13124,0,0,6767,174351,23350,98066,252,566,50,4032,35354,4100,3273,2766,0,219,200,0,356,0,0,0,1648,0,119,2387,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,271552,765,224830,1352,13810,30795,271552,266551,0,27843,224898,13810,2201,211,53,1284,0,0,653,0,0,0,0,2800,271552,96527,76315,12770,0,0,7442,171981,22559,93721,251,461,65,4764,36774,4351,4096,3087,0,224,260,0,325,0,0,0,905,0,138,3044,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,273266,936,219097,2478,15144,35611,273266,267293,0,32137,220012,15144,3093,210,52,1559,4,0,1268,0,0,0,0,2880,273266,98760,77229,13485,0,0,8046,171361,23333,87771,299,401,75,5670,38042,4600,4919,3506,0,255,280,0,453,0,0,0,1489,0,268,3145,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
