date,All sectors; open market paper; liability,All sectors; commercial paper; liability,Nonfinancial corporate business; commercial paper; liability,Rest of the world; commercial paper; liability,Rest of the world; commercial paper issued by nonfinancial firms; liability,Rest of the world; commercial paper issued by financial firms; liability,Domestic financial sectors; commercial paper; liability,U.S.-chartered depository institutions; asset-backed commercial paper; liability,Foreign banking offices in the U.S.; asset-backed commercial paper; liability,Issuers of asset-backed securities; commercial paper, excluding U.S.-chartered commercial banks' asset-backed commercial paper; liability,Finance companies; commercial paper; liability,Mortgage real estate investment trusts; commercial paper; liability,Holding companies; commercial paper; liability,Other financial business; commercial paper; liability,Private depository institutions; bankers' acceptances; liability,U.S.-chartered depository institutions; bankers' acceptances; liability,Foreign banking offices in the U.S.; bankers' acceptances; liability,All sectors; open market paper; liability,Nonfinancial corporate business; commercial paper; asset,State and local governments; commercial paper; asset,Monetary authority; bankers' acceptances; asset,U.S.-chartered depository institutions; open market paper; asset,Foreign banking offices in the U.S.; bankers' acceptances; asset,Credit unions; commercial paper held by Corporate Credit Unions; asset,Property-casualty insurance companies; commercial paper, including those held by U.S. residual market reinsurers; asset,Life insurance companies; commercial paper; asset,Private pension funds; total commercial paper; asset,State and local government employee defined benefit retirement funds; commercial paper; asset,Money market funds; open market paper; asset,Mutual funds; commercial paper; asset,Government-sponsored enterprises; commercial paper; asset,Security brokers and dealers; commercial paper; asset,Other financial business; commercial paper; asset,Rest of the world; commercial paper; asset
1945:Q4,315,159,95,0,0,0,64,0,0,0,64,0,0,0,156,125,31,315,0,0,0,210,13,0,0,0,0,0,0,25,0,0,25,42
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,573,344,137,0,0,0,207,0,0,0,207,0,0,0,229,183,46,573,32,0,0,304,25,0,0,0,0,0,0,35,0,0,119,58
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,765,501,172,0,0,0,329,0,0,0,329,0,0,0,264,211,53,765,129,0,0,366,32,0,0,0,0,0,0,36,0,0,138,64
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,936,674,166,0,0,0,508,0,0,0,508,0,0,0,262,210,52,936,180,0,0,298,42,0,0,0,0,0,0,35,0,0,268,113
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1113,838,162,0,0,0,676,0,0,0,676,0,0,0,275,220,55,1113,265,0,0,261,56,0,0,0,0,0,0,42,0,0,345,144
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1319,921,207,0,0,0,714,0,0,0,714,0,0,0,398,318,80,1319,143,0,0,368,66,0,0,0,0,0,0,49,0,0,491,202
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1828,1333,269,0,0,0,1064,0,0,0,1064,0,0,0,495,396,99,1828,90,0,0,427,84,0,0,0,0,0,0,72,0,0,862,293
1952:Q1,2109,1646,328,0,0,0,1318,0,0,0,1318,0,0,0,463,370,93,2109,138,0,0,461,98,0,0,0,0,0,0,77,0,0,1054,281
1952:Q2,2227,1807,304,0,0,0,1503,0,0,0,1503,0,0,0,420,336,84,2227,432,0,0,400,103,0,0,0,0,0,0,66,0,0,958,268
1952:Q3,2436,1977,346,0,0,0,1631,0,0,0,1631,0,0,0,459,367,92,2436,411,0,0,493,77,0,0,0,0,0,0,60,0,0,1107,288
1952:Q4,2246,1749,331,0,0,0,1418,0,0,0,1418,0,0,0,497,398,99,2246,195,0,0,472,97,0,0,0,0,0,0,67,0,0,1106,309
1953:Q1,2440,1980,370,0,0,0,1610,0,0,0,1610,0,0,0,460,368,92,2440,212,0,0,425,87,0,0,0,0,0,0,70,0,0,1340,306
1953:Q2,2248,1816,297,0,0,0,1519,0,0,0,1519,0,0,0,432,346,86,2248,194,0,0,331,84,0,0,0,0,0,0,61,0,0,1273,305
1953:Q3,2576,2056,347,0,0,0,1709,0,0,0,1709,0,0,0,520,416,104,2576,214,0,0,431,69,0,0,0,0,0,0,59,0,0,1447,356
1953:Q4,2624,2045,402,0,0,0,1643,0,0,0,1643,0,0,0,579,463,116,2624,204,0,0,477,90,0,0,0,0,0,0,78,0,0,1374,401
1954:Q1,2979,2393,525,0,0,0,1868,0,0,0,1868,0,0,0,586,469,117,2979,312,0,0,630,83,0,0,0,0,0,0,74,0,0,1498,382
1954:Q2,2839,2244,484,0,0,0,1760,0,0,0,1760,0,0,0,595,476,119,2839,338,0,0,614,81,0,0,0,0,0,0,69,0,0,1368,369
