date,Federal government; Treasury securities; liability,Federal government; marketable Treasury securities; liability,Federal government; Treasury bills; liability,Federal government; other marketable Treasury securities; liability,Federal government; long-term marketable Treasury securities issued to the Civil Service Retirement Fund through the Federal Financing Bank; liability,Federal government; nonmarketable Treasury securities; liability,Federal government; U.S. savings securities; liability,State and local governments; State and local government series securities (SLGS); asset,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan G Fund; asset,Federal government defined benefit retirement funds; nonmarketable Treasury securities; asset,Other financial business; nonmarketable Treasury securities held by Federal Reserve credit facility LLCs; asset,Federal government; other nonmarketable Treasury securities; liability,All sectors; Treasury securities; asset,Households and nonprofit organizations; Treasury securities; asset,Federal government; U.S. savings securities; liability,Households and nonprofit organizations; Treasury securities, excluding U.S. savings securities; asset,Nonfinancial corporate business; Treasury securities; asset,Nonfinancial noncorporate business; total U.S. government securities; asset,State and local governments; Treasury securities, including SLGS; asset,State and local governments; State and local government series securities (SLGS); asset,State and local governments; Treasury securities, excluding SLGS; asset,Monetary authority; total Treasury securities; asset,Monetary authority; Treasury bills; asset,Monetary authority; other Treasury securities, excluding Treasury bills; asset,U.S.-chartered depository institutions; Treasury securities; asset,Foreign banking offices in the U.S.; Treasury securities; asset,Banks in U.S.-affiliated areas; Treasury securities; asset,Credit unions; Treasury securities; asset,Property-casualty insurance companies; Treasury securities, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; Treasury bills, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; other Treasury securities, including those held by U.S. residual market reinsurers, excluding Treasury bills; asset,Life insurance companies; Treasury securities; asset,Life insurance companies; Treasury bills, including those held by U.S. captive reinsurers; asset,Life insurance companies; other Treasury securities, including those held by U.S. captive reinsurers, excluding Treasury bills; asset,Private pension funds; Treasury securities; asset,Private defined benefit pension funds; Treasury securities; asset,Private defined contribution pension funds; Treasury securities; asset,Federal government retirement funds; Treasury securities; asset,Federal government defined benefit retirement funds; Treasury securities; asset,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan; asset,State and local government employee defined benefit retirement funds; Treasury securities; asset,Money market funds; Treasury securities; asset,Money market funds; Treasury bills; asset,Money market funds; Other Treasury securities, excluding Treasury bills; asset,Mutual funds; Treasury securities; asset (market value),Mutual funds; Treasury bills; asset,Mutual funds; other Treasury securities, excluding Treasury bills (includes all Treasury securities before 2010:Q4); asset,Closed-end funds; Treasury securities; asset,Exchange-traded funds; Treasury securities; asset,Government-sponsored enterprises; Treasury securities; asset,Issuers of asset-backed securities; Treasury securities; asset,Security brokers and dealers; Treasury securities (net); asset,Holding companies; Treasury securities; asset,Other financial business; Treasury securities; asset,Rest of the world; Treasury securities; asset,Rest of the world; Treasury bills and certificates; asset,Rest of the world; other Treasury securities, excluding Treasury bills and certificates; asset,Instrument discrepancies; Treasury securities (level)
1945:Q4,254077,208239,55192,153047,0,45838,42935,0,0,2903,0,0,254077,66517,42935,23582,18508,0,5531,0,5531,24262,21195,3067,103721,236,599,50,2700,0,2700,20589,0,20589,2051,1538,513,2903,2903,0,1519,0,0,0,36,0,36,49,0,351,0,1881,0,0,2574,0,2574,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,231201,183777,47020,136757,0,47424,44151,0,0,3273,0,0,231201,65127,44151,20976,12779,0,5179,0,5179,23350,22241,1109,88563,192,534,50,3294,0,3294,21635,0,21635,2100,1575,525,3273,3273,0,1671,0,0,0,31,0,31,50,0,356,0,917,0,0,2100,0,2100,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,224830,174498,36356,138142,0,50332,46236,0,0,4096,0,0,224830,65065,46236,18829,12291,0,5890,0,5890,22559,18230,4329,82927,168,438,65,3885,0,3885,20040,0,20040,2151,1613,538,4096,4096,0,1860,0,0,0,43,0,43,65,0,325,0,262,0,0,2700,0,2700,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
