date,All sectors; corporate and foreign bonds; liability,Nonfinancial corporate business; corporate bonds; liability,Domestic financial sectors; corporate and foreign bonds; liability,U.S.-chartered depository institutions; corporate and foreign bonds; liability,Issuers of asset-backed securities; corporate and foreign bonds; liability,Finance companies; corporate and foreign bonds; liability,Real estate investment trusts; corporate and foreign bonds; liability,Security brokers and dealers; corporate and foreign bonds; liability,Holding companies; corporate and foreign bonds; liability,Other financial business; corporate and foreign bonds where the proceeds are down-streamed to broker-dealer subsidiaries by investment banks that are holding-company parents; liability,Rest of the world; bonds; liability,All sectors; corporate and foreign bonds; asset,Households and nonprofit organizations; corporate and foreign bonds; asset,Federal government; corporate bonds issued by commercial banking under TARP; asset,State and local governments; corporate and foreign bonds; asset,U.S.-chartered depository institutions, including IBFs; corporate and foreign bonds; asset,U.S.-chartered depository institutions; private MBS and CMOs; asset,U.S.-chartered depository institutions, including IBFs; corporate and foreign bonds, excluding private MBS and CMOs; asset,Foreign banking offices in the U.S., including IBFs; corporate and foreign bonds; asset,Banks in U.S.-affiliated areas; corporate and foreign bonds; asset,Credit unions; corporate and foreign bonds; asset,Credit unions; mortgage-backed securities and other asset-backed bonds; asset,Credit unions; corporate and foreign bonds, excluding mortgage-backed securities and other asset-backed bonds; asset,Property-casualty insurance companies; corporate and foreign bonds, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; mortgage-backed securities and other asset-backed bonds, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; corporate and foreign bonds, excluding mortgage-backed securities and other asset-backed bonds; asset,Life insurance companies; corporate and foreign bonds; asset,Life insurance companies, general accounts; mortgage-backed securities and other asset-backed bonds, including those held by U.S. captive reinsurers; asset,Life insurance companies; corporate and foreign bonds, excluding mortgage-backed securities and other asset-backed bonds; asset,Private pension funds; corporate and foreign bonds; asset,Federal government retirement funds; corporate and foreign bonds; asset,State and local government employee defined benefit retirement funds; corporate and foreign bonds; asset,Money market funds; corporate and foreign bonds; asset,Mutual funds; corporate and foreign bonds; asset (market value),Closed-end funds; corporate and foreign bonds; asset,Exchange-traded funds; corporate and foreign bonds; asset,Government-sponsored enterprises; corporate and foreign bonds; asset,Government-sponsored enterprises; mortgage-backed securities and other asset-backed bonds; asset,Government-sponsored enterprises; corporate and foreign bonds, excluding mortgage-backed securities and other asset-backed bonds; asset,Finance companies; corporate and foreign bonds; asset,Real estate investment trusts; corporate and foreign bonds; asset,Security brokers and dealers; corporate and foreign bonds (net); asset,Holding companies; corporate and foreign bonds; asset,Other financial business; corporate and foreign bonds, including financial stabilization programs; asset,Rest of the world; corporate bonds; asset,Rest of the world; U.S. mortgage-backed securities and other U.S. asset-backed bonds; asset,Rest of the world: U.S. corporate bonds, excluding mortgage-backed securities and other asset-backed bonds; asset,Instrument discrepancies; corporate and foreign bonds (level)
1945:Q4,26949,23905,131,0,0,131,0,0,0,0,2913,26949,8396,0,0,3544,0,3544,12,0,0,0,0,489,0,489,11300,0,11300,1800,0,140,0,126,145,0,0,0,0,0,0,494,0,0,503,0,503,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,27872,24858,193,0,0,193,0,0,0,0,2821,27872,7452,0,0,3695,0,3695,21,15,0,0,0,501,0,501,13105,0,13105,2000,0,160,0,153,150,0,0,0,0,0,0,391,0,0,229,0,229,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,30795,27671,324,0,0,324,0,0,0,0,2800,30795,6644,0,0,4017,0,4017,31,4,0,0,0,564,0,564,16125,0,16125,2200,0,190,0,145,195,0,0,0,0,0,0,400,0,0,280,0,280,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,35611,31971,760,0,0,760,0,0,0,0,2880,35611,6688,0,0,4131,0,4131,40,15,0,0,0,713,0,713,20358,0,20358,2400,0,267,0,155,210,0,0,0,0,0,0,402,0,0,232,0,232,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
