date,All sectors; multifamily residential mortgages; asset,Nonfinancial corporate business; multifamily residential mortgages; liability,Nonfinancial noncorporate business; multifamily residential mortgages; liability,Federal government; multifamily residential mortgages; liability,Equity real estate investment trusts; multifamily residential mortgages; liability,All sectors; multifamily residential mortgages; asset,Households and nonprofit organizations; multifamily residential mortgages; asset,Nonfinancial corporate business; multifamily residential mortgages; asset,Nonfinancial noncorporate business; multifamily residential mortgages; asset,Federal government; multifamily residential mortgages; asset,State and local governments; multifamily residential mortgages; asset,U.S.-chartered depository institutions; multifamily residential mortgages; asset,Foreign banking offices in the U.S.; multifamily residential mortgages; asset,Life insurance companies; multifamily residential mortgages; asset,Private pension funds; multifamily residential mortgages; asset,State and local government employee defined benefit retirement funds; multifamily residential mortgages; asset,Government-sponsored enterprises; multifamily residential mortgages; asset,Agency-and GSE-backed mortgage pools; multifamily residential mortgages; asset,Issuers of asset-backed securities; multifamily residential mortgages; asset,Finance companies; multifamily residential mortgages; asset,Real estate investment trusts; multifamily residential mortgages; asset
1945:Q4,4922,246,4676,0,0,4922,1393,0,0,8,0,2105,0,1400,0,6,0,0,0,10,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,5270,264,5007,0,0,5270,1505,0,0,6,0,2251,0,1470,7,7,0,0,0,24,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5787,289,5498,0,0,5787,1712,0,0,6,0,2444,0,1573,13,9,0,0,0,30,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,6662,333,6329,0,0,6662,1961,0,0,8,0,2788,0,1846,19,12,0,0,0,28,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,7829,391,7438,0,0,7829,2287,0,0,28,0,3136,0,2296,25,18,0,0,0,39,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,9301,465,8836,0,0,9301,2605,0,0,40,0,3921,0,2615,31,26,0,0,0,63,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,10642,532,10110,0,0,10642,2865,0,0,60,0,4564,0,3031,37,36,0,0,0,49,0
1952:Q1,10820,541,10279,0,0,10820,2983,0,0,65,0,4519,0,3111,38,39,0,0,0,65,0
1952:Q2,11037,552,10485,0,0,11037,3050,0,0,68,0,4597,0,3170,40,42,0,0,0,70,0
1952:Q3,11275,564,10711,0,0,11275,3111,0,0,75,0,4693,0,3231,43,45,0,0,0,77,0
1952:Q4,11481,574,10907,0,0,11481,3175,0,0,74,0,4771,0,3288,45,48,0,0,0,80,0
1953:Q1,11587,579,11008,0,0,11587,3228,0,0,96,0,4795,0,3305,48,52,0,0,0,63,0
1953:Q2,11766,588,11178,0,0,11766,3280,0,0,120,0,4868,0,3320,51,56,0,0,0,71,0
1953:Q3,11934,597,11337,0,0,11934,3326,0,0,159,0,4919,0,3332,54,59,0,0,0,85,0
1953:Q4,12121,606,11515,0,0,12121,3403,0,0,184,0,4971,0,3363,57,64,0,0,0,79,0
1954:Q1,12174,609,11565,0,0,12174,3466,0,0,158,0,4972,0,3369,60,68,0,0,0,81,0
1954:Q2,12312,616,11696,0,0,12312,3535,0,0,183,0,4999,0,3376,62,73,0,0,0,84,0
1954:Q3,12452,623,11829,0,0,12452,3590,0,0,251,0,4990,0,3385,65,78,0,0,0,93,0
1954:Q4,12665,633,12032,0,0,12665,3688,0,0,268,0,5054,0,3404,69,83,0,0,0,99,0
1955:Q1,12782,639,12143,0,0,12782,3776,0,0,295,0,5005,0,3436,73,88,0,0,0,109,0
1955:Q2,12989,649,12340,0,0,12989,3859,0,0,325,0,5053,0,3456,78,93,0,0,0,125,0
1955:Q3,13179,659,12520,0,0,13179,3940,0,0,337,0,5091,0,3480,83,98,0,0,0,150,0
1955:Q4,13490,675,12816,0,0,13490,4055,0,0,383,0,5157,0,3552,90,103,0,0,0,150,0
1956:Q1,13657,683,12974,0,0,13657,4149,0,0,398,0,5184,0,3579,98,109,1,0,0,139,0
1956:Q2,13827,691,13136,0,0,13827,4261,0,0,413,0,5195,0,3603,106,113,1,0,0,135,0
1956:Q3,13972,699,13273,0,0,13972,4361,0,0,417,0,5209,0,3610,115,119,0,0,0,141,0
1956:Q4,14064,703,13361,0,0,14064,4443,0,0,426,0,5200,0,3615,124,126,0,0,0,130,0
1957:Q1,14085,704,13381,0,0,14085,4519,0,0,444,0,5171,0,3578,132,135,0,0,0,106,0
1957:Q2,14182,709,13473,0,0,14182,4616,0,0,450,0,5185,0,3549,140,146,0,0,0,96,0
1957:Q3,14379,717,13614,48,0,14379,4772,0,0,452,0,5206,0,3547,149,158,0,0,0,95,0
1957:Q4,14611,726,13789,96,0,14611,4915,0,0,469,0,5255,0,3551,158,171,0,0,0,92,0
1958:Q1,15025,740,14063,222,0,15025,5168,0,0,485,1,5365,0,3550,168,185,0,0,0,103,0
1958:Q2,15517,759,14412,347,0,15517,5469,0,0,500,3,5505,0,3549,178,199,0,0,0,114,0
1958:Q3,16020,779,14802,439,0,16020,5735,0,0,513,5,5690,0,3548,189,215,0,0,0,125,0
1958:Q4,16565,802,15231,532,0,16565,5984,0,0,603,6,5854,0,3547,202,233,0,0,0,136,0
1959:Q1,17132,828,15723,581,0,17132,6204,0,0,698,7,5996,0,3611,217,251,0,0,0,148,0
1959:Q2,17679,852,16195,632,0,17679,6457,0,0,777,8,6138,0,3656,233,268,0,0,0,142,0
1959:Q3,18212,874,16599,739,0,18212,6727,0,0,851,9,6287,0,3648,250,288,0,0,0,152,0
1959:Q4,18700,893,16960,847,0,18700,6985,0,0,904,12,6392,0,3666,268,313,0,0,0,160,0
1960:Q1,19199,913,17339,947,0,19199,7227,0,0,939,14,6480,0,3741,289,345,0,0,0,164,0
1960:Q2,19702,933,17720,1049,0,19702,7438,0,0,971,15,6647,0,3784,311,382,0,0,0,154,0
1960:Q3,20293,957,18186,1150,0,20293,7662,0,0,996,18,6859,0,3840,333,421,1,0,0,163,0
1960:Q4,20786,977,18557,1252,0,20786,7867,0,0,1024,26,7034,0,3865,353,458,2,0,0,157,0
1961:Q1,21424,1006,19112,1306,0,21424,8080,0,0,1039,37,7272,0,3968,373,495,2,0,0,158,0
1961:Q2,21943,1029,19554,1360,0,21943,8245,0,0,1059,52,7500,0,3999,389,532,2,0,0,165,0
1961:Q3,22790,1069,20304,1417,0,22790,8481,0,0,1087,70,7901,0,4079,407,569,2,0,0,194,0
1961:Q4,23622,1107,21041,1474,0,23622,8765,0,0,1107,91,8153,0,4250,427,603,2,0,0,224,0
1962:Q1,24218,1133,21531,1554,0,24218,8806,0,0,1109,115,8580,0,4306,448,633,3,0,0,218,0
1962:Q2,24937,1165,22137,1635,0,24937,8901,0,0,1146,142,8992,0,4376,469,660,8,0,0,243,0
1962:Q3,25769,1204,22882,1683,0,25769,8991,0,0,1138,173,9547,0,4462,492,687,8,0,0,271,0
1962:Q4,26732,1250,23748,1734,0,26732,9072,0,0,1138,209,10046,0,4748,516,716,12,0,0,275,0
1963:Q1,27382,1281,24342,1759,0,27382,9099,0,0,1105,250,10525,0,4832,539,745,12,0,0,275,0
1963:Q2,28202,1321,25095,1786,0,28202,9098,0,0,1090,296,11100,0,4966,561,774,12,0,0,305,0
1963:Q3,28994,1360,25844,1790,0,28994,9041,0,0,1057,345,11685,0,5124,584,804,11,1,0,342,0
1963:Q4,30024,1411,26817,1796,0,30024,9036,0,0,1055,394,12366,0,5343,614,838,12,1,0,365,0
1964:Q1,30936,1457,27686,1793,0,30936,9009,0,0,1064,445,12771,0,5749,654,873,11,1,0,359,0
1964:Q2,32095,1515,28793,1787,0,32095,8973,0,0,1085,500,13333,0,6188,698,910,11,1,0,396,0
1964:Q3,33313,1575,29933,1805,0,33313,8990,0,0,1066,554,13927,0,6656,739,950,11,2,0,418,0
1964:Q4,34578,1638,31114,1826,0,34578,9001,0,0,1042,605,14476,0,7236,781,997,11,2,0,427,0
1965:Q1,35384,1677,31857,1850,0,35384,8907,0,0,1006,653,14892,0,7607,822,1048,11,2,0,436,0
1965:Q2,36300,1721,32703,1876,0,36300,8781,0,0,959,700,15412,0,7981,894,1103,11,2,0,457,0
1965:Q3,37243,1769,33613,1861,0,37243,8622,0,0,979,744,15956,0,8338,930,1162,11,3,0,498,0
