date,All sectors; commercial mortgages; asset,Nonprofit organizations; commercial mortgages; liability,Nonfinancial corporate business; commercial mortgages; liability,Nonfinancial noncorporate business; commercial mortgages; liability,Equity real estate investment trusts; commercial mortgages; liability,All sectors; commercial mortgages; asset,Households and nonprofit organizations; commercial mortgages; asset,Nonfinancial corporate business; commercial mortgages; asset,Nonfinancial noncorporate business; commercial mortgages; asset,Federal government; commercial mortgages; asset,State and local governments; commercial mortgages; asset,U.S.-chartered depository institutions; commercial mortgages; asset,Foreign banking offices in the U.S.; commercial mortgages; asset,Banks in U.S.-affiliated areas; commercial mortgages; asset,Property-casualty insurance companies; commercial mortgages, including those held by U.S. residual market reinsurers; asset,Life insurance companies; commercial mortgages; asset,Private pension funds; commercial mortgages; asset,State and local government employee defined benefit retirement funds; commercial mortgages; asset,Agency-and GSE-backed mortgage pools; commercial mortgages; asset,Issuers of asset-backed securities; commercial mortgages; asset,Finance companies; commercial mortgages; asset,Real estate investment trusts; commercial mortgages; asset
1945:Q4,7465,316,8197,-1048,0,7465,3450,5,0,15,0,1776,0,5,56,2154,0,2,0,0,2,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,8765,414,8972,-621,0,8765,3935,10,0,9,0,2379,0,10,61,2345,7,3,0,0,6,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,10080,506,10102,-528,0,10080,4452,16,0,7,0,2786,0,16,69,2710,13,3,0,0,8,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,11196,721,11094,-619,0,11196,4757,30,0,7,0,3211,0,30,76,3054,18,5,0,0,8,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,11865,966,11676,-777,0,11865,4881,24,0,0,0,3423,0,24,93,3379,24,7,0,0,10,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,12486,1266,12045,-825,0,12486,4881,23,0,5,0,3717,0,23,104,3682,28,9,0,0,14,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,13488,1569,12562,-643,0,13488,4991,26,0,5,0,4121,0,26,118,4146,32,12,0,0,11,0
