date,All sectors; farm mortgages; asset,Corporate farm business; farm mortgages; liability,Noncorporate farm business; farm mortgages; liability,All sectors; farm mortgages; asset,Households and nonprofit organizations; farm mortgages; asset,Nonfinancial noncorporate business; farm mortgages; asset,Federal government; farm mortgages; asset,State and local governments; farm mortgages; asset,U.S.-chartered depository institutions; farm mortgages; asset (USDA),Foreign banking offices in the U.S.; farm mortgages; asset,Life insurance companies; farm mortgages on farm land; asset,State and local government employee defined benefit retirement funds; farm mortgages; asset,Government-sponsored enterprises; farm mortgages; asset,Agency-and GSE-backed mortgage pools; farm mortgages; asset
1945:Q4,4760,98,4662,4760,1955,0,467,0,524,0,776,3,1035,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,4897,100,4797,4897,2080,0,357,0,704,0,795,2,959,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5064,104,4960,5064,2149,0,307,0,824,0,895,2,887,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,5288,108,5180,5288,2276,0,266,4,874,0,990,2,872,4
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,5579,114,5465,5579,2355,0,253,10,909,0,1138,2,905,7
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,6071,124,5947,6071,2513,0,260,16,968,0,1327,3,952,32
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6651,135,6516,6651,2789,0,250,23,1004,0,1527,5,1010,43
1952:Q1,6814,143,6671,6814,2799,0,300,33,1030,0,1574,5,1028,45
1952:Q2,7021,152,6869,7021,2880,0,309,38,1063,0,1632,6,1046,47
1952:Q3,7134,156,6978,7134,2915,0,320,44,1060,0,1671,6,1068,50
1952:Q4,7236,154,7082,7236,2943,0,330,49,1058,0,1705,7,1091,53
1953:Q1,7396,165,7231,7396,3000,0,335,54,1080,0,1751,7,1114,55
1953:Q2,7587,171,7416,7587,3070,0,340,60,1104,0,1814,7,1136,56
1953:Q3,7667,171,7496,7667,3089,0,346,66,1090,0,1853,7,1158,58
1953:Q4,7737,171,7566,7737,3098,0,352,72,1082,0,1886,7,1180,60
1954:Q1,7916,179,7737,7916,3169,0,354,78,1100,0,1935,8,1211,61
1954:Q2,8116,187,7929,8116,3234,0,356,84,1140,0,1989,9,1242,62
1954:Q3,8187,191,7996,8187,3219,0,367,90,1150,0,2021,8,1262,70
