date,Households and nonprofit organizations; proprietors' equity in noncorporate business,Nonfinancial noncorporate business; proprietors' equity in noncorporate business,Security brokers and dealers; proprietors' equity in noncorporate business
1945:Q4,197385,197385,0
1946:Q1,ND,ND,ND
1946:Q2,ND,ND,ND
1946:Q3,ND,ND,ND
1946:Q4,234182,234182,0
1947:Q1,ND,ND,ND
1947:Q2,ND,ND,ND
1947:Q3,ND,ND,ND
1947:Q4,267381,267381,0
1948:Q1,ND,ND,ND
1948:Q2,ND,ND,ND
1948:Q3,ND,ND,ND
1948:Q4,283080,283080,0
1949:Q1,ND,ND,ND
1949:Q2,ND,ND,ND
1949:Q3,ND,ND,ND
1949:Q4,284819,284819,0
1950:Q1,ND,ND,ND
1950:Q2,ND,ND,ND
1950:Q3,ND,ND,ND
1950:Q4,301720,301720,0
1951:Q1,ND,ND,ND
1951:Q2,ND,ND,ND
1951:Q3,ND,ND,ND
1951:Q4,328513,328513,0
1952:Q1,331583,331583,0
1952:Q2,332500,332500,0
1952:Q3,332818,332818,0
1952:Q4,330657,330657,0
1953:Q1,329100,329100,0
1953:Q2,327734,327734,0
1953:Q3,328684,328684,0
1953:Q4,330217,330217,0
1954:Q1,330437,330437,0
1954:Q2,330343,330343,0
1954:Q3,331712,331712,0
1954:Q4,333828,333828,0
1955:Q1,335800,335800,0
1955:Q2,336409,336409,0
1955:Q3,339574,339574,0
1955:Q4,343802,343802,0
1956:Q1,349606,349606,0
1956:Q2,354355,354355,0
1956:Q3,357938,357938,0
1956:Q4,360825,360825,0
1957:Q1,364546,364546,0
1957:Q2,367266,367266,0
1957:Q3,371022,371022,0
1957:Q4,373178,373178,0
1958:Q1,379184,379184,0
1958:Q2,382510,382510,0
1958:Q3,385537,385537,0
1958:Q4,387265,387265,0
1959:Q1,387979,387979,0
1959:Q2,387553,387553,0
1959:Q3,387255,387255,0
1959:Q4,388616,388616,0
1960:Q1,391557,391557,0
1960:Q2,392612,392612,0
1960:Q3,395557,395557,0
1960:Q4,398552,398552,0
1961:Q1,400869,400869,0
1961:Q2,404523,404523,0
1961:Q3,409730,409730,0
1961:Q4,415779,415779,0
1962:Q1,420714,420714,0
1962:Q2,423947,423947,0
1962:Q3,428809,428809,0
1962:Q4,432848,432848,0
1963:Q1,434808,434808,0
1963:Q2,434919,434919,0
1963:Q3,434892,434892,0
1963:Q4,438463,438463,0
1964:Q1,439360,439360,0
1964:Q2,444667,444667,0
1964:Q3,449036,449036,0
1964:Q4,458148,458148,0
1965:Q1,463179,463179,0
1965:Q2,468063,468063,0
1965:Q3,471930,471930,0
1965:Q4,485038,485038,0
1966:Q1,487739,487739,0
1966:Q2,501720,501720,0
1966:Q3,507723,507723,0
1966:Q4,518534,518534,0
1967:Q1,522811,522811,0
1967:Q2,528319,528319,0
1967:Q3,533651,533651,0
1967:Q4,543197,543197,0
1968:Q1,556272,556272,0
1968:Q2,564493,564493,0
1968:Q3,571546,571546,0
1968:Q4,588293,588293,0
1969:Q1,599729,599729,0
1969:Q2,608676,608676,0
1969:Q3,612644,612644,0
1969:Q4,623263,623263,0
1970:Q1,632629,632629,0
1970:Q2,650391,650391,0
1970:Q3,645880,645880,0
1970:Q4,654582,654582,0
1971:Q1,674669,674669,0
1971:Q2,689717,689717,0
1971:Q3,705146,705146,0
1971:Q4,720885,720885,0
1972:Q1,742592,742592,0
1972:Q2,756530,756530,0
1972:Q3,776772,776772,0
1972:Q4,802061,802061,0
1973:Q1,829893,829636,257
1973:Q2,863382,862876,506
1973:Q3,904991,904256,735
1973:Q4,938100,937150,950
1974:Q1,957695,956549,1146
1974:Q2,977985,976642,1343
1974:Q3,1020052,1018522,1530
1974:Q4,1051035,1049329,1706
1975:Q1,1079878,1078049,1829
1975:Q2,1109649,1107728,1921
1975:Q3,1128199,1126184,2015
1975:Q4,1149585,1147450,2135
1976:Q1,1169734,1167897,1837
1976:Q2,1212591,1210730,1861
1976:Q3,1241282,1239483,1799
1976:Q4,1279516,1277573,1943
1977:Q1,1314418,1312615,1803
1977:Q2,1347783,1345856,1927
1977:Q3,1392177,1390300,1877
1977:Q4,1443281,1441570,1711
1978:Q1,1505366,1503508,1858
1978:Q2,1562981,1561044,1937
1978:Q3,1616970,1614888,2082
1978:Q4,1675021,1673048,1973
1979:Q1,1750402,1748337,2065
1979:Q2,1816156,1813841,2315
1979:Q3,1883997,1881502,2495
1979:Q4,1944230,1941536,2694
1980:Q1,1994161,1992567,1594
1980:Q2,2051929,2049893,2036
1980:Q3,2116169,2114147,2022
1980:Q4,2187657,2185485,2172
1981:Q1,2239474,2237123,2351
1981:Q2,2281109,2278620,2489
1981:Q3,2308710,2306451,2259
1981:Q4,2345345,2343154,2191
1982:Q1,2378741,2376549,2192
1982:Q2,2389915,2387628,2287
1982:Q3,2384812,2382280,2532
1982:Q4,2388477,2385483,2994
1983:Q1,2410887,2407716,3171
1983:Q2,2406275,2402873,3402
1983:Q3,2415692,2412284,3408
1983:Q4,2446913,2443271,3642
1984:Q1,2453505,2449819,3686
1984:Q2,2443005,2439683,3322
1984:Q3,2439225,2435404,3821
1984:Q4,2445062,2441096,3966
1985:Q1,2448785,2444501,4284
1985:Q2,2434439,2429887,4552
1985:Q3,2446727,2442003,4724
1985:Q4,2508609,2503891,4718
1986:Q1,2544888,2539603,5285
1986:Q2,2565459,2559302,6157
1986:Q3,2599510,2593374,6136
1986:Q4,2626877,2620479,6398
1987:Q1,2657069,2649877,7192
1987:Q2,2675848,2668792,7056
1987:Q3,2696526,2689248,7278
1987:Q4,2733335,2727458,5877
1988:Q1,2777698,2771353,6345
1988:Q2,2812757,2806257,6500
1988:Q3,2842807,2836143,6664
1988:Q4,2877596,2871018,6578
1989:Q1,2918625,2911976,6649
1989:Q2,2954344,2948156,6188
1989:Q3,2969626,2963151,6475
1989:Q4,2996830,2991042,5788
1990:Q1,3027627,3021902,5725
1990:Q2,3049055,3043558,5497
1990:Q3,3071736,3066511,5225
1990:Q4,3094665,3090141,4524
1991:Q1,3093285,3088281,5004
1991:Q2,3087788,3082602,5186
1991:Q3,3071083,3065439,5644
1991:Q4,3049449,3043769,5680
1992:Q1,3044060,3038375,5685
1992:Q2,3033546,3028025,5521
1992:Q3,3033615,3027567,6048
1992:Q4,3028470,3022581,5889
1993:Q1,3074201,3067326,6875
1993:Q2,3100536,3094020,6516
1993:Q3,3137978,3130723,7255
1993:Q4,3182168,3175202,6966
1994:Q1,3248318,3241336,6982
1994:Q2,3311081,3304729,6352
1994:Q3,3351100,3344650,6450
1994:Q4,3406836,3400968,5868
1995:Q1,3449800,3443626,6174
1995:Q2,3485003,3479007,5996
1995:Q3,3535535,3528635,6900
1995:Q4,3586731,3579726,7005
1996:Q1,3614143,3606444,7699
1996:Q2,3618108,3610599,7509
1996:Q3,3646705,3638733,7972
1996:Q4,3712739,3704902,7837
1997:Q1,3846669,3837771,8898
1997:Q2,3891411,3881296,10115
1997:Q3,3964934,3953775,11159
1997:Q4,4079212,4068301,10911
1998:Q1,4206072,4194326,11746
1998:Q2,4210355,4198916,11439
1998:Q3,4292634,4281451,11183
1998:Q4,4333716,4322459,11257
1999:Q1,4329937,4318548,11389
1999:Q2,4359571,4347786,11785
1999:Q3,4507640,4495492,12148
1999:Q4,4593536,4579762,13774
2000:Q1,4613443,4599432,14011
2000:Q2,4647433,4632529,14904
2000:Q3,4863289,4848729,14560
2000:Q4,4987508,4972899,14609
2001:Q1,5060923,5044477,16446
2001:Q2,5121908,5104055,17853
2001:Q3,5189789,5171447,18342
2001:Q4,5192715,5173483,19232
2002:Q1,5222831,5204518,18313
2002:Q2,5276973,5258776,18197
2002:Q3,5346067,5328123,17944
2002:Q4,5209011,5190416,18595
2003:Q1,5369950,5351984,17966
2003:Q2,5476941,5458218,18723
2003:Q3,5592283,5573556,18727
2003:Q4,5667793,5648717,19076
2004:Q1,5835522,5817943,17579
2004:Q2,6142294,6124930,17364
2004:Q3,6477724,6459531,18193
2004:Q4,6699334,6680524,18810
2005:Q1,6825603,6806513,19090
2005:Q2,7092651,7073712,18939
2005:Q3,7389680,7370928,18752
2005:Q4,7635949,7616984,18965
2006:Q1,7741119,7721708,19411
2006:Q2,7902067,7883099,18968
2006:Q3,8127121,8108349,18772
2006:Q4,8274180,8257203,16977
2007:Q1,8347988,8328081,19907
2007:Q2,8416877,8396382,20495
2007:Q3,8470025,8448922,21103
2007:Q4,8404333,8382103,22230
2008:Q1,8028889,8006115,22774
2008:Q2,7715090,7692174,22916
2008:Q3,7553226,7529200,24026
2008:Q4,7128451,7106666,21785
2009:Q1,6802409,6777756,24653
2009:Q2,6272332,6250810,21522
2009:Q3,5953639,5932685,20954
2009:Q4,5877573,5854538,23035
2010:Q1,5884095,5860211,23884
2010:Q2,6187865,6164220,23645
2010:Q3,6350846,6326267,24579
2010:Q4,6469400,6440203,29197
2011:Q1,6549217,6521785,27432
2011:Q2,6602221,6574469,27752
2011:Q3,6657580,6631140,26440
2011:Q4,6797492,6770046,27446
2012:Q1,6875458,6838404,37054
2012:Q2,6951714,6914235,37479
2012:Q3,7166834,7128746,38088
2012:Q4,7321380,7283494,37886
2013:Q1,7469749,7431050,38699
2013:Q2,7749011,7709775,39236
2013:Q3,8073158,8036569,36589
2013:Q4,8301072,8260278,40794
2014:Q1,8319259,8276855,42404
2014:Q2,8451427,8407963,43464
2014:Q3,8715040,8670680,44360
2014:Q4,8966485,8921364,45121
2015:Q1,9197108,9151690,45418
2015:Q2,9376460,9331001,45459
2015:Q3,9516765,9467054,49711
2015:Q4,9630456,9580052,50404
2016:Q1,9597922,9546285,51637
2016:Q2,9700060,9648668,51392
2016:Q3,9922873,9853235,69638
2016:Q4,9977186,9909445,67741
2017:Q1,10029769,9960251,69518
2017:Q2,10297327,10228662,68665
2017:Q3,10508895,10438871,70024
2017:Q4,10796516,10727823,68693
2018:Q1,10861566,10787376,74190
2018:Q2,11142373,11065851,76522
2018:Q3,11146162,11067434,78728
2018:Q4,11218872,11140642,78230
2019:Q1,11385733,11307328,78405
2019:Q2,11676084,11597688,78396
2019:Q3,11897895,11817301,80594
2019:Q4,11939529,11856054,83475
2020:Q1,12078615,11993806,84809
2020:Q2,12234373,12145920,88453
2020:Q3,12476004,12388919,87085
2020:Q4,12891194,12800860,90334
2021:Q1,13174978,13081199,93779
2021:Q2,13810196,13712221,97975
2021:Q3,14592181,14492556,99625
2021:Q4,15125070,15022840,102230
