date,All sectors; unidentified miscellaneous liabilities,Nonfinancial corporate business; unidentified miscellaneous liabilities,Nonfinancial noncorporate business; unidentified miscellaneous liabilities,Federal government; liability due to FICO,Monetary authority; unidentified miscellaneous liabilities,U.S.-chartered depository institutions, including IBFs; unidentified miscellaneous liabilities,Foreign banking offices in the U.S., including IBFs; unidentified miscellaneous liability,Banks in U.S.-affiliated areas; unidentified miscellaneous liabilities,Credit unions; unidentified miscellaneous liabilities,Property-casualty insurance companies; unidentified miscellaneous liabilities,Life insurance companies; unidentified miscellaneous liabilities,Government-sponsored enterprises; unidentified miscellaneous liabilities,Finance companies; unidentified miscellaneous liabilities,Real estate investment trusts; unidentified miscellaneous liabilities,Security brokers and dealers; unidentified miscellaneous liabilities,Holding companies; unidentified miscellaneous liabilities,Other financial business; unidentified miscellaneous liabilities (net),All sectors; unidentified miscellaneous assets,Nonfinancial corporate business; unidentified miscellaneous assets,Nonfinancial noncorporate business; unidentified miscellaneous assets,Federal government; unidentified miscellaneous assets,State and local governments; unidentified miscellaneous assets,Monetary authority; unidentified miscellaneous assets,U.S.-chartered depository institutions, including IBFs; unidentified miscellaneous assets,Foreign banking offices in the U.S., including IBFs; unidentified miscellaneous assets,Banks in U.S.-affiliated areas; unidentified miscellaneous assets,Credit unions; unidentified miscellaneous assets,Property-casualty insurance companies; unidentified miscellaneous assets,Life insurance companies; unidentified miscellaneous assets,Private pension funds; unidentified miscellaneous assets,State and local government employee retirement funds; miscellaneous assets,Money market funds; unidentified miscellaneous assets (net),Mutual funds; unidentified miscellaneous assets,Exchange-traded funds; unidentified miscellaneous assets,Government-sponsored enterprises; unidentified miscellaneous assets,Finance companies; unidentified miscellaneous assets,Real estate investment trusts; unidentified miscellaneous assets,Security brokers and dealers; unidentified miscellaneous assets,Holding companies; unidentified miscellaneous assets,Other financial business; unidentified miscellaneous assets of central clearing parties,Instrument discrepancies; total miscellaneous assets
1945:Q4,-9628,-15455,0,1596,-63,640,0,-2,-23,251,1420,499,500,0,984,0,25,5461,74,0,0,0,100,4916,0,100,0,0,223,-130,0,0,0,0,166,43,0,-31,0,0,-15089
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-10526,-16281,0,1196,-246,1014,0,-2,-13,252,1504,297,659,0,975,0,119,3064,-3,0,0,0,81,2592,0,144,0,0,230,-222,0,0,0,0,140,137,0,-35,0,0,-13590
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,-10544,-16905,0,796,91,1140,0,-2,-4,254,1783,322,884,0,959,0,138,2981,-17,0,0,0,150,2188,0,197,0,0,215,-22,0,0,0,0,115,196,0,-41,0,0,-13525
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-10686,-17352,0,591,-55,1609,0,-1,10,256,1854,315,869,0,950,0,268,2940,42,0,0,0,181,1849,0,157,0,0,301,176,0,0,0,0,103,180,0,-49,0,0,-13626
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
