date,Personal sector; total financial assets,Households and nonprofit organizations; private foreign deposits; asset,Personal sector; checkable deposits and currency; asset,Personal sector; total time and savings deposits; asset,Personal sector; money market fund shares; asset,Personal sector; debt securities; asset,Personal sector; Treasury securities; asset,Households and nonprofit organizations; agency- and GSE-backed securities; asset,Personal sector; municipal securities; asset,Households and nonprofit organizations; corporate and foreign bonds; asset,Personal sector; loans; asset,Households and nonprofit organizations; other loans and advances; asset,Personal sector; mortgages; asset,Personal sector; consumer credit; asset,Households and nonprofit organizations; corporate equities; asset,Households and nonprofit organizations; mutual fund shares; asset,Nonprofit organizations; grants and trade receivables; asset,Households and nonprofit organizations; life insurance reserves; asset,Households and nonprofit organizations; pension entitlements; asset,Personal sector; other financial assets,Personal sector; total liabilities,Personal sector; one-to-four-family residential mortgages; liability,Personal sector; commercial, multifamily, and farm mortgages; liability,Households and nonprofit organizations; consumer credit; liability,Personal sector; other loans and advances; liability,Personal sector; other liabilities
1945:Q4,474085,0,72438,50230,0,78843,66517,61,3869,8396,13462,694,12189,579,144855,1245,0,39560,61172,12280,45484,18706,8606,6800,4987,6385
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,493252,0,78244,56568,0,76489,65127,93,3817,7452,15113,733,13711,669,138515,1298,0,43360,69381,14284,56570,23100,9597,9777,5207,8889
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,508806,0,78289,60047,0,76315,65065,148,4458,6644,16511,660,15070,781,136405,1413,0,46510,77939,15377,68383,28267,10436,13298,5654,10727
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
