date,Nonfinancial corporate business; net worth,Nonfinancial corporate business; net investment,Nonfinancial corporate business; net physical investment,Nonfinancial corporate business; total capital expenditures,Nonfinancial corporate business; gross fixed investment,Nonfinancial corporate business; inventories including IVA,Nonfinancial corporate business; acquisition of nonproduced nonfinancial assets (net),Nonfinancial corporate business; consumption of fixed capital, structures, equipment, and intellectual property products (NIPA basis),Nonfinancial corporate business; consumption of fixed capital, residential structures and equipment, current cost basis,Nonfinancial corporate business; consumption of fixed capital, nonresidential structures, equipment, and intellectual property products, current cost basis,Nonfinancial corporate business; inventory valuation adjustment (IVA),Nonfinancial corporate business; net lending (+) or borrowing (-) (financial account),Nonfinancial corporate business; total financial assets,Nonfinancial corporate business; total liabilities and equity,Nonfinancial corporate business; corporate equities; liability,Nonfinancial corporate business; foreign direct investment in U.S.; liability (market value),Nonfinancial corporate business; assets less liabilities with revaluations,Nonfinancial corporate business; nonfinancial assets,Nonfinancial corporate business; real estate at market value,Nonfinancial corporate business; equipment, current cost basis,Nonfinancial corporate business; nonresidential intellectual property products, current cost basis,Nonfinancial corporate business; inventories excluding IVA, current cost basis,Nonfinancial corporate business; financial assets with revaluations with corporate farms (IMA),Nonfinancial corporate business; debt securities; asset,Nonfinancial corporate business; corporate equities; asset,Nonfinancial corporate business; mutual fund shares; asset,Nonfinancial corporate business; U.S. direct investment abroad (market value); asset,Nonfinancial corporate business; total miscellaneous assets,Nonfinancial corporate business; liabilities with revaluations,Nonfinancial corporate business; foreign direct investment in U.S.: intercompany debt; liability (market value),Private defined benefit pension funds; claims of pension fund on sponsor; asset,Nonfinancial corporate business; unidentified miscellaneous liabilities,Nonfinancial corporate business; other volume changes,Nonfinancial corporate business; net worth
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,215967
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,16046,3953,16684,19173,13352,5891,-70,7752,43,7709,-5263,-13741,-1605,12136,1018,-8,11644,10491,14017,3889,338,-7753,0,0,0,0,-230,230,-1153,1,0,-1154,449,232012
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,37716,9424,14761,18338,17287,1141,-90,9476,51,9425,-5899,-6460,8725,15185,1093,30,28219,27016,25935,3066,650,-2634,0,0,0,0,390,-390,-1203,49,-5,-1247,73,269729
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,24419,8285,12897,21865,19082,2899,-116,11120,58,11062,-2152,-5677,5477,11154,1000,65,15952,14684,8768,5156,212,548,0,0,0,0,538,-538,-1268,75,-7,-1336,182,294148
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,10204,4354,1197,15061,17256,-1996,-199,12008,60,11948,1856,1881,3902,2021,1212,64,5673,4178,2119,-510,-35,2604,0,0,0,0,415,-415,-1495,49,-3,-1541,177,304352
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,24198,9312,16342,24225,18934,5560,-269,12848,62,12786,-4965,-8465,16784,25249,1288,147,14356,13102,13793,6199,537,-7427,0,0,0,0,467,-467,-1254,168,-10,-1412,530,328550
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,35663,-6085,17525,30962,22748,8486,-272,14636,69,14567,-1199,-25820,8027,33847,2107,103,41145,22304,15754,2969,326,3255,0,0,0,0,683,-683,-18841,78,-7,-18912,603,364213
1952:Q1,11293,153,2753,6885,6048,898,-61,3814,18,3796,318,-3216,-1836,1380,573,43,11096,7834,6169,239,-17,1443,0,0,0,0,0,0,-3262,0,0,-3262,44,375506
1952:Q2,5067,-1316,1233,5381,6240,-798,-61,3860,18,3842,289,-3268,-38,3230,664,55,6417,937,489,460,25,-37,0,0,0,0,0,0,-5480,0,-4,-5477,-34,380573
1952:Q3,608,3653,2450,6543,5797,810,-63,3918,18,3900,175,776,5288,4512,390,37,-3019,-1930,-1846,-262,78,99,0,0,0,0,0,0,1089,0,70,1019,-26,381181
1952:Q4,1849,11060,3164,7352,6272,1147,-67,3989,18,3971,199,7264,2004,-5260,693,-61,-9277,1696,2079,-46,40,-378,0,0,0,0,884,-884,10972,23,-99,11048,66,383031
1953:Q1,4626,7863,3291,7255,6588,745,-77,4072,18,4054,-108,3986,-1630,-5616,518,68,-3399,695,258,507,121,-191,0,0,0,0,0,0,4094,0,42,4052,162,387657
1953:Q2,6260,13590,3856,7606,6680,1008,-82,4150,18,4132,-399,9170,623,-8547,545,19,-7584,2197,1379,963,52,-198,0,0,0,0,0,0,9781,0,-3,9783,254,393916
1953:Q3,6285,8071,3437,7156,6846,395,-84,4221,18,4203,-501,4256,3996,-260,315,63,-2055,2802,1678,955,45,124,0,0,0,0,0,0,4857,0,2,4855,269,400201
1953:Q4,-815,-15049,1409,5706,6761,-969,-86,4286,18,4268,11,-16771,48,16819,388,-75,14024,-396,-836,400,9,31,0,0,0,0,796,-796,-14420,22,-57,-14385,210,399386
1954:Q1,4216,-8580,1587,5929,6672,-663,-79,4345,18,4327,-3,-10959,-4276,6683,737,55,12730,1295,26,917,134,218,0,0,0,0,0,0,-11435,0,-42,-11394,66,403602
1954:Q2,4675,-12373,1390,5784,6622,-753,-84,4403,19,4385,-9,-14356,-532,13824,522,71,17036,1263,264,922,-4,82,0,0,0,0,0,0,-15773,1,76,-15850,12,408277
1954:Q3,1881,-16578,1653,5942,6695,-659,-94,4460,19,4442,-171,-18530,5544,24074,228,71,18427,-779,548,-1560,19,214,0,0,0,0,0,0,-19207,-1,34,-19240,32,410158
1954:Q4,561,-2504,2188,6569,6629,49,-109,4516,19,4497,-135,-4654,4762,9416,96,-134,2935,177,608,-255,15,-191,0,0,0,0,702,-702,-2759,40,-131,-2668,129,410719
1955:Q1,5616,-1085,3199,7492,6696,932,-135,4571,19,4552,-277,-4892,717,5609,531,77,6514,-236,-292,-171,259,-32,0,0,0,0,0,0,-6750,0,-174,-6576,188,416336
1955:Q2,7825,-19403,3811,8246,7041,1356,-150,4656,19,4637,-221,-23458,3038,26496,160,84,26964,3713,2812,948,24,-71,0,0,0,0,0,0,-23251,0,-640,-22611,263,424160
1955:Q3,10625,-12343,4465,8687,7523,1326,-162,4771,20,4751,-548,-17154,7345,24499,278,68,22660,7477,5211,2188,78,0,0,0,0,0,0,0,-15184,0,-610,-14574,308,434785
1955:Q4,9352,-2652,5323,9548,8070,1646,-169,4915,20,4896,-690,-8603,6282,14885,750,-122,11682,9206,6850,2498,79,-220,0,0,0,0,941,-941,-2476,36,-362,-2150,322,444137
1956:Q1,16782,-13060,5351,9713,8357,1524,-168,5090,20,5070,-728,-19018,-4047,14971,522,85,29473,11872,9674,2021,194,-17,0,0,0,0,0,0,-17601,1,-417,-17185,369,460918
1956:Q2,6637,13736,5432,9780,8762,1188,-170,5259,20,5239,-911,7994,-79,-8073,234,76,-7513,2361,496,1872,144,-151,0,0,0,0,0,0,9874,0,243,9631,415,467556
1956:Q3,13773,10186,4893,10018,9169,1021,-172,5424,20,5404,-298,4652,4600,-52,573,68,3175,9620,6797,2775,155,-108,0,0,0,0,0,0,6445,0,210,6235,412,481329
1956:Q4,7531,-19046,5237,10064,9328,909,-173,5583,20,5563,-756,-25109,4557,29666,921,-95,26221,5601,3603,1967,94,-63,0,0,0,0,1160,-1160,-20620,23,-83,-20559,356,488859
1957:Q1,10613,19850,4681,9813,9531,454,-172,5738,21,5717,-606,14374,-1859,-16233,760,35,-9547,5563,3222,2243,212,-115,0,0,0,0,0,0,15109,1,249,14860,310,499472
1957:Q2,7552,-13853,4401,9904,9599,479,-174,5880,21,5859,-377,-19203,704,19907,903,46,21165,3014,3050,132,120,-288,0,0,0,0,0,0,-18150,0,-531,-17620,240,507024
1957:Q3,7571,31981,4506,10196,9822,552,-177,6010,21,5990,-320,27168,3857,-23311,299,8,-24662,3320,2084,1016,118,102,0,0,0,0,0,0,27982,0,476,27506,252,514595
1957:Q4,1533,-1470,2658,8551,9565,-833,-181,6129,21,6108,-236,-4612,1859,6471,479,5,2652,2775,709,1914,48,105,0,0,0,0,447,-447,123,14,361,-252,350,516128
1958:Q1,4078,-12122,827,7007,8667,-1471,-189,6235,21,6215,-55,-13238,-3416,9822,221,68,15631,280,-264,81,229,235,0,0,0,0,0,0,-15351,0,-183,-15168,570,520206
1958:Q2,3763,-14762,333,6744,8311,-1374,-193,6333,21,6313,78,-16028,1265,17293,858,75,17872,1484,266,1012,61,146,0,0,0,0,0,0,-16388,0,-477,-15911,653,523969
1958:Q3,4429,-28902,1491,7853,8194,-144,-196,6423,21,6402,-61,-30949,7223,38172,485,71,32651,1161,601,383,14,164,0,0,0,0,0,0,-31491,0,-704,-30787,680,528399
1958:Q4,2029,-13684,2838,9125,8497,826,-198,6505,22,6483,-217,-16789,6458,23247,404,-137,15063,1340,710,476,14,139,0,0,0,0,834,-834,-13723,48,-821,-12950,649,530427
1959:Q1,6842,-3410,3283,9703,8917,985,-198,6578,22,6556,-157,-7304,668,7971,511,100,9788,2958,1867,1083,-7,16,-1,0,0,0,0,-1,-6831,-1,-101,-6729,464,537269
1959:Q2,6758,-9068,4772,11168,9195,2173,-200,6645,23,6622,-249,-14700,5810,20510,738,122,15369,1668,641,953,212,-139,1,0,0,0,0,1,-13700,0,-552,-13149,456,544027
1959:Q3,7412,11997,3137,9760,9497,608,-345,6706,24,6682,-83,8508,4267,-4241,260,92,-5186,1651,590,810,202,50,-1,0,0,0,0,-1,6836,0,158,6679,600,551439
1959:Q4,2104,-21739,3656,10629,9585,1390,-346,6760,25,6736,212,-25802,4355,30156,569,-163,23233,1519,686,458,185,191,1,0,0,0,1046,-1045,-21713,40,-542,-21212,610,553543
1960:Q1,3305,27150,5314,11905,10014,2013,-121,6809,25,6784,-217,21412,-1249,-22661,351,74,-24215,-1017,-1220,-263,67,399,0,0,0,0,0,0,23198,0,664,22535,370,556847
1960:Q2,1468,-6809,3829,10539,10264,453,-179,6861,26,6834,-151,-11052,26,11078,369,45,7862,-48,-589,656,32,-147,0,0,0,0,0,0,-7910,0,-403,-7508,415,558316
1960:Q3,5075,30977,3541,10586,10128,642,-185,6916,27,6889,129,26975,2253,-24722,400,62,-26344,358,-406,203,100,461,0,0,0,0,0,0,26702,0,779,25923,441,563390
1960:Q4,-2823,-46078,1777,8818,10042,-1057,-168,6975,28,6947,66,-48111,1811,49922,245,11,42779,-857,-482,-173,71,-272,1,0,0,0,-902,903,-43635,2,-1137,-42500,476,560568
1961:Q1,3021,-40926,2077,9095,9838,-594,-150,7037,28,7009,-19,-43733,-1701,42032,670,60,43403,-1115,-750,-221,32,-175,1,0,0,0,0,1,-44517,0,-1560,-42958,543,563588
1961:Q2,6517,5138,2722,10079,10042,233,-197,7104,29,7075,254,1167,5961,4794,1168,81,730,696,907,-260,40,9,0,0,0,0,0,0,-34,-1,-13,-20,650,570105
1961:Q3,5854,-7699,3774,11029,10135,1106,-212,7174,30,7145,81,-11898,3731,15629,383,42,12878,1194,963,-237,99,369,0,0,0,0,0,0,-11683,0,-426,-11258,676,575960
1961:Q4,1590,-13531,3980,11184,10456,893,-165,7249,31,7219,-45,-17468,5361,22829,-100,57,15234,1081,948,-108,81,159,0,0,0,0,198,-198,-14154,4,-1308,-12850,-113,577550
1962:Q1,6575,5081,4525,11965,10627,1542,-205,7329,32,7297,111,458,-209,-667,61,36,849,851,327,209,7,307,0,0,0,0,0,0,1,-1,362,-360,644,584124
1962:Q2,4012,3079,4325,11705,10927,1016,-238,7411,33,7378,-31,-1458,3222,4680,144,68,283,306,-132,285,69,84,-23,0,0,-23,0,0,-1,0,4604,-4604,650,588137
1962:Q3,5625,3979,4700,12009,11053,1155,-200,7497,34,7463,-188,-829,4419,5248,64,45,1029,1026,366,318,9,334,3,0,0,3,0,0,0,0,-761,761,616,593761
1962:Q4,3323,1796,3684,11405,11017,586,-199,7587,35,7552,134,-2054,4538,6592,100,67,878,862,918,-243,23,164,14,0,0,14,-292,292,-1,-7,-1673,1679,649,597084
1963:Q1,4971,2332,4002,11928,11106,988,-166,7680,36,7644,246,-1713,-1480,233,-5,48,2021,167,-58,86,-46,185,1854,0,1842,8,0,4,0,0,-1065,1065,617,602055
1963:Q2,5543,3936,4292,12125,11434,931,-241,7779,37,7743,54,-451,4459,4910,-11,106,872,372,179,-83,100,175,500,0,492,8,0,0,0,-1,-650,651,735,607598
1963:Q3,6662,4412,4943,12769,11772,1239,-242,7885,38,7847,-58,-725,4147,4872,96,99,1519,1112,560,151,176,225,406,0,404,3,0,-1,-1,1,-642,641,731,614260
1963:Q4,1178,-835,5071,12879,12144,879,-144,7996,39,7957,-188,-5430,4890,10320,-421,-55,1431,864,385,120,218,141,569,0,568,0,-23,24,2,8,-613,607,582,615438
1964:Q1,8071,6160,5215,13270,12395,1129,-254,8114,41,8073,-59,238,-1103,-1341,637,69,1253,573,-193,385,130,252,681,0,669,12,0,0,1,-1,-1188,1190,658,623509
1964:Q2,10270,4312,5334,13538,12742,1104,-308,8240,42,8198,-36,-1888,4422,6310,782,84,5326,4872,3966,438,202,266,454,0,454,0,0,0,0,0,-733,733,632,633780
1964:Q3,8079,5478,5966,14117,13176,1258,-317,8377,44,8333,-225,-717,5628,6345,187,42,1941,1517,826,233,123,335,422,0,414,8,0,0,-2,0,-802,800,660,641858
1964:Q4,2884,-2368,6355,14703,13553,1191,-41,8522,45,8477,-174,-8318,3928,12246,-461,56,4744,4658,4119,159,49,332,86,0,94,-7,-14,13,0,-2,-422,424,507,644742
1965:Q1,9553,5722,7895,16471,14473,2221,-223,8677,47,8630,-100,-2254,2050,4304,-56,137,3042,2804,1640,503,64,597,236,0,230,5,0,1,-2,0,-439,437,790,654295
1965:Q2,9344,6153,7839,16410,15041,1482,-113,8851,48,8803,-280,-2019,5962,7980,330,2,2388,2731,1907,118,195,511,-342,0,-333,-8,0,-1,1,0,901,-899,803,663639
1965:Q3,9555,5514,8530,17194,15705,1693,-204,9044,50,8995,-380,-3159,4931,8090,13,130,3126,2154,899,804,252,199,973,0,956,18,0,-1,0,-1,-2611,2612,915,673193
1965:Q4,15233,6594,8794,17566,16484,1314,-232,9257,51,9206,-485,-1988,13171,15159,-315,102,7771,7356,7169,-466,188,465,416,0,405,11,5919,-5919,1,-5,-1159,1164,868,688427
1966:Q1,9091,8954,10673,19863,17376,2819,-332,9488,53,9435,-299,-1699,2607,4306,-132,111,-659,-129,-1442,562,273,478,-529,0,-525,-4,0,0,0,-1,544,-542,796,697518
1966:Q2,19878,9175,11601,20659,17925,2951,-216,9725,55,9670,-666,-4012,6259,10271,1508,78,10065,10866,9262,1305,204,95,-802,0,-788,-15,0,1,-1,0,1518,-1519,638,717397
1966:Q3,10456,8596,11551,20614,18247,2630,-264,9966,57,9910,-903,-3192,5559,8751,267,-30,1187,2760,1335,1293,117,15,-1573,0,-1528,-44,0,-1,0,0,3248,-3248,674,727853
1966:Q4,12467,1516,11880,21854,18410,3593,-149,10213,58,10155,-239,-10079,2072,12150,-384,98,10381,9616,6588,2187,159,682,765,0,747,17,-1786,1787,0,-2,-1468,1471,570,740320
1967:Q1,11107,5819,10713,21084,18211,2965,-92,10464,60,10404,-93,-5301,-3635,1666,252,155,4784,2671,792,1489,143,247,2115,0,2070,44,0,1,1,1,-4017,4017,504,751427
1967:Q2,12112,6618,8878,19271,18291,928,53,10724,61,10663,-331,-2910,1083,3993,480,170,5128,5027,3075,1492,372,88,101,0,90,11,0,0,0,0,-87,87,366,763539
1967:Q3,15870,7664,9396,19957,18391,1887,-320,10993,63,10931,-432,-2576,5472,8048,736,108,7478,6215,3868,1749,459,140,1263,0,1232,31,0,0,0,-1,-2133,2134,727,779409
1967:Q4,16463,6008,10647,21220,18955,1997,269,11271,64,11208,-698,-5683,11397,17080,929,115,10346,10394,7374,1939,596,486,-48,0,-48,0,1762,-1762,0,10,419,-428,109,795871
1968:Q1,14693,8299,10930,21319,19675,1203,441,11558,64,11494,-1169,-3275,6521,9795,365,278,6560,7860,5909,1235,650,66,-1299,0,-1230,-69,0,0,0,0,3064,-3063,-166,810564
1968:Q2,17674,7390,10816,21944,19631,2173,139,11859,66,11793,-731,-4062,4861,8922,530,105,10256,8250,5921,2402,367,-440,2006,0,1923,80,0,3,-1,0,-5332,5332,29,828238
1968:Q3,13212,4428,10397,21832,20077,1613,142,12173,67,12106,-738,-5587,6033,11620,-476,94,8693,8006,5424,2350,383,-150,687,0,661,25,0,1,0,0,-1378,1378,91,841451
1968:Q4,20273,5417,10982,22469,20895,1711,-137,12500,69,12432,-1013,-5124,13970,19094,-578,137,14251,13990,10495,2849,575,72,261,0,265,-4,2765,-2765,0,-8,-980,988,605,861724
1969:Q1,21682,11324,12054,23661,21600,2135,-74,12840,69,12771,-1233,-1312,8486,9798,337,245,9552,10152,7355,1422,775,601,-601,0,-548,-56,0,3,0,0,1722,-1723,806,883406
1969:Q2,19729,7547,11799,23682,22064,1720,-102,13188,71,13117,-1305,-4845,8902,13747,421,172,11054,12066,9825,1873,634,-265,-1012,0,-959,-54,0,1,0,1,910,-910,1128,903135
1969:Q3,20708,8454,12799,25108,22740,2452,-84,13544,72,13472,-1234,-5528,9153,14681,990,193,11138,12403,8071,2865,840,627,-1265,0,-1248,-20,0,3,-1,0,1840,-1841,1115,923842
1969:Q4,21207,4896,12606,24414,22842,1644,-72,13906,73,13834,-2098,-9654,10841,20494,1658,286,15489,15823,12298,2876,690,-41,-334,0,-310,-25,3445,-3444,0,-8,-21,28,822,945049
1970:Q1,21099,9955,11013,23090,23055,67,-32,14275,73,14203,-2198,-2841,4882,7723,1317,466,10801,11545,7555,3373,959,-342,-760,0,-756,-5,0,1,-16,0,3981,-3997,343,966149
1970:Q2,28970,9024,10754,24248,23201,1027,20,14638,73,14565,-1145,-3102,10724,13825,1195,176,19840,25448,21562,3069,597,220,-5607,0,-5435,-170,0,-2,1,0,9266,-9266,106,995118
1970:Q3,11003,3118,11347,24780,23332,1483,-35,14995,74,14921,-1562,-9626,-232,9394,1106,290,7797,3912,689,2561,765,-103,3886,0,3818,65,0,3,1,0,-6678,6679,88,1006121
