date,Nonfinancial noncorporate business; net worth,Nonfinancial noncorporate business; net capital transfers paid,Nonfinancial noncorporate business; net investment,Nonfinancial noncorporate business; net physical investment,Nonfinancial noncorporate business; total capital expenditures,Nonfinancial noncorporate business; gross fixed investment,Nonfinancial noncorporate business; inventories,Nonfinancial noncorporate business; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis (gross saving) (NIPA basis),Nonfinancial noncorporate business; consumption of fixed capital, residential structures and equipment, current cost basis,Nonfinancial noncorporate business; consumption of fixed capital, nonresidential structures, equipment, and intellectual property products, current cost basis,Nonfinancial noncorporate business; net lending (+) or borrowing (-) (financial account),Nonfinancial noncorporate business; total financial assets,Nonfinancial noncorporate business; total liabilities and equity,Nonfinancial noncorporate business; proprietors' equity in noncorporate business,Nonfinancial noncorporate business; foreign direct investment in U.S. real estate business: equity; liability (market value),Nonfinancial noncorporate business; assets less liabilities with revaluations,Nonfinancial noncorporate business; nonfinancial assets,Nonfinancial noncorporate business; residential real estate at market value,Nonfinancial noncorporate business; nonresidential real estate at market value,Nonfinancial noncorporate business; residential equipment, current cost basis,Nonfinancial noncorporate business; nonresidential equipment, current cost basis,Nonfinancial noncorporate business; nonresidential intellectual property products, current cost basis,Nonfinancial noncorporate business; inventories,Nonfinancial noncorporate business; debt securities; asset,Nonfinancial noncorporate business; foreign direct investment in U.S. real estate business: interncompany debt; liability (market value),Nonfinancial noncorporate business; other volume changes,Nonfinancial noncorporate business; net worth
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,197429
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,36797,0,572,2041,5943,5823,120,3901,1162,2739,-2041,1895,3936,572,0,37091,37089,13758,12844,-59,1772,88,8685,0,-1,-866,234226
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,33199,0,84,2028,6928,8619,-1691,4900,1408,3492,-2028,814,2843,86,-2,33144,33112,12053,12928,49,1961,235,5885,0,-2,-30,267425
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,15704,0,4822,7326,13144,10385,2759,5817,1550,4267,-7326,-56,7270,4821,1,10938,10962,4479,5930,28,1961,72,-1508,0,-2,-57,283128
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1740,0,1413,2886,9306,10002,-696,6420,1589,4831,-2886,171,3057,1414,-1,326,325,2562,1067,-64,123,-7,-3356,0,-2,0,284868
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,16909,0,2104,4847,11806,11596,210,6959,1654,5305,-4847,1628,6475,2102,2,14805,14799,7680,3184,85,2127,131,1592,0,-6,0,301777
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
