date,FA896902505.A,FA156902505.A,FA116902505.A,FA106902501.A,FA796902505.A,FA316902505.A,FA216902505.A,FA896006001.A,FA156006005.A,FA106012095.A,FA796012095.A,FA316006085.A,FA216006095.A,FA155440005.A,FA115440005.A,FA105440005.A,FA795440005.A,FA315440005.A,FA215440005.A,FA265440005.A,FA885019005.A,FA155019005.A,FA115019085.A,FA105019085.A,FA795013005.A,FA315019001.A,FA215019001.A,FA886300095.A,FA156300003.A,FA116300001.A,FA106300003.A,FA796300081.A,FA316300001.A,FA216300001.A,FA145020005.A,FA115020005.A,FA105020005.A,FA885000985.A,FA155000905.A,FA115000905.A,FA105000905.A,FA795000995.A,FA315000995.A,FA215000995.A,FA087005995.A,FA265000905.A,FA885000005.A,FA155000005.A,FA115000005.A,FA105000005.A,FA795000005.A,FA315000005.A,FA215000005.A,FA265000005.A,FV158090185.A,FV118090105.A,FV108090105.A,FV798090185.A,FV318090185.A,FV218090185.A,FV268090185.A,FR158200095.A,FR118200005.A,FR108200005.A,FR798200005.A,FR318200005.A,FR218200005.A,FR265000005.A,FC152090005.A,FC112090095.A,FC102090095.A,FC792090095.A,FC312090095.A,FC212090095.A,FC262090095.A,FL152090005.A,FL112090095.A,FL102090095.A,FL792090095.A,FL312090095.A,FL212090095.A,FL262090095.A
1960,543687,45031,117056,282484,20511,45007,33600,59055,37851,14914,3618,157,2517,2242,0,-93,0,857,-3006,0,119248,25730,15117,40359,2039,21897,14107,67901,8174,11330,27560,1144,15167,4526,3233,1182,2051,4475,18717,-4969,809,2723,-7881,-4923,-1304,-3171,1208,27469,-4865,-10777,3758,-8497,-5880,-1459,16860,1,-9621,1087,-198,-5112,1712,22569,-1,-1566,-240,481,-356,-1281,75037,0,3820,4465,-417,54,-2740,2090794,0,191300,16884,-135299,113028,-28541
1961,563124,47800,119601,290423,21673,47057,36571,61005,44385,15429,3726,-4732,2196,2509,0,-123,0,904,-3290,0,123507,25083,16129,40366,2031,24646,15252,70604,8496,11541,28564,1181,16034,4789,2974,1335,1639,5126,26050,-5923,2833,2876,-14741,-5969,-914,-4213,-67499,28620,-5806,-71932,4295,-16152,-6524,-2704,8184,2,-73175,975,-930,-4738,1509,115468,-2,2006,-19830,1915,2153,552,165528,0,-55618,-15129,-4651,2901,-2152,2256322,0,135682,1755,-139950,115929,-30693
1962,603953,51519,123871,316808,22383,50120,39253,69306,46703,20735,4186,-5370,3052,2638,0,-126,0,1013,-3525,0,133473,26747,18351,43505,2274,26500,16097,74097,8846,11887,29824,1236,17170,5135,6101,1801,4300,3830,26976,-8265,3720,3148,-16308,-5442,-28,-3801,-2583,28827,-8129,-3883,3187,-16137,-6448,-1390,4185,0,-4951,246,-491,3381,2411,14386,0,16676,2385,5177,4291,-2739,62636,0,32586,6817,-1697,14249,-4129,2318958,0,168268,8572,-141647,130178,-34822
1963,638915,54877,127257,337829,23119,53169,42665,76116,47098,24494,3408,-2161,3278,2885,0,-88,0,1345,-4142,0,142102,28797,20259,46355,2254,26669,17769,78018,9288,12230,31340,1301,18353,5506,5621,1584,4037,6410,25587,-9613,6323,2455,-12347,-5995,-1463,-4947,-5291,30498,-9495,-8319,1331,-13095,-6212,-3044,5503,-3,-11928,-1904,-1425,-2651,1874,53630,3,-35907,-8871,2168,3908,1066,103346,0,-23253,-7367,-2763,8676,-2007,2422304,0,145015,1205,-144410,138854,-36829
1964,684506,58370,133367,364523,25400,56446,46401,83667,55281,27965,3394,-6892,3920,3305,0,-81,0,1497,-4721,0,153722,30670,21965,51752,2943,27118,19274,82389,9882,12750,33252,1391,19204,5910,4822,139,4683,7514,32153,-9354,5782,1842,-16929,-5981,-46,-7468,2186,42115,-9224,-10685,2530,-16012,-6539,-4621,20069,-1,-13403,437,-276,-3772,6462,109417,1,-65659,-5672,2350,3559,1344,181462,0,-51016,-1841,-6315,8428,338,2603766,0,93999,-636,-150725,147282,-36491
1965,741550,62611,140572,400741,27524,59322,50780,94921,58753,33486,4533,-5515,3665,3608,0,-81,0,1220,-4747,0,168262,32099,23282,61559,3460,26698,21165,88006,10662,13516,35828,1561,20013,6427,9247,2537,6710,5419,34702,-12303,1898,2634,-13892,-7620,739,-6158,7052,45992,-12132,-9419,2850,-13962,-6278,-4614,30082,-1,-6552,-46,-597,-2649,1597,113662,1,-61503,-8855,5304,9136,-5925,198889,0,-34488,-4368,-2028,14899,-10486,2802655,0,59511,-5004,-152753,162181,-46977
1966,808332,67587,148842,440080,29943,65550,56330,101171,61861,36510,5061,-6987,4726,3886,0,-83,0,1341,-5144,0,184119,31164,23978,71802,3608,30089,23479,95310,11533,14511,39392,1735,21049,7091,13636,1643,11993,-1276,39396,-11111,-6850,3188,-18011,-7889,5084,-3807,5137,55603,-10927,-18981,3302,-16343,-7518,-2989,39111,1,-7190,572,-903,-5299,728,2399,-1,98003,-3993,6879,13823,262,99485,0,127405,1640,-2353,18394,-2817,2902140,0,186916,-3364,-155106,180575,-49794
1967,856596,72940,153573,463192,33429,71308,62156,96934,72995,34577,4880,-19526,4009,3978,0,-85,0,1195,-5088,0,190502,31684,23482,73703,3965,31947,25722,103555,12445,15500,43452,1929,22464,7766,9865,2089,7776,124,50838,-10071,-3274,2844,-29973,-10240,3361,-3484,5098,58351,-9903,-16470,12652,-29766,-9765,-2005,27536,-3,-9792,9191,6944,-4018,1479,204899,3,-134164,-6322,11446,12589,8393,301451,0,-109294,7748,-2332,17668,6388,3203591,0,77622,4384,-157438,198243,-43406
1968,937515,78998,161589,510944,37388,78340,70256,101209,72924,33054,5531,-13768,3468,4088,0,-112,0,2865,-6841,0,207113,35860,26742,80151,5115,31118,28128,113357,13640,16660,48092,2210,24155,8600,9052,2351,6701,-1601,47701,-12433,-6180,2626,-22681,-10634,3133,-1533,-4180,64957,-12243,-18047,-3077,-25869,-9902,-611,46340,0,-7528,-5580,-1937,-10509,922,276623,0,-91234,-24664,12799,19116,-2814,391799,0,-65597,-24713,-5771,18915,-3425,3595390,0,12026,-20329,-163209,217158,-46831
1969,1016033,87045,170088,554625,42119,83627,78530,108233,76058,28655,5546,-5150,3124,4625,0,-77,0,2297,-6843,-2,223935,38477,31333,89056,5524,30729,28818,124897,15235,18146,53484,2569,25819,9645,9173,1221,7952,19,48945,-14408,-14460,2590,-12461,-10187,1582,-1602,-7373,57479,-14155,-21338,-1825,-13267,-14267,7574,36287,3,3058,-898,286,-15068,4349,-42867,-3,188547,17166,18534,31509,-6899,64853,0,220338,21813,11373,26408,-4152,3660242,0,232363,1484,-151836,243566,-50983
1970,1067967,94595,176992,572890,45284,89511,88695,91394,97588,21377,5803,-34816,1443,4764,0,-125,0,1578,-6212,-5,227851,37501,32687,92088,5780,30461,29336,136838,16468,19591,59260,2940,27634,10946,2001,-424,2425,-1625,72635,-12672,-13765,2962,-38952,-11833,5344,-3719,3996,95964,-12392,-24894,-855,-36989,-16839,272,55648,15,-3773,1704,-3539,-12142,3991,66900,-15,65287,5792,24286,43820,-4067,215373,0,83017,13299,-15647,39333,-3795,3875615,0,315380,14783,-167483,282899,-54778
1971,1155331,104537,188389,618096,49765,95168,99378,97199,111925,30113,7342,-50896,-1285,5797,0,-139,0,1361,-7003,-16,247077,48669,37966,95108,6826,27798,30711,148926,18224,21338,64732,3341,29064,12227,8256,2491,5765,-9224,76932,-19119,-5950,3857,-50552,-14393,9519,-294,-4388,99454,-18745,-19453,2967,-49708,-18903,17753,61137,-36,-8499,687,3569,-26008,18580,251278,36,-41892,-12736,22220,34748,-4712,418543,0,-20139,-4708,-26467,14458,13574,4294158,0,295241,10075,-193950,297357,-41204
1972,1271953,114034,206104,685948,54291,101319,110257,116624,111529,39360,8674,-49011,6072,6804,0,-194,0,690,-7270,-30,279726,60194,44114,107433,7295,29349,31342,161008,20340,23208,70188,3755,30204,13314,9108,1529,7579,-11231,66142,-22435,-5598,5135,-48133,-6342,7161,4071,10505,100267,-21678,-13105,867,-46309,-9537,12076,80651,0,488,742,5124,-28218,9956,409750,0,-130578,-7075,34435,37519,-17409,595126,0,-90537,2341,-10142,22643,-3382,4889284,0,204704,12416,-204092,320000,-44586
1973,1419231,124629,240871,768837,58063,105334,121498,156598,135812,43910,9599,-38309,5586,6601,0,-157,0,905,-7312,-37,316689,66678,49442,125336,9593,31652,33989,178683,23321,25619,78180,4369,32354,14840,15878,3408,12470,2678,87177,-27231,-18363,4376,-35307,-7973,6146,-8823,15285,108129,-26442,-34937,9024,-34457,-6034,9344,15216,4,4340,15460,4955,16116,18267,64838,-4,332680,40241,46247,65165,-16858,209264,0,381087,65300,11988,94179,-7414,5098548,0,585792,77716,-192104,414179,-52000
1974,1537781,137198,256088,830041,66369,113194,134892,142308,146279,30457,9244,-41348,-2324,6298,0,-223,0,3131,-9170,-36,336702,61715,45750,141150,11922,35666,40500,206893,27045,29429,91384,5300,35383,18353,13990,-657,14647,-1527,106751,-15664,-38970,2623,-39089,-17178,7461,-5934,-24456,88464,-14962,-36386,-904,-39462,-21207,-4235,12954,-1,123977,2020,4218,-15178,1699,-41728,1,480479,49568,68583,158444,-11190,111207,0,635136,60832,28322,150112,-15425,5209755,0,1220927,138548,-163782,564291,-67425
1975,1671553,151623,273920,898280,74924,121336,151471,109633,164030,45538,8715,-97925,-10725,6448,0,-241,0,4824,-10974,-57,347912,64152,42534,143925,12898,39853,44550,238511,30882,33675,107724,6511,38744,20976,-6256,2093,-8349,6430,125806,-10952,17944,2327,-103425,-25269,13351,-19782,-11070,169682,-10332,-42929,-896,-104003,-22593,-22088,71172,0,-200329,3356,-3121,-10201,-2306,420121,0,-20037,-1644,31263,21009,5382,648875,0,-174586,10427,-74607,11057,-16706,5858630,0,1046341,148975,-238389,575348,-84131
1976,1852761,164874,298597,1014666,81283,130791,162550,139085,154387,59064,10973,-80896,-4443,7236,0,-198,0,5034,-12021,-51,395754,82959,47496,161569,14085,44754,44891,260227,34318,36405,118272,7518,41671,22044,17117,1163,15954,-13611,99850,-12254,-1971,4406,-86626,-17016,20654,-7042,911,147770,-11545,-37541,6071,-88426,-15418,-18156,53633,2,-36901,8213,-2721,23184,12754,460562,-2,-2120,-11345,44402,20073,-45767,661345,0,20240,7841,-44249,50835,-40055,6519976,0,1066581,156816,-282638,626183,-124186
1977,2062380,179872,323475,1147401,96377,139223,176032,169586,155946,71354,15219,-73447,514,9276,0,-161,0,4036,-13087,-64,467451,108709,57193,192665,15721,49203,43960,289829,39616,40232,132560,8716,45269,23436,22324,6139,16185,-30424,78773,-23100,-5834,8214,-79995,-8481,19446,10978,-39048,102227,-21895,-41935,8619,-86496,433,21034,64931,0,-20163,5360,-2648,6804,8182,374846,0,270084,10801,32722,40589,-12647,586446,0,321436,31380,-47408,60994,6513,7106422,0,1388017,188196,-330046,687177,-117673
1978,2328274,202077,363655,1303931,114460,151542,192610,220795,175066,83442,19476,-62040,4852,7189,0,-164,0,6772,-13710,-87,558152,126537,72579,233051,20420,54742,50825,327195,46589,45366,150152,10007,49668,25413,25791,3875,21916,-36041,89279,-31087,-21416,9063,-73248,-8631,23326,12715,-47496,113553,-29777,-68402,15547,-74643,-3775,16174,74673,0,-22260,6640,1469,-1796,-6764,608287,0,189708,7227,61208,77780,-25987,850837,0,251054,33343,-6136,94546,-20036,7957259,0,1639071,221539,-336182,781723,-137709
1979,2582272,226340,405896,1450264,125384,162979,211410,239646,186785,83564,17880,-47364,-1219,7541,0,-243,0,9028,-16218,-108,641763,130356,90842,274484,25984,61741,58356,373881,54366,52000,172444,11921,54591,28559,17984,4751,13233,-46330,104787,-43594,-33850,3817,-60694,-16795,45054,1274,-55251,129514,-42276,-86733,15836,-61047,-10545,-21875,72344,0,-13630,12444,4514,-4240,-28496,895540,0,140844,2698,70870,140067,-13973,1147127,0,211020,33021,18992,150826,-41195,9104386,0,1850092,254560,-317190,932549,-178904
1980,2812879,258150,427633,1574370,139759,178916,234051,201700,224083,60771,11529,-88761,-5922,8778,0,-276,0,10225,-18599,-128,672379,116875,87976,299965,31616,70249,65699,428429,62193,59474,198860,14448,60394,33061,-6331,-5700,-631,-36047,162309,-22802,-43003,-5638,-104773,-22139,44430,-8383,23360,235280,-21491,-98228,23221,-99529,-15893,-29226,77557,0,-14479,25562,13279,22496,-24486,964797,0,27176,7047,78592,179253,-2270,1257659,0,73744,44138,-7115,214426,-35138,10362045,0,1923836,298698,-324305,1146975,-214042
1981,3168954,291615,466502,1788687,163523,201526,257102,256630,265472,85071,4328,-88074,-10167,9262,0,-202,0,8845,-17783,-122,748760,117359,103518,343051,37493,80423,66917,487229,68466,67118,229084,17262,67523,37776,29809,9931,19878,-34831,209079,-46330,-53615,-15903,-104293,-23769,38086,-3254,55200,326095,-44817,-79785,-10030,-115265,-20997,-44759,154432,0,-2047,3903,-6630,-20603,-45912,483047,0,400758,-2202,58306,131783,-957,893689,0,483984,6028,-45243,118797,-50123,11255734,0,2407819,304726,-369548,1265772,-264165
1982,3334944,323803,477353,1854677,178388,220143,280582,188864,293336,85401,241,-167353,-22760,10103,0,-199,0,7155,-16946,-113,752891,110258,94463,349906,41320,89951,66993,536964,72872,73282,253880,20358,75379,41192,-14914,4379,-19292,-12262,247713,-25560,5522,-20721,-185388,-33829,8849,3413,44838,362687,-23662,-71102,7242,-194628,-35699,-91145,158461,1,-31233,36109,7254,-17974,48702,380589,-1,-1475,-2521,49660,73133,14449,822283,0,52892,33828,-117594,49345,66564,12078016,0,2460711,338554,-487142,1315117,-197601
1983,3577089,352482,499498,1985804,205075,233261,300968,154059,264018,106704,8951,-207177,-18438,8290,0,-38,0,9809,-17960,-101,814431,152689,96514,348268,45797,102337,68827,562622,76013,75002,264616,23155,81124,42713,-5751,-13765,8014,-92101,181028,-7747,10374,-13691,-233251,-28815,56947,35154,-14779,307958,-5988,-26059,-28536,-231010,-31143,36095,200454,2,-34279,-7539,6951,4978,-4447,440875,-2,-156704,-28553,38929,5916,-97428,897057,0,-84241,-27141,-171106,10416,-66721,12975073,0,2376470,311413,-658248,1325533,-264322
1984,3996015,383773,580064,2225855,229359,253034,323932,283198,330352,148198,1345,-196517,-180,8360,0,-8,0,11813,-20067,-98,947867,178391,114578,405888,55829,115594,77589,598396,80866,77452,278952,26248,90583,44296,65405,8019,57386,-131776,226644,-45145,-39688,-28236,-229383,-15967,41598,90178,13234,292411,-43308,19333,-11778,-239599,-3825,21411,161229,-5,61783,69049,7815,14370,-54039,599097,5,115859,3996,72001,27566,20995,1082317,0,325848,74390,-128514,61823,57133,14057391,0,2702318,385804,-786762,1387356,-207189
1985,4284709,411787,625967,2368975,253167,270784,354028,240814,284928,152009,5527,-199244,-2406,8934,0,-4,0,13192,-21979,-143,1027704,185269,126870,431578,64110,132529,87347,640139,86155,81220,298976,30060,96971,46757,21825,6113,15712,-168719,179426,-51763,3014,-28523,-246793,-24081,54272,114447,-181620,227387,-49818,-83593,-4082,-267153,-4361,90336,95597,-1,-79596,18620,-7865,26085,-8182,1072767,1,-347095,-64071,-5716,39411,-52335,1444358,0,-274677,-39924,-226017,85069,53930,15501749,0,2427641,345880,-1012779,1472425,-153259
1986,4499576,446989,659622,2464698,264363,282734,381170,179208,290602,100827,7692,-215940,-3974,10019,0,0,0,13110,-23018,-111,1080663,215079,130676,426903,69919,141887,96200,685295,93435,85966,317872,34299,103588,50135,6571,-955,7526,-222842,161830,-43754,-17970,-27929,-264325,-30694,80055,142787,38912,366316,-41739,8844,3188,-292966,-4731,109690,380602,-1,4952,19856,-23348,19759,-32239,972535,1,-316320,-22929,12699,89472,-101305,1633721,0,-210541,4618,-239699,128275,9242,17135470,0,2217100,350498,-1252478,1600700,-144017
1987,4811390,489522,690239,2641682,285531,294438,409978,218513,275383,117468,5762,-165737,-14364,10576,0,0,0,11891,-22329,-138,1119665,235540,134370,422232,72887,152444,102194,730383,101821,90611,334692,39183,110107,53969,27149,-4255,31404,-198058,134332,-39504,-992,-27943,-219527,-44425,43827,154230,-6168,280140,-37167,-3339,5136,-223008,-27930,133852,305576,2,5596,30798,-14009,20539,-19913,697589,-2,37708,73556,17647,63285,-114044,1267972,0,160772,110115,-173990,91790,20273,18403442,0,2377872,460613,-1426468,1692490,-123745
