date,FA156902505.A,FA156300003.A,FA156902605.A,FA156025005.A,FA156020001.A,FA156401001.A,FA156240101.A,FA156402101.A,FA156140005.A,FA156402101.A,FA156025105.A,FA156020101.A,FA156401101.A,FA156150105.A,FA156130101.A,FA156120105.A,FA156121101.A,FA156122101.A,FA156130001.A,FA156140005.A,FA156220001.A,FA156404105.A,FA156600001.A,FA156403101.A,FA156403001.A,FA156012095.A,FA156901001.A,FA156006005.A,FA156006315.A,FA156006005.A,FA155440005.A,FA155050905.A,FA155019005.A,FA155012005.A,FA165013005.A,FA156300003.A,FA155420003.A,FA155000905.A,FA155000905.A,FA154090005.A,FA154000005.A,FA153020005.A,FA153030005.A,FA153091003.A,FA313131003.A,FA154022005.A,FA153061105.A,FA153061705.A,FA153062005.A,FA153063005.A,FA154023005.A,FA154041005.A,FA153065005.A,FA153081005.A,FA153064105.A,FA153064205.A,FA153034005.A,FA152090205.A,FA153094305.A,FA153052005.A,FA153076005.A,FA153040005.A,FA153050005.A,FA153095105.A,FA313195105.A,FA163096005.A,FA154190005.A,FA163162003.A,FA154123005.A,FA154141005.A,FA153166000.A,FA153168005.A,FA153169005.A,FA153165005.A,FA543077073.A,FA163170005.A,FA155000005.A,FV158090185.A,FU155111005.A,FV152010005.A,FV158090085.A,FU157005045.A,FR152010085.A,FR155035005.A,FR165015205.A,FR165013765.A,FR155111005.A,FR158080095.A,FR154022005.A,FR153064105.A,FR153064205.A,FR152090205.A,FR153094305.A,FR153052045.A,FR158200095.A,FC152090005.A,FL152000005.A,LM152010005.A,LM155035005.A,LM155111005.A,LM165015205.A,LM165013765.A,FL154090005.A,FL154000005.A,FL153020005.A,LM153091003.A,FL153030005.A,FL313131003.A,LM154022005.A,LM153061105.A,LM153061705.A,LM153062005.A,LM153063005.A,FL154023005.A,FL154041005.A,FL153065005.A,FL153081005.A,LM153064105.A,LM153064205.A,FL153034005.A,LM152090205.A,LM153094305.A,FL153052005.A,FL153076005.A,FL153040005.A,FL153050005.A,FL153095105.A,FL313195105.A,FL163096005.A,FL152100005.A,FL154190005.A,FL163162003.A,FL154123005.A,FL154141005.A,FL153166000.A,FL153168005.A,FL153169005.A,FL153165005.A,FL543077073.A,FL163170005.A,FL152090005.A
1960,45031,8174,36857,13894,13337,557,5594,17369,406590,17369,301282,272855,28427,100606,31182,69425,13366,56059,12667,406590,46068,24428,16444,1312,787,369031,331181,37851,35609,37851,2242,16892,25730,21952,3778,8174,-664,18717,18717,45317,13726,1977,11936,0,-187,4416,610,-1234,2645,2395,3180,406,2774,-3621,-3773,1049,0,-897,0,27616,148,3228,23670,570,0,0,17848,0,17546,5428,4035,698,695,12118,192,110,27469,16860,5248,0,2860,-8752,9705,9766,-13,-1,-48,12865,0,3884,159,10834,0,-2012,22569,75037,2315344,737554,547589,185421,3760,784,1577790,242843,77538,0,164461,844,114846,72194,1033,31007,10612,33623,48,33575,780131,364553,17026,0,398552,0,406346,6427,85184,307674,7061,0,0,2315344,224550,0,219861,73271,61248,2122,9901,146590,2379,2310,2090794
1961,47800,8496,39304,14463,13862,601,6194,18648,421586,18648,310421,280519,29902,106083,33448,72635,13901,58734,13566,421586,47250,28089,17005,1361,921,385860,341475,44385,41876,44385,2509,15826,25083,20990,4093,8496,-761,26050,26050,46983,17974,-286,18384,0,-124,1036,-250,-441,1499,228,2471,-788,3259,-2445,-4334,1671,0,218,0,27947,136,3447,23742,622,0,0,18363,0,18040,4856,2187,870,1799,13184,133,190,28620,8184,3046,0,2568,-2570,13309,13418,-27,-4,-79,102159,0,82998,4178,17009,0,-2026,115468,165528,2499235,769627,576368,188388,3989,882,1729608,260491,76926,0,182845,720,115882,71944,592,32506,10840,36094,-740,36834,881871,443217,22875,0,415779,0,435270,6563,88631,332393,7683,0,0,2499235,242913,0,237901,78127,63435,2992,11700,159774,2512,2500,2256322
1962,51519,8846,42673,15625,14923,702,6735,20313,450580,20313,332202,299358,32844,112935,37090,75846,15027,60819,14870,450580,51555,28843,19117,1549,1040,409260,362558,46703,44065,46703,2638,17089,26747,22161,4586,8846,-812,26976,26976,50963,25407,-457,25983,0,-119,369,1774,-357,-419,-629,2048,-124,2172,-5136,-6563,872,0,555,0,28275,18,3767,23810,680,0,0,22136,0,21851,6975,5909,458,608,14876,155,130,28827,4185,6993,0,-4659,-1851,9602,10300,-30,-6,-662,4784,0,-5424,-2838,16514,0,-3468,14386,62636,2584007,803579,603604,194719,4245,1011,1780428,286577,77148,0,208828,601,116251,73718,235,32087,10211,38142,-864,39006,884987,431230,20909,0,432848,0,454471,6581,92398,347129,8363,0,0,2584007,265049,0,259752,85102,69344,3450,12308,174650,2667,2630,2318958
1963,54877,9288,45589,16657,15845,812,7418,21514,474251,21514,350408,314851,35557,118951,40500,78451,16236,62215,16622,474251,54552,30341,21669,1868,1107,429133,382035,47098,44213,47098,2885,18626,28797,24154,4643,9288,-883,25587,25587,59453,30694,4679,26108,0,-93,-1122,-826,-235,7,-68,1240,-282,1522,-3427,-6567,971,0,2169,0,32068,379,4237,27105,347,0,0,28955,0,28459,11064,8526,344,2194,17395,186,310,30498,5503,9266,0,-8674,-4911,7616,6764,-3,-2,856,46014,0,42566,2939,3446,0,-2937,53630,103346,2716308,839160,628622,204841,4529,1168,1877148,317421,81977,0,234936,508,115129,72892,0,32094,10143,39382,-1146,40528,920511,457229,24819,0,438463,0,484704,6960,96635,372399,8710,0,0,2716308,294004,0,288211,96166,77870,3794,14502,192045,2853,2940,2422304
1964,58370,9882,48488,17868,16989,879,8095,22526,508071,22526,375975,337788,38188,128080,44981,83099,18194,64905,18509,508071,52069,31317,22387,2187,1207,465913,410632,55281,51976,55281,3305,19823,30670,25565,5105,9882,-965,32153,32153,71480,32372,6339,26105,0,-72,3831,679,245,2760,147,1393,-177,1570,-3188,-6516,944,0,2384,0,37072,547,4416,31599,510,0,0,29365,0,28919,11085,9482,1340,263,17834,186,260,42115,20069,11755,0,-1648,-9962,13743,14960,-15,-7,-1196,95675,0,79570,2684,17301,0,-3880,109417,181462,2927135,884106,662499,215400,4873,1334,2043029,346262,84785,0,261041,436,118960,73571,245,34854,10290,41275,-823,42098,1016878,530283,28447,0,458148,0,519654,7507,101051,401876,9220,0,0,2927135,323369,0,317130,107251,87352,5134,14765,209879,3039,3200,2603766
1965,62611,10662,51949,19316,18338,978,8818,23815,547929,23815,405415,363757,41658,139135,49319,89816,20205,69611,20436,547929,57664,33913,23416,2265,1300,501726,442973,58753,55145,58753,3608,20444,32099,26231,5868,10662,-993,34702,34702,75409,34128,6739,27473,0,-84,2466,1191,887,1677,-1289,1026,513,513,-4762,-10600,2073,0,3765,0,42551,719,4825,36265,742,0,0,29417,0,28733,10901,10137,-427,1191,17832,264,420,45992,30082,15925,0,2866,-11291,9928,13404,-22,-7,-3448,103735,0,81265,3890,23125,0,-4545,113662,198889,3155441,930942,696286,227877,5257,1522,2224499,380386,91520,0,288514,352,121426,74762,1132,36531,9001,42301,-310,42611,1120396,600948,34410,0,485038,0,559990,8226,105876,435926,9962,0,0,3155441,352786,0,345863,118152,97489,4707,15956,227711,3303,3620,2802655
1966,67587,11533,56054,21261,20056,1205,9510,25283,601469,25283,449249,400321,48928,148930,54336,94594,20670,73924,21993,601469,66378,37504,31336,2113,1591,541780,479919,61861,57975,61861,3886,18579,31164,25009,6155,11533,-1052,39396,39396,78499,20237,1833,18621,0,-217,15776,4318,4718,4620,2120,1901,245,1656,-7924,-13622,2206,0,3492,0,48509,709,4692,42277,831,0,0,22896,0,22190,8539,5933,671,1935,13651,356,350,55603,39111,17853,0,5051,-16207,37601,33670,136,-1,3796,-35202,0,-55909,-2766,30003,0,-6530,2399,99485,3278162,1005994,748935,249526,5795,1738,2272168,400623,93353,0,307135,135,137202,79080,5850,41151,11121,44552,-65,44617,1083801,531417,33850,0,518534,0,605991,8935,110568,475695,10793,0,0,3278162,376022,0,368393,126691,103422,5378,17891,241702,3659,3970,2902140
1967,72940,12445,60495,23384,21976,1408,10633,26478,641462,26478,481791,429009,52782,156393,59502,96891,21510,75381,23200,641462,72961,45752,34867,2262,1968,579680,506685,72995,69017,72995,3978,18179,31684,25517,6166,12445,-1060,50838,50838,93324,45190,10291,35009,0,-110,1365,-88,415,-2952,3990,4348,2224,2124,-10437,-12306,929,0,940,0,52858,803,4965,46206,884,0,0,34973,0,34055,17706,5145,8026,4535,16349,288,630,58351,27536,16002,0,4021,-7513,33286,26796,80,13,6397,171613,0,144106,8194,23724,0,-4411,204899,301451,3614460,1074447,794221,271925,6317,1984,2540013,445900,103731,0,342144,25,138576,78992,6265,38208,15111,48766,2159,46607,1249387,663217,42973,0,543197,0,657384,9738,115533,520252,11861,0,0,3614460,410869,0,402322,144397,108567,13404,22426,257925,3947,4600,3203591
1968,78998,13640,65358,26086,24616,1470,11994,27279,701370,27279,530751,471972,58779,168712,65353,103359,23535,79824,25371,701370,86987,53306,38695,2788,2005,629777,556853,72924,68836,72924,4088,21135,35860,29431,6430,13640,-1085,47701,47701,90004,39096,8928,30168,0,0,3919,2743,-145,-1614,2935,5053,2719,2334,-17955,-23324,2205,0,3164,0,59891,929,4788,53185,989,0,0,25047,0,24142,8719,10757,-6596,4558,15423,355,550,64957,46340,20868,0,8215,-17257,85466,76009,160,60,9237,191157,0,151332,4351,41931,0,-6457,276623,391799,4031534,1200785,889605,302030,6876,2274,2830749,484971,112659,0,372312,0,142391,81735,6120,36490,18046,53960,4878,49082,1429047,791225,49529,0,588293,0,720380,10667,120321,576542,12850,0,0,4031534,436144,0,426692,153452,119324,6808,27320,273240,4302,5150,3595390
1969,87045,15235,71810,29477,27721,1756,13407,28926,768241,28926,584459,518333,66126,183342,76164,107178,24239,82939,28487,768241,104506,58973,44127,3331,2215,679697,603639,76058,71433,76058,4625,22489,38477,31072,7405,15235,-753,48945,48945,86535,6970,-1724,8694,0,0,30944,11431,5185,10754,3574,-370,-2227,1857,-21894,-24708,2666,0,148,0,70885,1158,5038,63612,1077,0,0,29056,0,28000,9582,9907,220,-545,18418,386,670,57479,36287,19500,0,8252,-8534,66629,58052,181,91,8306,-109496,0,-127730,-6617,34829,0,-9978,-42867,64853,4124022,1308683,968674,329836,7605,2568,2815339,492052,110925,0,381127,0,173775,93166,11305,47244,22060,51888,2651,49237,1307628,638787,45578,0,623263,0,789997,11825,125359,638886,13927,0,0,4124022,463780,0,453272,163563,129231,7557,26775,289709,4688,5820,3660242
