date,FA116902505.A,FA116300001.A,FA116902605.A,FA116025001.A,FA116020001.A,FA116401005.A,FA116240101.A,FA116402105.A,FA116140001.A,FA116402105.A,FA116130101.A,FA116150005.A,FA116130001.A,FA116122001.A,FA113192281.A,FA116112001.A,FA116140001.A,FA116403001.A,FA116012005.A,FA116012005.A,FA116006305.A,FA116012005.A,FA115440005.A,FA115050985.A,FA115019085.A,FA115013085.A,FA115012005.A,FA116300001.A,FA115020005.A,FA115000905.A,FA115000905.A,FA114090005.A,FA114000005.A,FA113020005.A,FA113030003.A,FA114022005.A,FA113061003.A,FA113062003.A,FA114023005.A,FA113066003.A,FA113065005.A,FA113081005.A,FA113034003.A,FA113092405.A,FA113076005.A,FA113096005.A,FA113070003.A,FA113072003.A,FA113093005.A,FA114194005.A,FA114135005.A,FA114141005.A,FA113168005.A,FA113169005.A,FA114142005.A,FA113165005.A,FA115114305.A,FA113181005.A,FA112090205.A,FA115114103.A,FA113196005.A,FA113170005.A,FA113178003.A,FA113193003.A,FA115000005.A,FV118090105.A,FV112010005.A,FV118090085.A,FR112010005.A,FR115035005.A,FR115035023.A,FR115035035.A,FR115015205.A,FR115012265.A,FR115013265.A,FR115013765.A,FR115020005.A,FR114022005.A,FR114190085.A,FR115114305.A,FR112090205.A,FR115114103.A,FR118200005.A,FC112090095.A,FL112000005.A,LM112010005.A,LM115035005.A,LM115035023.A,LM115035035.A,LM115015205.A,LM115012265.A,LM115013265.A,LM115013765.A,LM115020005.A,FL114090005.A,FL114000005.A,FL113020005.A,FL113030003.A,LM114022005.A,LM113061003.A,LM113062003.A,FL114023005.A,FL113066003.A,FL113065005.A,FL113081005.A,FL113034003.A,FL113092405.A,FL113076005.A,FL113096005.A,FL113070003.A,FL113072003.A,FL113093005.A,FL112100005.A,FL114194005.A,FL114135005.A,FL114141005.A,FL113168005.A,FL113169005.A,FL114142005.A,FL113165005.A,FL115114305.A,LM113181005.A,LM112090205.A,LM115114103.A,FL113196005.A,FL113170005.A,FL113178003.A,FL113193003.A,FL112090095.A
1960,117056,11330,105726,37292,34990,2302,9671,58763,266,58763,599,59096,4676,54417,4,0,266,266,0,0,0,0,0,4969,15117,10646,4471,11330,1182,-4969,-4969,-399,-693,-693,0,0,0,0,-223,-223,0,21,0,21,176,320,320,0,0,4466,4778,834,515,319,3944,3942,2,-894,-897,3,582,582,0,0,-4865,1,0,1,10834,10680,9449,1231,404,-43,446,98,-347,0,10836,0,10834,2,-1,0,469339,434721,349081,163600,185481,45486,2251,43235,5154,35000,34617,18044,18044,0,0,0,0,3202,3202,0,252,0,252,4566,8554,8554,0,0,469339,469339,55055,16282,8858,7424,38773,38742,31,398670,398552,118,15614,15614,0,0,0
1961,119601,11541,108060,36824,34470,2354,9508,61728,298,61728,602,62032,5161,56866,5,0,298,298,0,0,0,0,0,5923,16129,10682,5447,11541,1335,-5923,-5923,641,118,118,0,0,0,0,-72,-72,0,25,0,25,220,350,350,0,0,6447,6696,957,601,356,5739,5737,2,227,218,9,-476,-476,0,0,-5806,2,0,2,17007,16595,9999,6596,69,-39,107,108,235,0,17009,0,17009,0,-2,0,492792,457534,370084,176327,193757,45399,2305,43094,5480,36571,35258,18162,18162,0,0,0,0,3130,3130,0,276,0,276,4787,8904,8904,0,0,492792,492792,61750,17239,9459,7780,44511,44478,33,415906,415779,127,15136,15136,0,0,0
1962,123871,11887,111984,37760,35204,2556,9838,64386,312,64386,600,64674,5665,59004,5,0,312,312,0,0,0,0,0,8265,18351,11690,6661,11887,1801,-8265,-8265,-98,1,1,0,0,0,0,185,185,0,26,0,26,132,-442,-442,0,0,8031,7586,1572,1114,458,6014,6013,1,558,555,3,-113,-113,0,0,-8129,0,0,0,16514,15965,9229,6736,273,-60,333,41,235,0,16514,0,16514,0,0,0,517337,482177,391707,189298,202409,46183,2347,43836,5680,38607,35160,18163,18163,0,0,0,0,3315,3315,0,301,0,301,4919,8462,8462,0,0,517337,517337,69336,18811,10573,8238,50525,50491,34,432978,432848,130,15023,15023,0,0,0
1963,127257,12230,115027,38716,35955,2761,10227,66084,312,66084,607,66379,6149,60225,5,0,312,312,0,0,0,0,0,9613,20259,12568,7691,12230,1584,-9613,-9613,-40,-145,-145,0,0,0,0,238,238,0,28,0,28,340,-501,-501,0,0,9455,8671,1982,1157,825,6689,6688,1,2174,2169,5,-1390,-1390,0,0,-9495,-3,0,-3,3451,6779,-1874,8653,512,-20,532,154,-3993,0,3448,0,3446,2,3,0,530240,495123,405397,192067,213330,47570,2463,45107,5958,36198,35117,18018,18018,0,0,0,0,3553,3553,0,328,0,328,5258,7961,7961,0,0,530240,530240,78007,20793,11731,9063,57214,57179,35,438600,438463,137,13633,13633,0,0,0
1964,133367,12750,120617,40739,37904,2835,10488,69391,352,69391,666,69705,7000,62698,7,0,352,352,0,0,0,0,0,9354,21965,13546,8419,12750,139,-9354,-9354,908,102,102,0,0,0,0,226,226,0,35,0,35,400,145,145,0,0,10132,8298,1588,747,841,6710,6708,2,2390,2384,6,-556,-556,0,0,-9224,-1,0,-1,17302,17696,6957,10739,604,-29,633,203,-1200,0,17301,0,17301,0,1,0,557674,521649,430762,204221,226541,49565,2582,46983,6186,35136,36024,18119,18119,0,0,0,0,3779,3779,0,362,0,362,5658,8106,8106,0,0,557674,557674,86304,22381,12477,9904,63923,63886,37,458291,458148,143,13078,13078,0,0,0
1965,140572,13516,127057,41842,38951,2891,10671,74543,408,74543,665,74801,7674,67119,8,0,408,408,0,0,0,0,0,12303,23282,15350,7932,13516,2537,-12303,-12303,642,104,104,0,0,0,0,261,261,0,51,0,51,402,-176,-176,0,0,12774,9329,2359,1569,790,6970,6968,2,3773,3765,8,-328,-328,0,0,-12132,-1,0,-1,23126,19992,6559,13433,940,-83,1022,259,1936,0,23126,0,23125,1,1,0,593574,556907,458451,215228,243223,52384,2683,49701,6463,39609,36666,18223,18223,0,0,0,0,4040,4040,0,413,0,413,6060,7930,7930,0,0,593574,593574,95633,24741,14046,10695,70892,70853,39,485190,485038,152,12750,12750,0,0,0
1966,148842,14511,134332,44378,41050,3328,10455,79499,471,79499,707,79735,8420,71306,8,0,471,471,0,0,0,0,0,11111,23978,16516,7462,14511,1643,-11111,-11111,1051,-10,-10,0,0,0,0,-52,-52,0,52,0,52,500,561,561,0,0,11978,9685,3176,2250,926,6509,6508,1,3495,3492,3,-1203,-1203,0,0,-10927,1,0,1,30003,27885,15132,12753,2407,-1,2409,225,-514,0,30004,0,30003,1,-1,0,635555,597837,493570,234063,259507,56839,2848,53991,6690,40738,37718,18213,18213,0,0,0,0,3988,3988,0,466,0,466,6560,8491,8491,0,0,635555,635555,105318,27917,16296,11621,77401,77361,40,518690,518534,156,11547,11547,0,0,0
1967,153573,15500,138073,45082,41694,3388,11641,81350,508,81350,801,81643,9138,72495,10,0,508,508,0,0,0,0,0,10071,23482,16196,7286,15500,2089,-10071,-10071,1296,132,132,0,100,100,0,-116,-116,0,57,0,57,592,531,531,0,0,11199,10335,2518,1360,1158,7817,7813,4,955,940,15,-91,-91,0,0,-9903,-3,0,-3,23727,22908,10054,12854,2386,33,2353,413,-1980,0,23724,0,23724,0,3,0,670479,631467,522958,247419,275539,60639,3037,57602,7023,40847,39013,18344,18344,0,100,100,0,3872,3872,0,523,0,523,7152,9022,9022,0,0,670479,670479,115655,30436,17657,12779,85219,85175,44,543368,543197,171,11456,11456,0,0,0
1968,161589,16660,144929,46732,43110,3622,11893,86305,483,86305,833,86655,10038,76606,11,0,483,483,0,0,0,0,0,12433,26742,16449,10292,16660,2351,-12433,-12433,-194,155,155,0,200,200,0,-20,-20,0,107,0,107,731,-1367,-1367,0,0,12049,10975,2258,1463,795,8717,8713,4,3178,3164,14,-2105,-2105,0,0,-12243,0,0,0,41932,37486,22313,15173,3065,80,2985,332,1049,0,41932,0,41931,1,0,0,724460,685641,569262,275581,293681,64811,3367,61444,7321,44247,38819,18499,18499,0,300,300,0,3852,3852,0,630,0,630,7882,7655,7655,0,0,724460,724460,126630,32694,19120,13573,93936,93888,48,588479,588293,186,9351,9351,0,0,0
1969,170088,18146,151942,48545,44724,3821,12541,90857,518,90857,1077,91415,11517,79888,10,0,518,518,0,0,0,0,0,14408,31333,18631,12702,18146,1221,-14408,-14408,1975,79,79,0,200,200,0,160,-140,300,64,0,64,1017,455,455,0,0,16130,15323,4299,2747,1552,11024,11019,5,165,148,17,642,642,0,0,-14155,3,0,3,34826,28493,14559,13934,3429,69,3361,468,2435,0,34829,0,34829,0,-3,0,775416,734622,609003,297781,311222,69959,3755,66204,7756,47903,40794,18578,18578,0,500,500,0,4012,3712,300,695,0,695,8899,8110,8110,0,0,775416,775416,141958,36998,21874,15125,104960,104907,53,623466,623263,203,9992,9992,0,0,0
