date,FA106902501.A,FA106300003.A,FA106902605.A,FA106025005.A,FA106020001.A,FA106401001.A,FA106240101.A,FA106402101.A,FA106140005.A,FA106402101.A,FA106150105.A,FA106130101.A,FA106121101.A,FA103092201.A,FA106150005.A,FA106130001.A,FA106121001.A,FA103192201.A,FA106112001.A,FA106140005.A,FA106220001.A,FA106403001.A,FA106012095.A,FA106012095.A,FA106006385.A,FA106012095.A,FA105440005.A,FA105050985.A,FA105019085.A,FA106300003.A,FA105420095.A,FA105020005.A,FA105000905.A,FA105000905.A,FA104090005.A,FA104000005.A,FA103020000.A,FA103030003.A,FA103091003.A,FA104022005.A,FA103069100.A,FA103061103.A,FA103061703.A,FA103062003.A,FA104035005.A,FA104041005.A,FA104042005.A,FA103081005.A,FA103034000.A,FA103064103.A,FA103064203.A,FA103092105.A,FA103092405.A,FA103094105.A,FA103076005.A,FA103096005.A,FA103070005.A,FA103072005.A,FA103093005.A,FA104194005.A,FA104122005.A,FA103169100.A,FA103162000.A,FA103163003.A,FA104135005.A,FA104141005.A,FA103168005.A,FA103169005.A,FA104142005.A,FA103165005.A,FA103192305.A,FA103181005.A,FA103164103.A,FA103192105.A,FA103152025.A,FA573074005.A,FA573073005.A,FA103196005.A,FA103170005.A,FA103178005.A,FA103193005.A,FA105000005.A,FV108090105.A,FV102010005.A,FV108090085.A,FU107005045.A,FU105020601.A,FR102010005.A,FR105035005.A,FR105015205.A,FR105013765.A,FR105020015.A,FR108080095.A,FR104022005.A,FR103092305.A,FR103064103.A,FR103064203.A,FR103092105.A,FR103093005.A,FR104190085.A,FR103192305.A,FR103164103.A,FR103192105.A,FR103152025.A,FR103193005.A,FR108200005.A,FC102090095.A,FL102000005.A,LM102010005.A,LM105035005.A,LM105015205.A,LM105013765.A,LM105020015.A,FL104090005.A,FL104000005.A,FL103020000.A,FL103030003.A,FL103091003.A,LM104022005.A,FL103069100.A,LM103061103.A,LM103061703.A,LM103062003.A,FL104035005.A,FL104041005.A,FL102051003.A,FL103066005.A,FL104042005.A,FL103065003.A,FL103092305.A,FL103081005.A,FL103034000.A,LM103064103.A,LM103064203.A,LM103092105.A,FL103092405.A,FL103094105.A,FL103076005.A,FL103096005.A,FL103070005.A,FL103072005.A,FL103093005.A,FL102100085.A,FL104194005.A,FL104122005.A,FL103169100.A,FL103162000.A,FL103163003.A,FL104135005.A,FL104141005.A,FL103168005.A,FL103169005.A,FL104142005.A,FL103165005.A,LM103192305.A,FL103181005.A,LM103164103.A,FL103192105.A,FL103152025.A,FL573074005.A,FL573073005.A,FL103196005.A,FL103170005.A,FL103178005.A,FL103193005.A,FL102090095.A
1960,282484,27560,254924,180409,165053,15356,26600,47915,35322,47915,8139,3263,3569,1307,20732,6148,14024,132,428,35322,19142,1266,14914,14914,15007,14914,-93,14198,40359,27560,-652,2051,809,809,2840,563,-940,1500,3,-5319,46,-5869,-84,588,-383,-495,112,2732,0,0,0,2711,21,0,597,4650,4925,0,-275,13617,3876,454,0,3422,5118,4254,2212,2042,864,816,48,1557,1365,192,1026,66,960,2040,2835,-1590,795,-10777,-9621,0,1792,11585,-173,-1565,-2697,423,269,441,2,0,-35,0,0,-867,903,3,2,1644,4,-97,-1550,-1566,3820,790143,609666,352721,141877,25168,89900,180477,31391,28243,3000,148,20038,788,15752,1116,2382,10839,9623,0,9623,1216,24,1192,29557,0,0,0,29478,79,0,4728,83924,82311,0,1613,790143,598843,76985,769,0,76216,69674,46782,37651,9131,22892,21825,1067,369268,365166,4102,41398,613,40785,41518,61935,12560,-32977,191300
1961,290423,28564,261859,184516,168575,15941,27620,49723,36268,49723,8558,3325,4116,1117,22013,6609,14692,179,534,36268,19419,1421,15429,15429,15552,15429,-123,12718,40366,28564,-723,1639,2833,2833,13352,4271,3083,1100,88,-1210,301,-1656,132,13,102,-6,108,2428,0,0,0,2420,8,0,468,7293,7892,0,-599,85284,4720,325,0,4395,2696,1257,934,323,1439,1417,22,2361,2121,240,-830,127,-957,76337,5239,621,70477,-71932,-73175,0,1861,74765,271,1856,2068,-826,252,362,1,0,8,0,0,190,-197,-149,3,70387,-148,-3305,-67086,2006,-55618,819661,626539,362550,145126,27234,91629,193122,36009,31673,4100,236,18828,1089,14096,1248,2395,10949,9617,0,9617,1332,33,1299,32176,0,0,0,32088,88,0,5195,89964,88253,0,1711,819661,683979,81705,1094,0,80611,72374,48039,38585,9454,24335,23243,1092,441868,437674,4194,37262,740,36522,50770,65676,13274,-28180,135682
1962,316808,29824,286984,199256,181160,18096,29869,57859,42905,57859,9254,3606,4383,1265,24207,7456,15973,158,620,42905,20591,1579,20735,20735,20861,20735,-126,17141,43505,29824,-840,4300,3720,3720,11970,4345,3570,900,-125,-1245,215,-1789,27,302,899,773,126,2777,0,0,174,2593,10,0,554,4640,4519,0,121,15853,4136,104,0,4032,6430,4023,3641,382,2407,2320,87,585,369,216,-2758,28,-2786,7460,2935,1081,3444,-3883,-4951,0,2678,7603,26,3045,1479,569,107,890,-6,0,-12,0,-6,-280,291,-13637,-8,-13729,92,2532,-2524,16676,32586,854463,649377,371962,151526,29096,96793,205086,40354,34564,5000,790,17583,1304,12307,1275,2697,11836,10390,0,10390,1446,54,1392,34668,0,0,168,34401,99,0,5749,94896,92772,0,2124,854463,686195,85841,1198,0,84643,78796,52062,42226,9836,26734,25563,1171,428816,424314,4502,37034,768,36266,55708,68611,14355,-27258,168268
1963,337829,31340,306490,210106,190566,19540,31667,64716,48843,64716,10168,4078,4511,1579,26041,8305,16955,180,601,48843,22754,1595,24494,24494,24582,24494,-88,18259,46355,31340,-793,4037,6323,6323,12016,-509,-987,687,-209,3909,-335,2821,333,1090,1089,955,134,2559,0,-640,16,3183,0,0,355,4613,6308,0,-1695,20335,3541,-230,0,3771,7233,4531,3424,1107,2702,2673,29,-143,-341,198,-1493,127,-1620,11197,7365,1389,2443,-8319,-11928,0,2768,14642,54,2515,1066,274,449,726,3329,0,-1,3306,19,-22,25,41751,8,41806,-56,-2971,2963,-35907,-23253,893295,672864,381280,158459,31623,101502,220431,39845,33427,5687,731,21492,969,15128,1608,3787,12924,11345,0,11345,1579,60,1519,50531,0,12666,203,37562,100,0,6105,89534,99080,0,-9546,893295,748280,89382,968,0,88414,86010,56566,45623,10942,29444,28236,1208,470423,465779,4644,32570,895,31675,69895,75976,15744,-21825,145015
1964,364523,33252,331271,225657,204546,21111,33878,71736,53723,71736,10841,4437,4875,1529,28854,9086,18871,247,651,53723,23888,1871,27965,27965,28046,27965,-81,22264,51752,33252,-919,4683,5782,5782,12875,661,-426,984,103,-637,725,-647,-608,-107,1408,1245,163,3012,0,-453,37,3426,2,0,329,8102,8542,0,-440,23560,4151,157,0,3994,9796,6550,4818,1732,3246,3206,40,1396,1145,251,-1086,154,-1240,9303,6959,467,1877,-10685,-13403,0,2570,16467,-494,11621,8718,1215,504,1184,1643,0,0,1631,13,-14,13,78923,-3,79031,-107,-3145,3147,-65659,-51016,944763,709814,399403,168396,34151,107864,234949,40506,32738,6671,1097,20855,1694,14481,1000,3680,14332,12590,309,12281,1742,84,1658,55174,0,13844,253,40974,103,0,6434,97648,107622,0,-9974,944763,850764,93533,1125,0,92408,95637,62949,50264,12685,32688,31443,1245,550743,545955,4788,28339,1049,27290,82512,82924,16211,-16623,93999
1965,400741,35828,364913,245400,222158,23242,36022,83491,62725,83491,11299,4642,4991,1666,32065,9938,21186,271,670,62725,27137,2102,33486,33486,33567,33486,-81,31669,61559,35828,-772,6710,1898,1898,26114,2321,311,2322,-312,-1099,-324,-1933,238,920,1428,1229,199,4703,0,46,51,4598,8,0,425,18336,13270,0,5066,35533,4524,-328,0,4852,15782,13035,10877,2158,2747,2657,90,343,-28,371,1215,154,1061,13670,11721,2083,-134,-9419,-6552,0,3520,11317,-1245,15045,11616,959,698,1772,1283,0,221,1258,26,5698,-5920,77831,-6,77885,-55,-3308,3314,-61503,-34488,1023638,761292,423994,182211,37496,117591,262346,42827,33053,8993,781,19756,1370,12548,1238,4600,15981,13819,593,13226,2162,88,2074,66859,0,15148,330,51270,111,0,6859,110064,120892,0,-10828,1023638,964127,98057,797,0,97260,111465,76035,61141,14894,35430,34101,1329,628916,623812,5104,26243,1203,25040,99446,94592,18294,-13440,59511
1966,440080,39392,400688,272851,245240,27611,36973,90864,68619,90864,12026,5316,4756,1954,34271,11728,21507,263,773,68619,29492,2617,36510,36510,36593,36510,-83,43443,71802,39392,-960,11993,-6850,-6850,16497,-968,-682,-390,104,-1184,1482,-1494,-211,-961,701,473,228,8931,0,3793,141,4971,26,0,576,8441,12376,0,-3935,35478,11039,825,0,10214,13880,10192,8574,1618,3688,3580,108,1516,1259,257,3352,46,3306,5691,9118,-880,-2547,-18981,-7190,0,2833,12131,-2107,23113,15744,5346,753,1271,-2139,0,-69,-2094,-46,-1717,1788,-77029,-3,-77180,152,3841,-3839,98003,127405,1109493,832789,454030,204158,41639,132962,276704,41859,32371,8603,885,18572,2852,11054,1027,3639,16613,14292,895,13397,2321,114,2207,71932,0,16847,425,54524,136,0,7435,120293,133268,0,-12975,1109493,922577,109096,1622,0,107474,125262,86137,69715,16422,39125,37691,1434,553404,547891,5513,33435,1249,32186,101380,103800,17414,-19834,186916
1967,463192,43452,419740,291064,261618,29446,39311,89364,65108,89364,13108,5994,5153,1961,37365,13650,22426,351,938,65108,27828,2703,34577,34577,34662,34577,-85,37936,73703,43452,-91,7776,-3274,-3274,14317,3695,2532,1079,84,-1701,1100,-2440,-22,-339,234,59,175,3228,0,-1280,124,4367,17,0,681,8180,8330,0,-150,30787,16070,1412,0,14658,6361,6708,6555,153,-347,-470,123,2945,2397,548,4958,221,4737,453,5923,-4189,-1281,-16470,-9792,0,1850,13196,-1554,24307,15109,6669,1568,961,3431,0,68,3344,86,1694,-1761,161902,10,161933,-33,-5818,5810,-134164,-109294,1192886,898434,483207,225192,46782,143253,294452,45554,34817,9682,1055,16871,3952,8614,1005,3300,16915,14351,670,13681,2564,112,2452,80284,0,18911,635,60585,153,0,8116,126712,141598,0,-14886,1192886,1115264,125166,3034,0,122132,131646,92844,76269,16575,38802,37235,1567,718249,712221,6028,32574,1470,31104,107629,109723,13225,-15319,77622
1968,510944,48092,462853,320868,288122,32746,45535,96449,69525,96449,15463,7308,5502,2653,42388,16402,24540,391,1054,69525,33534,2937,33054,33054,33166,33054,-112,39345,80151,48092,585,6701,-6180,-6180,31384,2620,2714,-626,532,2403,1147,345,429,482,751,566,185,8570,0,3579,178,4781,32,0,806,16234,18525,0,-2291,49431,14108,1215,0,12893,17639,12297,9837,2460,5342,5199,143,455,-159,614,6806,201,6605,10423,16490,1105,-7172,-18047,-7528,0,688,11867,-3651,38106,27748,8835,1975,-452,1654,0,103,1619,32,2662,-2762,130994,-8,131088,-94,-4626,4634,-91234,-65597,1307715,980225,524866,249670,52536,153153,327490,48174,37531,9056,1587,19274,5099,8959,1434,3782,17769,14917,1121,13796,2852,100,2752,93167,0,24109,845,68028,185,0,8923,140183,160123,0,-19940,1307715,1295689,139274,4249,0,135025,148502,104401,86106,18296,44101,42399,1702,849698,843150,6548,34753,1671,33082,123462,126213,14330,-17081,12026
1969,554625,53484,501141,356064,318844,37220,50181,94896,65046,94896,18897,9855,5971,3071,48748,22306,24997,352,1093,65046,33344,3047,28655,28655,28732,28655,-77,43192,89056,53484,-332,7952,-14460,-14460,37382,-227,5591,-5404,-414,-1524,2529,-3313,242,-982,2779,2421,358,13001,0,7525,55,5352,69,0,1170,22183,22823,0,-640,58720,13082,1107,0,11975,20165,18835,9556,9279,1330,1046,284,4302,3406,896,11713,39,11674,9458,19517,-1702,-8357,-21338,3058,0,4066,6878,-5870,50445,37549,9037,2938,922,-3213,0,130,-3065,-155,3315,-3438,-141316,-7,-141481,167,4451,-4446,188547,220338,1445458,1083799,580412,276216,59275,167897,361659,47947,43122,3652,1173,17750,7628,5646,1676,2800,20678,17338,3311,14027,3340,236,3104,106262,0,28569,745,76695,253,0,10093,158929,182946,0,-24017,1445458,1213095,152356,5356,0,147000,168502,123231,95655,27575,45271,43292,1979,712686,705075,7611,50915,1710,49205,128636,145730,12628,-29722,232363
