date,FA716902505.A,FA716330085.A,FA716902605.A,FA716025005.A,FA716020001.A,FA716401001.A,FA716240101.A,FA716402101.A,FA716140005.A,FA716402101.A,FA716150105.A,FA716130101.A,FA716121101.A,FA713092281.A,FA716150005.A,FA716130001.A,FA716120005.A,FA716121001.A,FA716122001.A,FA713192281.A,FA716112001.A,FA716140005.A,FA716220001.A,FA716403001.A,FA716012005.A,FA716012005.A,FA716006385.A,FA716012005.A,FA715440083.A,FA715015085.A,FA715013085.A,FA716330085.A,FA715000995.A,FA715000995.A,FA714090005.A,FA713011203.A,FA714000005.A,FA714022005.A,FA713069603.A,FA713061103.A,FA713061705.A,FA714041005.A,FA713064103.A,FA713096105.A,FA714190005.A,FA714100005.A,FA712151003.A,FA713164005.A,FA713193005.A,FA715000005.A,FV718090185.A,FV712010095.A,FV718090085.A,FU717005045.A,FR712010095.A,FR715013665.A,FR715013265.A,FR715013765.A,FR714022005.A,FR718200005.A,FC712090095.A,FL712000095.A,LM712010095.A,LM715013665.A,LM715013265.A,LM715013765.A,FL714090005.A,FL713011203.A,FL714000005.A,LM714022005.A,FL713069603.A,LM713061103.A,LM713061705.A,FL714041005.A,FL713064103.A,FL713096105.A,FL712100005.A,FL714190005.A,FL714100005.A,FL712151003.A,FL713164005.A,FL713193005.A,FL712090095.A
2001,2995,1075,1920,1351,1182,169,0,569,2456,569,30867,30867,0,0,28980,1463,27517,27517,0,0,0,2456,0,634,1822,1822,1822,1822,0,-15,1061,1075,1837,1837,47023,-1,797,39852,0,39972,-120,6799,0,-424,46578,48819,0,376,-2617,445,-1392,0,0,1392,-19,152,-159,-12,0,-19,412,692101,9143,5115,3435,593,682958,11045,47439,551685,0,551675,10,50284,0,22505,692101,677668,669145,0,7373,1150,14433
2002,2517,967,1550,1451,1258,193,0,99,-272,99,25799,25799,0,0,26170,1191,24979,24979,0,0,0,-272,0,635,-907,-907,-907,-907,0,-387,580,967,-521,-521,70691,-6,2332,77731,0,77731,0,-10744,0,1378,69646,47871,21091,1007,-323,1045,1566,0,0,-1566,65,150,-73,-12,0,65,723,762470,8821,5258,2986,577,753649,11039,51838,629416,0,629406,10,39540,0,21816,762470,747314,717016,21091,8380,827,15156
2003,1949,878,1071,1452,1282,170,0,-381,-1230,-381,22858,22858,0,0,23707,1168,22539,22539,0,0,0,-1230,0,805,-2035,-2035,-2035,-2035,0,-261,617,878,-1774,-1774,43190,0,385,37249,0,37259,-10,4272,0,1284,42793,37901,4561,467,-136,397,2171,0,0,-2171,115,137,-16,-6,0,115,251,805514,8675,5419,2688,568,796839,11039,54892,666665,0,666665,0,43812,0,20431,805514,790107,754917,25652,8847,691,15407
2004,2142,844,1298,1476,1305,171,0,-178,2540,-178,22616,22616,0,0,19898,1238,18660,18660,0,0,0,2540,0,776,1764,1764,1764,1764,0,-44,800,844,1808,1808,44437,2,2518,51154,0,51154,0,-10769,0,1533,41756,32312,5131,3067,1246,2681,873,0,0,-873,568,518,54,-4,0,568,3205,850475,9199,5998,2586,615,841276,11041,58598,717819,0,717819,0,33043,0,20775,850475,831863,787229,30783,11914,1937,18612
2005,2111,817,1294,1535,1335,200,0,-241,4963,-241,29249,29249,0,0,24045,1797,22248,22248,0,0,0,4963,0,743,4220,4220,4220,4220,0,-276,541,817,4496,4496,37383,-2,391,26396,0,26396,0,13779,0,-3181,36128,33669,-278,1622,1115,1255,-3241,0,0,3241,638,626,6,6,0,638,1617,888220,9561,6612,2356,593,878659,11039,56240,744215,0,744215,0,46822,0,20343,888220,867991,820898,30505,13536,3052,20229
2006,1993,798,1195,1635,1437,198,0,-440,4073,-440,36833,36833,0,0,32320,2397,29923,29923,0,0,0,4073,0,793,3280,3280,3280,3280,0,-9,790,798,3289,3289,29560,-2,797,34700,0,34700,0,-6005,0,70,27279,24873,-890,1789,1507,2281,-1008,0,0,1008,585,557,24,3,0,585,2857,918356,10137,7206,2291,640,908219,11037,58224,778915,0,778915,0,40817,0,19226,918356,895270,845771,29615,15325,4559,23086
2007,1995,805,1190,1746,1536,210,0,-556,1998,-556,40944,40944,0,0,38390,2799,35591,35591,0,0,0,1998,0,872,1126,1126,1126,1126,0,130,935,805,996,996,42712,0,1284,-38304,0,-38304,0,78319,0,1414,39751,24339,14370,3125,-2083,2961,1965,0,0,-1965,306,304,-2,4,0,306,3397,961504,10573,7713,2199,661,950931,11037,61473,740611,0,740611,0,119136,0,18674,961504,935021,870110,43985,18450,2476,26483
2008,3388,799,2589,1948,1716,232,0,641,3501,641,38916,38916,0,0,36056,3178,32878,32878,0,0,0,3501,0,853,2648,2648,2648,2648,0,-175,624,799,2823,2823,1319808,0,-850,-244982,0,-264690,19708,1564698,0,942,1317214,1272278,44367,2626,-2057,2594,-229,0,0,229,558,504,49,5,0,558,2977,2281695,10956,8188,2123,645,2270739,11037,62921,495629,0,475921,19708,1683834,0,17318,2281695,2252235,2142388,88352,21076,419,29460
2009,2495,801,1694,2034,1802,232,0,-340,-172,-340,53314,53314,0,0,53146,4288,48858,48858,0,0,0,-172,0,888,-1060,-1060,-1060,-1060,0,-86,715,801,-974,-974,-4535,0,3749,1349209,0,300667,1048542,-1434112,25106,51514,-9049,1707,-10620,4564,-4700,4514,5488,0,0,-5488,-388,-345,-28,-15,0,-388,4040,2276686,10482,7765,2020,697,2266204,11037,65733,1844838,0,776588,1068250,249722,25106,69768,2276686,2243186,2144095,77732,25640,-4281,33500
2010,2483,796,1687,2089,1844,245,0,-402,-7613,-402,78486,78486,0,0,85697,4846,80851,80851,0,0,0,-7613,0,1087,-8700,-8700,-8700,-8700,0,-210,586,796,-8490,-8490,185461,0,1782,316256,0,244905,71351,-151369,1279,17513,184568,175773,-18029,884,25940,893,9383,0,0,-9383,14,10,7,-3,0,14,697,2461951,10286,7632,1944,710,2451665,11037,68113,2161094,0,1021493,1139601,98353,26385,86683,2461951,2427754,2319868,59703,26524,21659,34197
