date,FA706902505.A,FA706300081.A,FA706902605.A,FA706025005.A,FA706020001.A,FA706401001.A,FA706240101.A,FA706402101.A,FA706140005.A,FA706402101.A,FA706150105.A,FA706130101.A,FA706121101.A,FA703092281.A,FA706150005.A,FA706130001.A,FA706120005.A,FA706121001.A,FA706122001.A,FA703192281.A,FA706112001.A,FA706140005.A,FA706220001.A,FA706403001.A,FA706012005.A,FA706012005.A,FA706006385.A,FA706012005.A,FA705440083.A,FA705015085.A,FA705013081.A,FA706300081.A,FA705000995.A,FA705000995.A,FA704090005.A,FA704000005.A,FA703025005.A,FA713113003.A,FA403197033.A,FA704022005.A,FA703069175.A,FA703061105.A,FA703061705.A,FA703062005.A,FA703063005.A,FA704035005.A,FA704041005.A,FA704042005.A,FA703081005.A,FA703064105.A,FA703064205.A,FA703092405.A,FA763092100.A,FA713164003.A,FA763040005.A,FA703093005.A,FA704194005.A,FA704100005.A,FA703127005.A,FA703130205.A,FA704122005.A,FA763163005.A,FA703169175.A,FA704135005.A,FA704141005.A,FA753192305.A,FA703181105.A,FA763164103.A,FA753192103.A,FA703194005.A,FA703196005.A,FA705000005.A,FV708090185.A,FV702010095.A,FV708090085.A,FU707005045.A,FR702010095.A,FR705013665.A,FR705013265.A,FR705013765.A,FR704090085.A,FR704022005.A,FR763092305.A,FR703064105.A,FR703064205.A,FR763092100.A,FR704190085.A,FR753192305.A,FR763164103.A,FR753192103.A,FR703194005.A,FR708200005.A,FC702090095.A,FL702000095.A,LM702010095.A,LM705013665.A,LM705013265.A,LM705013765.A,FL704090005.A,FL704000005.A,FL703025005.A,FL713113003.A,FL403197033.A,LM704022005.A,FL703069175.A,LM703061105.A,LM703061705.A,LM703062005.A,LM703063005.A,FL704035005.A,FL704041005.A,FL704042005.A,FL703065005.A,FL763092305.A,FL703081005.A,LM703064105.A,LM703064205.A,FL703092405.A,LM763092100.A,FL713164003.A,FL763040005.A,FL703093005.A,FL702100005.A,FL704194005.A,FL704100005.A,FL703127005.A,FL703130205.A,FL704122005.A,FL763163005.A,FL703169175.A,FL704135005.A,FL704141005.A,FL753192305.A,FL703181105.A,LM763164103.A,LM753192103.A,FL703194005.A,FL703196005.A,FL702090095.A
2001,209900,25812,184088,95600,80607,14993,5100,83388,61288,83388,343100,338100,2300,2700,365200,306500,60100,60100,0,-1400,0,61288,32200,3000,26088,26088,26088,26088,0,4808,30620,25812,21280,21280,390864,9933,2939,-1567,8561,163656,1071,-20314,90200,7700,84999,160342,-20632,180974,19800,3396,11772,2841,1415,376,0,37133,443323,396032,63130,332902,2490,5655,-3165,37454,35312,2142,51441,8168,4286,38987,-44094,-52460,-35261,-296,38774,73740,2473,4913,-2194,-246,-19446,0,-113,-6411,-1717,-11205,34625,0,54090,-19465,0,-51598,-60772,8163713,265885,153466,100453,11966,7897828,90469,47330,17478,25661,1782954,1346,180415,1000647,124996,475550,5397236,2709156,2688080,2683513,4567,171288,40310,27407,33013,63185,7373,0,455880,8163713,8998130,5326672,757034,4569638,103068,98303,4765,1185118,1168267,16851,1758352,943672,92597,722083,624920,-834417
2002,209600,26374,183226,106500,89258,17242,5500,71226,69226,71226,319500,314500,1900,3100,321500,246200,75100,75000,100,200,0,69226,36500,3200,29526,29526,29526,29526,0,2326,28700,26374,27200,27200,638511,7500,488,5063,1949,212514,979,41169,166598,2473,1295,281575,-26429,308004,6933,1348,110,1679,2789,1007,0,129989,719793,312872,-49768,362640,-917,-756,-161,93300,92923,377,84624,5544,1729,77351,229914,-81282,36580,0,145062,108482,2336,4471,-1767,-368,-32313,0,-1,-11086,-3915,-17311,-63956,-357,-46297,-17302,0,33979,100085,8831269,271219,160677,97299,13243,8560050,97969,47818,22541,27610,1995468,2325,221584,1167245,127469,476845,5678812,2682729,2996083,2991257,4826,145910,30572,23602,34692,48663,8380,0,641891,8831269,9565601,5639543,707266,4932277,102151,97547,4604,1278062,1261191,16871,1779377,902919,77024,799434,766468,-734332
2003,225800,27147,198653,116000,99007,16993,5700,76953,57753,76953,293400,287600,1900,3900,312600,221100,90500,90400,100,1000,0,57753,38200,3500,16053,16053,16053,16053,0,2725,29872,27147,13328,13328,616917,-6455,133,517,-7105,177059,-1481,5310,120424,11847,40959,366636,58692,307944,3106,1358,-7157,1863,6575,467,0,76571,525278,385455,47125,338330,6230,6467,-237,18766,19240,-474,27251,9074,4642,13535,87576,91639,42394,0,-35917,-78311,3003,4268,-781,-484,35791,0,129,17105,4827,13730,288303,-47,260281,28069,0,-249509,-191062,9456338,279006,167535,97245,14226,9177332,91514,47951,23058,20505,2172527,844,150894,1285669,139316,595804,6080077,2775921,3304156,3299266,4890,184678,49035,21273,36555,68968,8847,0,648536,9456338,10381732,6024998,754391,5270607,108381,104014,4367,1296781,1280431,16350,2094978,1172274,109735,812969,856594,-925394
2004,232700,28404,204296,119100,101572,17528,6200,78996,82096,78996,294900,287100,1800,6000,291800,224100,64400,64300,100,3300,0,82096,42000,3700,36396,36396,36396,36396,0,4622,33026,28404,31774,31774,987372,-7559,-6423,985,-2121,62576,-76,-27398,8954,8895,72201,686155,131590,554565,7128,-1422,-2319,1833,5969,3067,0,239072,1015358,542119,47624,494495,12593,12867,-274,115352,110177,5175,240716,5615,12726,222375,104578,-27986,-134981,-363,-74858,59760,17397,15694,2008,-305,49984,0,-232,9861,2434,37921,164721,-175,126647,38249,0,-97340,-195925,10440492,302998,187700,99726,15572,10137494,83955,41528,24043,18384,2255102,768,123496,1314623,148211,668004,6766001,2907512,3858489,3851646,6843,242022,57474,21388,38388,112858,11914,0,790414,10440492,11561811,6592548,802015,5790533,120974,116881,4093,1411958,1390608,21350,2500590,1304536,160710,1035344,935741,-1121319
2005,252700,29439,223261,128500,108410,20090,6600,88161,78761,88161,375000,372400,2300,300,384400,308400,72900,72800,100,3100,0,78761,54100,4000,20661,20661,20661,20661,0,1777,31216,29439,18884,18884,956459,4333,8553,-5000,780,201810,91,-7147,45181,18456,145229,704556,219589,484967,657,-863,-2985,2075,808,1622,0,45103,769376,572126,-25632,597758,13515,13506,9,127896,128621,-725,63129,8418,10080,44631,-7290,187083,144731,-707,-22761,-168199,18308,18965,-607,-50,22204,0,413,6311,1243,14236,-26442,1052,-17767,-9727,0,66953,232345,11417371,325703,210815,98179,16709,11091668,88288,50081,19043,19164,2456912,859,116349,1359804,166667,813233,7470970,3127101,4343869,4336872,6997,264470,62923,19646,40463,127902,13536,0,811028,11417371,12306345,7164674,776383,6388291,134489,130387,4102,1542506,1520829,21677,2536225,1295187,161063,1079975,928451,-888974
2006,278700,30352,248348,133800,113621,20179,6900,107648,78248,107648,463300,452900,2800,7600,492700,395100,93200,93100,100,4400,0,78248,53300,4200,20748,20748,20748,20748,0,6545,36897,30352,14203,14203,935482,1095,1631,-344,-192,157579,119,528,19565,25053,112314,775416,383127,392289,5117,-385,3481,-67,299,1789,8212,-11937,848001,610306,-43473,653779,29360,29556,-196,105591,103686,1905,132788,10165,11890,110733,-30044,87481,29242,0,-44036,-73278,17369,17137,220,13,24203,0,345,17291,3611,2956,176911,275,175814,822,0,-135339,-85349,12356934,351853,234783,99459,17611,12005081,89383,51712,18699,18972,2607353,978,112557,1377503,191433,924882,8213139,3475443,4737696,4732320,5376,293445,79828,26738,40396,131157,15325,93392,708369,12356934,13331257,7774980,732910,7042070,160823,159943,880,1648372,1624515,23857,2845649,1481166,173775,1190708,901433,-974323
2007,286100,31040,255060,139800,118733,21067,7400,107860,64260,107860,506000,494100,3100,8800,549600,439600,107100,107000,100,2900,0,64260,40100,4400,19760,19760,19760,19760,0,4257,35297,31040,15503,15503,1087933,7019,3285,1813,1921,145945,-552,10366,-116429,12571,239989,844787,548100,296687,47221,1434,3523,7620,31519,3125,10899,32062,1025372,507848,18908,488940,24741,24820,-79,284318,292445,-8127,149778,7527,7322,134929,58687,62561,55222,0,8164,-47058,7932,9681,-1658,-90,52710,0,802,7500,1557,42851,-479727,1619,-418673,-62673,0,540369,615351,13517930,365700,250533,97283,17884,13152230,96402,54997,20512,20893,2753298,426,122923,1261074,204004,1164871,9036596,4010543,5026053,5018624,7429,392573,88762,31818,48016,205527,18450,104291,769070,13517930,13876902,8282828,740818,7542010,185564,184763,801,1934309,1916960,17349,2514081,1070020,118424,1325637,960120,-358972
2008,299000,31646,267354,132900,111709,21191,7900,126554,132354,126554,405700,391700,2800,11200,399900,347200,50800,50600,200,1900,0,132354,15200,4600,112554,112554,155354,112554,-42800,4613,36259,31646,150741,150741,1116578,768601,2728,771270,-5397,111304,15259,-20578,143046,20412,-46835,172884,133954,38930,16225,851,2092,-6237,16893,2626,6449,41115,1011676,698941,140163,558778,83,53,30,346123,350741,-4618,107747,12104,29370,66273,-141218,104902,213707,-254,259800,45839,16717,15328,1311,78,-139429,0,839,-55822,-12162,-72285,-606246,671,-514294,-92623,0,483533,852594,14775622,388215,272262,97532,18421,14387407,865003,57725,791782,15496,2867431,15685,102345,1404120,224416,1120865,9167296,4144186,5023110,5014174,8936,268530,33791,21749,41779,150135,21076,110740,1108407,14775622,14282000,8981769,880981,8100788,185315,184816,499,2281103,2267701,13402,2014911,567830,55171,1391910,818902,493622
2009,284400,32139,252261,147300,125331,21969,8700,96261,179261,96261,395100,378700,1900,14500,312100,263700,47300,47100,200,1100,0,179261,2000,4700,172561,172561,190561,172561,-18000,410,32549,32139,190151,190151,-657228,158513,-2803,160915,401,105676,-15685,94862,173393,3385,-150279,-955332,-780908,-174424,19209,6280,13761,323,-5719,4564,756,13950,-472817,394603,109692,284911,-28345,-28472,127,-868472,-875503,7031,43436,11639,9556,22241,-14039,-184411,-831109,0,-456547,374562,-15864,-12495,-2626,-744,146617,0,124,23526,12203,110764,27033,-173,-13831,41037,0,103720,-536828,13895847,373893,261156,93480,19257,13521954,1023516,54922,952697,15897,2970701,0,197207,1584425,227801,961268,8152024,3369078,4782946,4768937,14009,434232,63597,47712,42102,255180,25640,111496,829985,13895847,13939053,9376356,990671,8385685,176970,176344,626,1412458,1392198,20260,2187057,565638,105764,1515655,786212,-43206
2010,252600,31825,220775,151000,128286,22714,8900,60875,177575,60875,399700,376700,2100,20900,283000,226100,54100,53900,200,2800,0,177575,18200,4800,154575,154575,154575,154575,0,-3923,27902,31825,158498,158498,-214225,7990,-2200,11686,-1496,119762,0,102429,133935,29339,-145941,-271288,-111808,-159480,-5196,-1723,-6105,-3220,4968,884,4489,-69982,-101756,199330,81308,118022,113870,-55495,169365,-238469,-239038,569,-20363,11911,11798,-44072,-156124,-112469,-346312,0,-75345,270967,-399,160,-239,-320,51776,0,331,11733,4927,34785,68279,435,59524,8320,0,-16902,-208639,14014908,370816,259463,91710,19643,13644092,1031506,52722,964383,14401,3070721,0,299636,1718062,257140,795883,8259466,3664371,4595095,4583049,12046,480481,73607,46535,38882,294933,26524,115985,685933,14014908,14266753,9571560,1071976,8499584,673269,370734,302535,1174424,1153160,21264,2234538,637073,125882,1471583,612962,-251845
