date,FA526902505.A,FA526300081.A,FA526902605.A,FA526025005.A,FA526020001.A,FA526401001.A,FA526240101.A,FA526402101.A,FA526140005.A,FA526402101.A,FA526150105.A,FA526130101.A,FA526121101.A,FA523092281.A,FA526150005.A,FA526130001.A,FA526120005.A,FA526121001.A,FA526122001.A,FA523192281.A,FA526112001.A,FA526140005.A,FA526220001.A,FA526403001.A,FA526012005.A,FA526012005.A,FA526006385.A,FA526012005.A,FA525440083.A,FA525015085.A,FA525013081.A,FA526300081.A,FA525000995.A,FA525000995.A,FA524090005.A,FA523020005.A,FA524022005.A,FA523069105.A,FA523061105.A,FA523061705.A,FA523062005.A,FA523063005.A,FA524035005.A,FA524041005.A,FA524042005.A,FA523081005.A,FA523064105.A,FA523064205.A,FA523034005.A,FA523092405.A,FA523092105.A,FA523052005.A,FA523096005.A,FA524194005.A,FA673090543.A,FA524135005.A,FA524141005.A,FA523192305.A,FA523181105.A,FA523164105.A,FA523192105.A,FA523194735.A,FA523152005.A,FA523196005.A,FA525000005.A,FV528090185.A,FV522010095.A,FV528090085.A,FU527005045.A,FR522010095.A,FR525013665.A,FR525013265.A,FR525013765.A,FR524090085.A,FR524022005.A,FR523092305.A,FR523064105.A,FR523064205.A,FR523092105.A,FR524190085.A,FR523192305.A,FR523164105.A,FR523192105.A,FR523194735.A,FR523152005.A,FR528200005.A,FC522090095.A,FL522000095.A,LM522010095.A,LM525013665.A,LM525013265.A,LM525013765.A,FL524090005.A,FL523020005.A,LM524022005.A,FL523069105.A,LM523061105.A,LM523061705.A,LM523062005.A,LM523063005.A,FL524035005.A,FL524041005.A,FL524042005.A,FL523065005.A,FL523092305.A,FL523081005.A,LM523064105.A,LM523064205.A,FL523034005.A,FL523092405.A,FL523092105.A,FL523052005.A,FL523096005.A,FL522100005.A,FL524194005.A,FL673090543.A,FL524135005.A,FL524141005.A,FL523192305.A,FL523181105.A,LM523164105.A,FL523192105.A,FL523194735.A,FL523152005.A,FL523196005.A,FL522090095.A
2001,215307,18591,196716,92354,76850,15504,13505,90857,19907,90857,200645,191432,9147,66,271595,253760,18912,13704,5208,-1077,0,19907,11009,21047,-12149,-12149,-19886,-12149,7737,5057,23648,18591,-24943,-24943,340339,41325,125677,-33331,1453,27664,-5254,135146,12825,5830,6995,30281,4634,18995,6651,-89,90,65869,64362,313195,14723,6179,3572,2607,2067,-390,3824,-1367,250111,40115,27144,92520,-125,40558,-52087,1859,3592,-1257,-476,-162631,11988,-146,-67815,-83107,-23551,-169534,-1,-24320,-33052,0,-112161,8761,81395,4799329,183338,108385,46127,28826,4615991,50177,2275984,65956,120606,353105,203872,1532445,365671,115391,250280,245058,5222,1173454,469044,573716,58164,276,72254,356414,394291,4799329,4914854,26405,32428,6053,26375,882408,721846,144929,15633,3628329,345284,-115525
2002,179935,19774,160161,94129,78244,15885,14743,51289,11465,51289,215655,197196,9042,9417,255479,232298,22818,16689,6129,363,0,11465,12998,-5419,3886,3886,3886,3886,0,1066,20840,19774,2820,2820,388890,11088,259978,6500,47005,98535,7880,100058,17094,6540,10554,50060,22128,6377,10629,219,10707,35943,14727,346613,19920,14107,13917,190,14870,-295,11211,3954,249497,48219,42277,42191,0,2734,-39457,1499,3129,-912,-719,-107777,57416,-1,-81457,-87799,4064,-228539,-570,-63729,-37451,0,-126789,122261,168338,5084809,187778,111033,46203,30542,4897031,61265,2593378,72456,170778,457026,221073,1672045,382764,121931,260833,252203,8630,1058322,409715,492294,68793,495,87025,392284,409018,5084809,5031996,46325,45965,19970,25995,796098,657822,118689,19587,3751037,392571,52813
2003,197890,20987,176903,98604,83101,15503,16308,61991,13914,61991,204596,191911,8039,4646,252673,231733,20632,14720,5912,308,0,13914,25907,-27131,15138,15138,15138,15138,0,2841,23828,20987,12297,12297,324444,21186,218066,-19795,5443,19681,39138,173599,8615,-2086,10701,41160,-1362,49262,-12264,652,4872,30006,5411,327934,21388,991,4874,-3883,5685,183,1681,3821,243619,56251,-3490,-18119,0,-2332,15787,947,2752,-1013,-793,289420,39932,229,90134,132175,26950,361049,-67,157836,27586,0,175694,-70682,-73663,5701828,194358,113699,47673,32986,5507470,82451,2851376,52661,172935,475062,267221,1883497,391609,119846,271763,263336,8427,1348741,498487,673731,56529,1147,118847,423088,410205,5701828,5722678,67713,46889,24844,22045,987205,815841,147956,23408,4170350,450521,-20850
2004,252552,22516,230036,104572,87983,16589,18419,107045,63559,107045,218713,199644,11889,7180,262199,237443,19107,12962,6145,5649,0,63559,30985,-12174,44748,44748,28566,44748,16182,1793,24309,22516,26773,26773,337973,-4685,202259,-11769,20497,1539,39555,152437,16305,3865,12440,63406,4294,45321,2104,557,11130,36778,23910,316990,18749,1329,856,473,-3300,-21260,15489,2471,251054,49158,20983,-5092,-108,807,5790,10409,10242,683,-517,192405,64557,-408,51370,78245,-1359,168983,-234,61519,4303,0,103395,33831,57305,6246128,208210,123071,49957,35182,6037918,77766,3118192,40892,195396,485255,320418,2076231,407506,123711,283795,275997,7798,1540403,554151,797297,58633,1704,128618,459935,434116,6246128,6209673,86462,47984,25700,22284,1049727,856100,167748,25879,4524799,500701,36455
2005,260004,23581,236423,109022,90704,18318,19278,108123,54632,108123,237438,221743,12479,3216,290929,266190,23714,17121,6593,1025,0,54632,32204,-29410,51838,51838,24114,51838,27724,-351,23230,23581,24465,24465,306746,-8428,178276,737,15329,18339,44722,99149,17093,4719,12374,52886,14940,30182,-4458,-124,12346,44265,22654,260704,14937,5636,8004,-2368,1513,-10814,2579,9748,242558,-3940,46042,20929,-172,-476,-21577,10993,11639,-686,39,4283,-67651,513,2348,60813,8260,82715,1055,29552,-14507,0,66615,-67439,-22396,6568566,219473,134200,49230,36043,6349093,69338,3222579,41629,209248,494759,366150,2110793,425112,128430,296682,288519,8163,1664710,571439,888292,54175,1580,149224,503145,464209,6568566,6554507,101399,53075,32104,20971,1066285,874838,155820,35627,4833095,500653,14059
2006,287327,24063,263264,114973,96256,18717,19986,128305,45847,128305,263152,242833,15295,5024,345610,311707,23599,17233,6366,10304,0,45847,44659,-37646,38834,38834,38834,38834,0,-913,23150,24063,39747,39747,233693,17635,85486,4974,-4008,498,21596,62426,26625,8965,17660,58172,-6135,41297,17565,25,5420,19997,25778,209655,21955,11891,2909,8982,2671,-28545,28518,2698,137875,35263,24038,-16926,0,-1217,15709,10622,10315,203,104,186370,-27175,392,72907,123332,16914,329131,220,139844,35439,0,153628,-132139,-110231,6999169,229789,144295,49200,36294,6769380,86973,3245934,46603,201989,506097,389359,2101886,452129,137395,314734,307701,7033,1970991,673167,1052921,71740,1605,171558,523366,489987,6999169,7095341,123354,65186,35013,30173,1244239,986137,219777,38325,5124598,537964,-96172
2007,311541,24542,286999,119321,100202,19119,20529,147149,79332,147149,301468,269584,17412,14472,369285,341817,24138,18115,6023,3330,0,79332,41682,-3172,40822,40822,40822,40822,0,702,25244,24542,40120,40120,277712,15952,76701,10675,-58337,4515,69755,50093,38693,15212,23481,93792,3526,51148,14270,632,24216,6082,46492,177316,9979,7459,12712,-5253,-27199,-43859,11327,5333,164465,22612,100396,60256,0,-20,-60276,5152,6012,-858,-2,54480,-32814,1002,17584,63908,4800,-162842,1851,-192838,-48369,0,76514,222474,323552,7338301,236524,150761,48270,37493,7101777,102925,3289821,57278,148544,521091,432791,2130117,491824,152607,339217,331966,7251,2151075,694277,1167977,86010,2237,200574,529651,536481,7338301,7110921,133333,74496,47725,26771,975833,749440,182735,43658,5365577,561682,227380
2008,260500,25710,234790,120738,100432,20306,21154,92898,27411,92898,303520,274162,19201,10157,369007,342655,20777,15461,5316,5575,0,27411,20139,35614,-28342,-28342,-25524,-28342,-2818,498,26208,25710,-26022,-26022,446419,11007,30763,1978,14485,-15384,44240,-14556,41158,26614,14544,119579,56132,-1007,49603,966,13885,47698,196214,226863,-15967,12639,19576,-6937,11492,-10317,34302,-12493,222205,-3506,219556,255444,-63,9929,-245578,9993,9232,625,137,-1131112,-340817,835,-249296,-422433,-119401,-1049582,1005,-386377,-131247,0,-532963,-71537,158383,6662514,247266,159397,48644,39225,6415248,113932,2979767,59256,188448,491434,443878,1796751,533817,179221,354596,348938,5658,1479524,501113,744537,135613,3203,95058,575514,732694,6662514,6276751,117366,88140,67301,20839,469701,352746,85790,31165,5054819,546725,385763
2009,285676,26603,259073,117081,98412,18669,21043,120949,61853,120949,279721,252082,12227,15412,338817,326575,10716,5380,5336,1526,0,61853,24232,-2681,40302,40302,45753,40302,-5451,25,26628,26603,45728,45728,-52359,-33641,88847,3123,51527,21483,-8829,21543,-24551,-10063,-14488,36558,3554,42850,-25002,-323,15479,-12846,-106726,5909,-32539,-1929,-6578,4649,15163,-6226,8863,12526,99978,-74764,-58268,-110919,0,-6923,103996,-9798,-7525,-1029,-1245,667960,327900,74,104926,196721,38339,335698,-275,49443,36966,0,249564,322464,257298,7269052,237275,151315,46201,39759,7031777,80291,3459066,62379,226489,508507,471265,2190426,496788,156606,340182,332008,8174,1806068,559593,984108,110611,2880,148876,563595,625969,7269052,6625991,84827,85936,60723,25213,571273,395963,131619,43691,5404361,479594,643061
2010,271077,26150,244927,119880,100650,19230,21384,103663,35134,103663,258968,248992,27884,-17908,327497,307948,17256,13453,3803,2293,0,35134,28293,-7340,14181,14181,14181,14181,0,-3424,22726,26150,17605,17605,164130,6278,135874,-11065,24179,1206,11407,110147,-10587,120,-10707,22881,38899,26817,-24499,-84,-18252,-21735,31419,147462,-14129,-3103,-4822,1719,12145,-17517,7416,22246,142645,9904,16668,-3849,0,-2912,937,-369,199,-98,-470,307171,133305,204,35229,115986,22447,217019,537,42498,23582,0,150402,89783,100115,7736936,233394,149117,45236,39041,7503542,86569,3728245,51314,258017,513833,482876,2422205,486405,156726,329679,323426,6253,2002611,633721,1126911,86112,2796,153071,542325,657387,7736936,6993760,70698,83370,55901,27469,649498,420944,162617,65937,5697408,492786,743176
