date,FA596902505.A,FA596300081.A,FA596902605.A,FA596025005.A,FA596020001.A,FA596401001.A,FA596240101.A,FA596402101.A,FA596140005.A,FA596402101.A,FA596150105.A,FA596130101.A,FA596121101.A,FA593092281.A,FA596150005.A,FA596130001.A,FA596120005.A,FA596121001.A,FA596122001.A,FA593192281.A,FA596112001.A,FA596140005.A,FA596220001.A,FA596403105.A,FA596012005.A,FA596012005.A,FA596006385.A,FA596012005.A,FA595440083.A,FA595015085.A,FA595013081.A,FA596300081.A,FA595000995.A,FA596403105.A,FA596403115.A,FA596403125.A,FA596403133.A,FA596403143.A,FA596403153.A,FA596403013.A,FA596403163.A,FA596403023.A,FA596403033.A,FA596403043.A,FA596403053.A,FA595000995.A,FA594090005.A,FA594000005.A,FA593020005.A,FA593030005.A,FA594022005.A,FA593069105.A,FA593061105.A,FA593061705.A,FA593062045.A,FA593063005.A,FA594035005.A,FA594041005.A,FA593065005.A,FA593081005.A,FA593064105.A,FA593064205.A,FA593034005.A,FA593052025.A,FA593093005.A,FA594190005.A,FA595000005.A,FV598090185.A,FV592010095.A,FV598090085.A,FU597005045.A,FR592010095.A,FR595013665.A,FR595013265.A,FR595013765.A,FR594090085.A,FR594022005.A,FR593064105.A,FR593064205.A,FR593052025.A,FR594190005.A,FR598200005.A,FC592090095.A,FL592000095.A,LM592010095.A,LM595013665.A,LM595013265.A,LM595013765.A,FL594090005.A,FL594000005.A,FL593020005.A,FL593030005.A,LM594022005.A,FL593069105.A,LM593061105.A,LM593061705.A,LM593062045.A,LM593063005.A,FL594035005.A,FL594041005.A,FL593065005.A,FL593081005.A,LM593064105.A,LM593064205.A,FL593034005.A,FL593052025.A,FL593093005.A,FL592000095.A,FL594190005.A,FL592090095.A
2001,0,0,0,0,0,0,0,0,0,0,372047,312028,60019,0,372047,312028,60019,60019,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,837230,467232,244668,56922,180347,14705,372047,2049,525064,209044,103123,-1,383449,-35569,704,-36273,-18828,-3677,36204,4744,-56,-56043,-18065,-14743,-3322,291389,219111,74319,-2041,207098,-42576,383560,-112,1,0,112,111,103,106,-3,-1,-323137,14,-302654,-266562,246066,-320836,-2198,-2198,9804553,3648,3470,80,98,9800905,83894,21346,62548,2040274,72550,1064715,379334,1651,522024,82359,51625,30734,4613164,3094782,1416372,102010,2870515,110699,9804553,9891193,-86640
2002,0,0,0,0,0,0,0,0,0,0,397831,336839,60992,0,397831,336839,60992,60992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884481,488634,290510,25562,187525,14963,397831,1984,541594,229878,113009,0,371541,-1332,2197,-3529,-73400,3400,7597,-23272,-863,-60262,2001,535,1466,183380,52184,117845,13351,257717,3175,371564,-23,0,0,23,23,99,102,-3,-1,-260776,44654,-488299,-180989,363858,-265882,5205,5205,9914504,3770,3610,72,88,9910734,82562,23543,59019,1990528,54950,1083007,366745,837,484989,55360,23160,32200,4117256,2618667,1333228,165361,3491154,173874,9914504,9995939,-81435
2003,0,0,0,0,0,0,0,0,0,0,414354,349476,64878,0,414354,349476,64878,64878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916361,503983,339027,-12122,192185,15107,414354,1976,541926,248615,125820,0,525934,6346,4367,1979,175668,-8853,47180,115706,3683,17952,-3892,397,-4289,-128073,-148603,40069,-19539,464633,11252,525961,-27,0,0,27,27,100,97,1,2,417013,-9597,830568,288627,-692585,419384,-2271,-2271,10818666,3897,3751,66,80,10814769,88908,27910,60998,2156599,46097,1123928,476170,4552,505852,51468,23557,27911,5108378,3300632,1661924,145822,3224290,185126,10818666,10902372,-83706
2004,0,0,0,0,0,0,0,0,0,0,421317,343916,77401,0,421317,343916,77401,77401,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,958613,539378,331040,17678,207724,17064,421317,2082,590751,246040,121823,-1,525801,-4402,229,-4631,154699,-4524,56962,34502,266,67493,-3705,-62,-3643,178222,93016,96845,-11639,187914,13073,526055,-254,1,0,254,253,367,365,2,0,169623,-9331,368923,123945,-313914,167735,2255,2255,11788991,4518,4372,70,76,11784473,84506,28139,56367,2301967,41573,1177663,507333,4930,570468,47763,23495,24268,5779468,3762571,1882714,134183,3372570,198199,11788991,11870442,-81451
2005,0,0,0,0,0,0,0,0,0,0,435002,344293,90709,0,435002,344293,90709,90709,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1000310,567626,347363,15847,222882,18466,435002,2318,628558,245548,126205,-1,503395,7117,860,6257,99299,6459,63071,11530,-3164,21403,-1566,1567,-3133,-17445,-81977,55412,9120,417053,-1063,503607,-212,1,0,212,211,467,462,1,4,242357,-16937,249931,275013,-265650,249373,-6549,-6549,12567370,5197,5047,72,78,12562173,91623,28999,62624,2371354,48032,1224882,513899,1746,582795,46197,25062,21135,6286967,3930525,2213139,143303,3568896,197136,12567370,12655370,-88000
2006,0,0,0,0,0,0,0,0,0,0,458944,353386,105558,0,458944,353386,105558,105558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065064,608646,370292,12878,247328,21852,458944,2526,706871,233297,124896,0,520622,1045,128,917,148608,7475,48680,29504,-63,63012,21969,-3264,25233,-24829,-87956,53056,10071,305853,67976,520746,-124,0,0,124,124,419,420,0,-1,295639,-43078,506271,261353,-428907,326035,-29977,-29977,13402718,5740,5592,76,72,13396978,65668,34127,31541,2470884,69507,1283778,447225,1685,668689,53166,6798,46368,6602762,3848840,2547548,206374,3609386,595112,13402718,13520695,-117977
2007,0,0,0,0,0,0,0,0,0,0,487822,366339,121483,0,487822,366339,121483,121483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135982,650915,390062,17447,267318,23912,487822,2755,773044,235665,127273,0,506346,1811,-1347,3158,137705,4108,33439,-40161,-194,140513,14946,39,14907,33913,8252,20446,5215,278717,39254,506622,-276,0,0,276,276,232,232,1,-1,149497,25962,173958,154881,-205304,170925,-21196,-21196,14154385,6248,6082,98,68,14148137,67479,32780,34699,2634551,73615,1329612,413371,1370,816583,68112,6837,61275,6965514,4031050,2722875,211589,3778115,634366,14154385,14293558,-139173
2008,0,0,0,0,0,0,0,0,0,0,541650,412034,129616,0,541650,412034,129616,129616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216194,677352,453583,-28948,273341,20624,541651,2809,766530,265467,184197,0,441503,-4706,216,-4922,-30882,-1104,70205,-33091,-131,-66761,-22557,-611,-21946,340084,277890,50641,11553,188030,-28466,441814,-312,0,0,312,312,382,374,5,3,-1146210,-16666,-1647953,-940180,1458590,-1162560,16732,16732,13486023,6941,6669,170,102,13479082,62773,32996,29777,2587003,72511,1421524,371349,1112,720507,45555,6226,39329,4717465,2660987,1833336,223142,5460386,605900,13486023,13608464,-122441
2009,0,0,0,0,0,0,0,0,0,0,567200,449148,118052,0,567200,449148,118052,118052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236441,672643,467244,-47726,271006,17881,567201,3403,762227,284531,189683,0,594242,4748,2165,2583,97118,662,114862,-78405,93,59906,-4534,-179,-4355,-107702,-148139,58627,-18190,574755,29857,594422,-180,0,0,180,180,-308,-300,-5,-3,533814,30181,686248,463214,-645829,545338,-11832,-11832,14553859,6813,6419,224,170,14547046,67521,35161,32360,2714302,73173,1504058,312985,1307,822779,41021,6047,34974,5759225,3199096,2355177,204952,5329220,635757,14553859,14688132,-134273
2010,0,0,0,0,0,0,0,0,0,0,550424,434876,115548,0,550424,434876,115548,115548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248424,702541,503815,-62237,280639,19676,550423,4540,831927,263723,152774,0,567965,960,1709,-749,184689,3251,126638,14031,640,40129,2940,22,2918,16356,-22688,49308,-10264,333630,29390,568199,-234,0,0,234,234,0,3,-1,-2,338937,28177,469965,254100,-413305,340647,-1710,-1710,15923751,7047,6433,306,308,15916704,68481,36870,31611,2927168,76424,1633020,334326,1921,881477,43961,6069,37892,6499646,3646373,2658585,194688,5712301,665147,15923751,16059734,-135983
