date,FA856902505.A,FA856300085.A,FA856902605.A,FA856025005.A,FA856020005.A,FA856401005.A,FA856240105.A,FA856402105.A,FA856140005.A,FA856402105.A,FA856150105.A,FA856130105.A,FA856121105.A,FA853092285.A,FA856150005.A,FA856130005.A,FA856120005.A,FA856121005.A,FA856122005.A,FA853192285.A,FA856112005.A,FA856140005.A,FA856220005.A,FA856403005.A,FA856012005.A,FA856012005.A,FA856006385.A,FA856012005.A,FA855440085.A,FA855015085.A,FA855013085.A,FA856300085.A,FA855000995.A,FA855000995.A,FA854090005.A,FA854000005.A,FA854022005.A,FA853069175.A,FA853061105.A,FA853061705.A,FA853062005.A,FA853063005.A,FA854035005.A,FA854041005.A,FA814042005.A,FA813081005.A,FA813064105.A,FA813034005.A,FA813092405.A,FA603092105.A,FA793094005.A,FA733040005.A,FA853096005.A,FA854194005.A,FA403197033.A,FA814122005.A,FA423161705.A,FA813163005.A,FA813169105.A,FA814135005.A,FA814141005.A,FA814142005.A,FA123165005.A,FA803192305.A,FA853181005.A,FA634090005.A,FA813164105.A,FA653164205.A,FA403192405.A,FA803192105.A,FA662090003.A,FA803194005.A,FA503194205.A,FA813196005.A,FA855000005.A,FV858090185.A,FV812010095.A,FV858090085.A,FU857005045.A,FR812010095.A,FR815013665.A,FR815013265.A,FR815013765.A,FR854090085.A,FR854022005.A,FR603092305.A,FR813064105.A,FR603092105.A,FR814190085.A,FR803192305.A,FR813164105.A,FR653164205.A,FR803192105.A,FR662090003.A,FR803194005.A,FR858200005.A,FC852090095.A,FL852000095.A,LM812010095.A,LM815013665.A,LM815013265.A,LM815013765.A,FL854090005.A,FL854000005.A,FL854022005.A,FL853069175.A,FL853061105.A,FL853061705.A,FL853062005.A,FL853063005.A,FL854035005.A,FL854041005.A,FL814042005.A,FL813065005.A,FL603092305.A,FL813081005.A,LM813064105.A,FL813034005.A,FL813092405.A,FL603092105.A,FL793094005.A,FL733040005.A,FL853096005.A,FL852100005.A,FL854194005.A,FL403197033.A,FL814122005.A,FL423161705.A,FL813163005.A,FL813169105.A,FL814135005.A,FL814141005.A,FL814142005.A,FL123165005.A,FL803192305.A,FL853181005.A,FL634090005.A,LM813164105.A,LM653164205.A,FL403192405.A,FL803192105.A,LM662090003.A,FL803194005.A,FL503194205.A,FL813196005.A,FL852090095.A
2001,396016,67278,328738,255960,216086,39874,16088,56690,55772,56690,926185,861392,56500,8293,927103,798435,131354,78207,53147,-2686,0,55772,20728,5941,29103,29103,29103,29103,0,28794,96072,67278,309,309,2249852,166452,742217,-50186,72643,490858,72087,156815,779953,289691,490262,309181,181222,49986,0,15452,62521,0,252050,2182001,8561,874329,642687,233035,-1393,239437,234268,5169,2209,2960,688504,440062,28752,191495,3276,9885,4623,10411,0,371170,67851,68247,-3348,4053,-67542,4980,11628,-6095,-553,-645972,24433,-211,-646684,-23510,-819637,1,-178325,-621278,-20035,0,0,178645,275995,20978085,641567,362613,237867,41087,20336518,611938,5237263,1022579,295431,2060366,691917,1166970,7643021,3528444,4114577,4106011,8566,5115560,3624403,164387,0,118530,1208240,0,1728736,20978085,21250448,25661,8406266,4962349,2298890,1145027,2138125,2035245,102880,85759,17121,9118053,2285310,1491745,4689603,37088,102491,19232,492584,0,1562343,-272363
2002,431796,70289,361507,241218,201924,39294,17127,103162,99264,103162,661650,601717,58659,1273,665548,542745,122827,74917,47910,-25,0,99264,20100,12165,67000,67000,67000,67000,0,23979,94268,70289,43020,43020,1142456,6158,275814,-147725,20825,268713,48141,85860,777649,187255,590394,180737,98651,-16351,0,4074,94363,0,-97902,1082316,1949,867186,546652,401309,-80775,104958,99138,5820,11201,-5381,245234,-20235,59065,182995,1992,1490,-637,20564,0,-137011,60140,-23946,0,-41065,-17120,4731,10521,-4866,-924,-761001,77752,-2,-823833,-14918,-1054518,-353,-255275,-754516,-44374,0,0,298248,341302,21313846,667706,373938,251210,42558,20646140,618096,5611829,893862,319740,2348280,761184,1288763,8420668,3715699,4704969,4694290,10679,4403899,2895574,98036,0,107686,1302603,0,1591648,21313846,21244907,27610,9273452,5509001,2700199,1064252,2242730,2134383,108347,96960,11387,8309122,2265075,1295535,4118082,39080,59607,18595,513148,0,1391993,68939
2003,432603,73269,359334,243706,206770,36936,17555,98073,113311,98073,621345,542371,67392,11582,606108,479913,124226,80206,44020,1969,0,113311,23164,12624,77522,77522,77522,77522,0,15671,88940,73269,61851,61851,2080567,-33698,581179,-70900,-7387,255970,44541,358955,762479,95679,666800,313238,196086,-6544,0,11293,112403,0,457370,2001262,-7105,1037812,586245,496153,-44586,277719,267107,10612,8895,1717,208276,-225054,73194,282752,3203,20171,481,53529,0,484560,79305,886,0,-16568,-17454,4854,9535,-3932,-749,1023188,-11582,284,969962,64524,1327036,-40,350576,961263,15237,0,0,-298994,-220586,24266594,683353,382717,258046,42590,23583241,584398,6018126,820501,308355,2426740,809723,1652807,9181208,3797379,5383829,5370818,13011,5751623,4061622,91492,0,183503,1415006,0,2047887,24266594,24418241,20505,10146541,5944522,3090353,1111666,2520409,2401490,118919,105855,13064,9844337,2040021,1719305,5362097,42283,95015,19076,566540,0,1886449,-151647
2004,405002,77760,327242,272541,231602,40939,19292,35410,47348,35410,837738,734276,88343,15119,825800,622619,202514,161478,41036,667,0,47348,26308,1147,19893,19893,19893,19893,0,28598,106358,77760,-8706,-8706,2336918,98205,65092,97463,-63288,-228282,8912,250287,1204309,529528,674781,542296,282910,-24719,0,22229,261876,0,427017,2365164,-2121,825943,115766,612543,97634,495428,471236,24192,25502,-1310,376073,-138321,141147,288143,2505,17641,-266,65224,0,669841,-28246,99378,-1193,120112,19541,40237,35580,4954,-297,596378,-18462,-623,575026,40437,801514,-135,268566,543861,-10778,0,0,-164900,-45629,27277908,746645,421961,280629,44055,26531263,682603,6076755,929800,241184,2191804,822679,1891288,10399741,4326906,6072835,6057909,14926,6909382,4919558,66773,0,246169,1676882,0,2462782,27277908,27475184,18384,10987332,6060288,3717744,1209300,3015702,2872726,142976,131357,11619,11022010,1901700,2129018,6194101,44788,101878,18810,631715,0,2431756,-197276
2005,485489,83904,401585,295533,248435,47098,21193,84860,37149,84860,1138674,1017222,123521,-2069,1186386,944858,237378,196462,40916,4150,0,37149,30938,3152,3058,3058,3058,3058,0,30374,114277,83904,-27315,-27315,2190679,7929,119779,189078,27155,-255409,45923,113032,1347847,420158,927689,448437,245382,42112,0,52,160891,0,266687,2077022,780,1058425,80424,724304,253697,415789,398864,16925,14110,2815,650071,125121,84024,286040,1909,1484,155,151338,0,-48043,113657,97501,-798,-42674,-140972,42193,41780,155,258,414976,-42714,926,436105,20659,649909,592,250642,384412,14263,0,0,-192740,-92181,29850350,814079,466988,301477,45614,29036271,690532,6155120,1120603,267549,1922913,866273,1977782,11748514,4747064,7001450,6986850,14600,7814583,5601045,108885,0,266880,1837773,0,2627522,29850350,30139807,19164,11991256,6140712,4387547,1462997,3432083,3271590,160493,145467,15026,12350398,2026821,2463684,6864553,46697,117625,18965,812053,0,2346906,-289457
2006,539715,89699,450016,328773,278918,49855,22891,98352,49704,98352,1595069,1433290,137928,23851,1643717,1380221,265373,221849,43524,-1877,0,49704,36129,12931,645,645,645,645,0,25396,115096,89699,-24751,-24751,3133430,91413,714495,238811,17408,91836,75828,290612,1299830,312071,987759,460823,226369,1583,0,22772,210099,-357,567226,3063999,-192,1303492,328218,699163,276111,486196,474965,11231,6583,4648,821909,311630,91529,346153,181,-3924,-1988,78328,0,452594,69431,114149,0,19967,-94182,39019,36934,1846,239,940950,-55837,691,894481,101615,1280522,245,392198,848998,39081,0,0,-300553,-185759,33875320,875528,503521,324271,47736,32999792,781945,6796753,1340824,281930,1982224,941899,2249876,13019930,5036530,7983400,7967361,16039,9193811,6721895,57468,0,391267,2023181,15160,3192193,33875320,34350536,18972,13265475,6468930,5057437,1739108,3918524,3746555,171969,152050,19919,14428009,2338451,2947411,8059704,46878,152782,16977,865806,0,2719556,-475216
2007,453669,96387,357281,356562,305892,50670,23492,-22772,-63914,-22772,1936239,1736925,180703,18611,1977380,1670031,303526,269003,34523,3823,0,-63914,32608,9390,-105912,-105912,-105912,-105912,0,40222,136609,96387,-146134,-146134,3459178,178259,730786,-142977,211358,322598,144102,195705,1719570,932049,787521,632975,293148,61236,0,51194,227397,5290,192298,3441735,1921,1531614,905680,804925,-178991,552525,544162,8363,4678,3685,1333659,747309,206071,376098,9093,-294,5253,-9871,0,22016,17443,186262,0,22686,-163577,18988,20969,-2258,277,537192,-30983,2310,511678,54187,146033,1250,-354674,478606,20851,0,0,410147,490497,38019538,931925,531155,346499,54271,37087613,960204,7501556,1201414,496990,2330009,1047373,2425770,14721594,5971127,8750467,8732515,17952,10392651,7526721,118704,0,496648,2250578,20450,3491158,38019538,38004257,20893,14907734,7374610,5973007,1560117,4472299,4290717,181582,156728,24854,15893683,3085760,2798808,8914408,55971,164317,22230,852189,0,2709648,15281
2008,270596,101949,168646,356553,303352,53201,21988,-209895,-189068,-209895,1623384,1411909,187093,24382,1602558,1289502,312567,295776,16791,489,0,-189068,12749,9370,-211187,-211187,-196322,-211187,-14865,15955,117904,101949,-212277,-212277,-525543,240318,712562,-102620,521894,713141,2762,-422615,-284517,-466082,181565,295328,52684,66158,0,39343,137143,-1161,-1488073,-78193,-5397,452477,768741,-132692,-183572,-546900,-556152,9252,6779,2473,1439634,746477,599021,-58101,-4204,65515,-445,91371,0,-1418007,-447350,-190722,-282,44634,235074,34106,32239,1374,494,-3611518,-158593,2079,-3223319,-231685,-4606263,967,-1424831,-3067906,-114493,0,0,1028851,641808,33884147,979639,567976,351096,60567,32904508,1235522,8038483,1100231,1038383,3110568,988330,1800971,14345346,5505044,8840302,8822190,18112,7232975,4356086,184862,0,304306,2387721,19289,2032893,33884147,33227058,15496,15279739,8143351,5759843,1376545,3926366,3734565,191801,163507,28294,12726087,3832237,1972998,5788401,51767,115339,21785,943560,0,1279370,657089
2009,426263,102451,323812,281569,239763,41806,28637,13606,22025,13606,982546,820100,143550,18896,974127,694773,277539,208867,68672,1815,0,22025,15579,36449,-30003,-30003,68467,-30003,-98470,-14683,87768,102451,83150,83150,-1036883,135964,-825807,-369378,-80829,-539431,9672,154159,-534463,-687626,153163,141739,165296,-40329,0,19500,-2728,2063,43621,-1160410,401,-990155,-60053,-476433,-453669,-773126,-786624,13498,11757,1741,294954,-516344,331394,533324,0,13228,1250,-67898,0,307516,123527,234999,0,194622,-40377,-27337,-26699,721,-1359,1643146,154653,247,1404464,83782,1834857,-366,338431,1475004,22392,0,-604,-219048,84418,34444512,936522,540825,328841,66856,33507990,1385954,7359960,730744,927228,2591565,1051919,2058504,13595096,4771869,8823227,8800850,22377,8964465,5925846,144533,0,407588,2486498,21352,2181163,34444512,33703005,15897,14134795,8083298,5128621,922876,3152874,2947941,204933,175264,29669,14856265,3315893,2642823,7796729,51767,150959,23035,875059,0,1543174,741507
2010,511730,101848,409882,300371,254679,45692,28441,81070,112468,81070,897837,671909,163352,62576,866438,586180,274609,191462,83147,5649,0,112468,21978,31702,58789,58789,100270,58789,-41481,410,102258,101848,99860,99860,-352844,-110676,23465,-65349,116025,-216956,-16090,205835,-105178,25583,-130761,74975,128566,1898,57,19215,-74761,3753,-239183,-364661,-1496,-583608,-39534,-252685,-291389,180668,171577,9091,827,8264,80765,-526881,218287,395172,-2746,18117,6162,-27346,0,-40990,11817,-77243,-2097,12897,88042,3037,828,2708,-498,907540,53590,549,811298,42103,1305714,635,427739,837948,41412,0,-2020,-395137,-372110,34183949,936482,536284,330679,69519,33247467,1440601,6852948,589698,1082964,1964785,1049023,2166478,12968664,4532044,8436620,8417468,19152,9987481,6865539,241242,57,468906,2411737,25105,1972668,34183949,33814552,14401,12798178,7581337,4717898,498943,3346093,3131434,214659,176091,38568,16450454,3034465,3288849,9029849,49021,210488,29197,808585,0,1205426,369397
