date,FA796902505.A,FA796300081.A,FA796902605.A,FA796025005.A,FA796020001.A,FA796401001.A,FA796240101.A,FA796402101.A,FA796140005.A,FA796402101.A,FA796150105.A,FA796130101.A,FA796121101.A,FA793092281.A,FA796150005.A,FA796130001.A,FA796120005.A,FA796121001.A,FA796122001.A,FA793192281.A,FA796112001.A,FA796140005.A,FA796220001.A,FA796403005.A,FA796012095.A,FA796012095.A,FA796006385.A,FA796012095.A,FA795440005.A,FA795015085.A,FA795013005.A,FA796300081.A,FA795000995.A,FA795000995.A,FA794090005.A,FA713011203.A,FA794000005.A,FA794022005.A,FA793069175.A,FA793061105.A,FA793061705.A,FA793062005.A,FA793063005.A,FA794035005.A,FA794041005.A,FA794042005.A,FA793081005.A,FA793064105.A,FA793064205.A,FA793034005.A,FA793092405.A,FA793092105.A,FA713164003.A,FA793094005.A,FA793052005.A,FA793096005.A,FA794194005.A,FA794100005.A,FA794122005.A,FA423161705.A,FA793163005.A,FA793169175.A,FA794135005.A,FA794141005.A,FA794142005.A,FA793181005.A,FA634090005.A,FA793164105.A,FA653164205.A,FA403192405.A,FA793192105.A,FA662090003.A,FA793194005.A,FA713164005.A,FA503194205.A,FA583152005.A,FA793196005.A,FA795000005.A,FV798090185.A,FV795013865.A,FV798090085.A,FU797005045.A,FR795013865.A,FR795013665.A,FR795013265.A,FR795013765.A,FR794090085.A,FR794022005.A,FR793092305.A,FR793064105.A,FR793064205.A,FR793092105.A,FR593052025.A,FR794190085.A,FR793192305.A,FR793164105.A,FR653164205.A,FR793192105.A,FR662090003.A,FR793194005.A,FR583152005.A,FR798200005.A,FC792090095.A,FL792000095.A,LM795013865.A,LM795013665.A,LM795013265.A,LM795013765.A,FL794090005.A,FL713011203.A,FL794000005.A,FL794022005.A,FL793069175.A,FL793061105.A,FL793061705.A,FL793062005.A,FL793063005.A,FL794035005.A,FL794041005.A,FL794042005.A,FL793081005.A,LM793064105.A,LM793064205.A,FL793034005.A,FL793092405.A,LM793092105.A,FL713164003.A,FL793094005.A,FL793052005.A,FL793096005.A,FL792100005.A,FL794194005.A,FL794100005.A,FL794122005.A,FL423161705.A,FL793163005.A,FL793169175.A,FL794135005.A,FL794141005.A,FL794142005.A,FL793181005.A,FL634090005.A,LM793164105.A,LM653164205.A,FL403192405.A,LM793192105.A,LM662090003.A,FL793194005.A,FL713164005.A,FL503194205.A,FL583152005.A,FL793196005.A,FL792090095.A
1960,20511,1144,19367,11396,10448,948,1536,6435,6606,6435,31736,29881,1805,50,31565,26225,5299,3657,1642,41,0,6606,2743,243,3618,3618,3618,3618,0,895,2039,1144,2723,2723,56711,-1689,264,12479,1599,2819,1256,2044,4761,25319,11197,14122,6356,6096,0,0,123,115,22,0,13199,783,52953,17686,5699,738,3236,1725,-753,-767,14,2378,0,1075,1049,176,56,0,0,22,0,28313,-370,3758,1087,0,52,-1035,-216,-196,-18,-2,-2020,0,0,-1908,0,0,-112,-1996,0,-141,159,-2,0,0,-2012,-240,4465,916724,16928,12770,4113,45,899796,17767,35670,261109,4465,135796,5513,34835,80500,303213,135738,167475,53749,51203,0,0,989,1148,409,0,216801,11487,916724,899840,355508,23616,8061,9780,5775,14557,14226,331,76309,0,55908,17026,1690,1276,0,0,409,0,409214,20636,16884
1961,21673,1181,20492,12295,11285,1010,1632,6564,6750,6564,33849,31935,1870,44,33664,28252,5355,3487,1868,57,0,6750,2784,240,3726,3726,3726,3726,0,850,2031,1181,2876,2876,65950,-878,2425,19342,482,8834,851,3850,5325,26185,9605,16580,5819,5534,0,0,118,131,36,0,12085,972,61655,27810,1952,703,722,527,1576,1535,41,926,0,-923,1671,145,-3,0,0,36,0,28542,849,4295,975,0,-444,-1419,140,167,-24,-3,5877,0,0,9332,0,0,-3455,25847,0,23533,4178,162,0,0,-2026,-19830,-15129,992241,17871,13639,4162,70,974370,16889,38016,280451,4947,144630,6364,38685,85825,329398,145343,184055,68900,66069,0,0,1107,1279,445,0,228430,12286,992241,990486,383318,25568,8764,10502,6302,16133,15761,372,105108,0,78518,22875,1835,1435,0,0,445,0,438733,21626,1755
1962,22383,1236,21147,12986,11819,1167,1668,6493,7174,6493,37981,35672,2257,52,37300,31611,5637,3822,1815,52,0,7174,2705,283,4186,4186,4186,4186,0,1039,2274,1236,3148,3148,76679,-911,2120,19199,1038,4581,1861,5758,5961,35102,14142,20960,7515,7124,204,0,19,146,22,0,11385,2270,73492,33737,3144,1637,331,1176,2564,2580,-16,1702,0,326,1250,49,55,0,0,22,0,28836,3509,3187,246,0,207,-40,204,218,-16,1,-8318,0,0,-10936,-10,0,2628,-10499,-2,-4049,-2854,-126,0,0,-3468,2385,6817,1056439,19065,14596,4367,102,1037374,15978,40225,299650,5985,149211,8225,44443,91786,364500,159485,205015,65469,62257,194,0,1126,1425,467,0,236833,14719,1056439,1047867,417055,28712,10401,10833,7478,18695,18341,354,99781,0,74795,21271,1884,1364,0,0,467,0,458495,25129,8572
1963,23119,1301,21818,13831,12522,1309,1841,6146,6847,6146,41716,39510,2139,67,41015,34834,6127,4137,1990,54,0,6847,2737,702,3408,3408,3408,3408,0,953,2254,1301,2455,2455,82677,-465,-821,13773,1318,1267,480,4382,6326,45995,20496,25499,8011,7791,-20,0,45,165,30,0,13510,2674,81346,33509,4462,1648,1551,1263,3681,3663,18,2033,0,1038,967,18,-20,0,0,30,0,32632,5029,1331,-1904,0,-780,1124,175,194,-21,2,2807,0,0,6047,19,0,-3259,11853,2,11718,2977,93,0,0,-2937,-8871,-7367,1143432,20142,15527,4471,144,1123290,15513,39420,313423,7303,150478,8705,48825,98112,410498,179984,230514,79546,76095,193,0,1171,1590,497,0,248183,16707,1143432,1142227,450564,33174,12049,12384,8741,22378,22004,374,116602,0,87551,25215,1902,1437,0,0,497,0,489292,30217,1205
1964,25400,1391,24009,14899,13478,1421,2079,7031,6968,7031,46298,43509,2723,66,46360,38778,7507,5300,2207,75,0,6968,2685,890,3394,3394,3394,3394,0,1552,2943,1391,1842,1842,92294,-125,1494,18027,1244,5077,881,3578,7247,46526,20513,26013,9102,8624,209,0,56,186,27,0,14626,2644,89764,39445,5648,512,3141,1995,1812,1787,25,1250,0,7,1190,28,-2,0,0,27,0,37697,3912,2530,437,0,-251,-688,516,560,-48,3,1207,0,0,4565,14,0,-3372,7394,0,8463,2711,100,0,0,-3880,-5672,-1841,1240605,22155,16961,4964,230,1218450,15388,40946,331450,8547,155555,9586,52403,105359,457037,200510,256527,93227,89284,416,0,1227,1776,524,0,261192,19210,1240605,1241241,490009,38822,12561,15525,10736,24690,24291,399,129126,0,96021,29116,1930,1535,0,0,524,0,524867,33727,-636
1965,27524,1561,25963,15978,14395,1583,2190,7795,8215,7795,50936,47509,3357,70,50517,42609,7825,5333,2492,83,0,8215,2631,1051,4533,4533,4533,4533,0,1899,3460,1561,2634,2634,102332,-1655,1162,15517,827,1292,940,4696,7762,56019,29230,26789,10840,10519,26,0,50,218,27,0,18371,2079,99482,40781,4552,2154,1205,1193,5033,5039,-6,1519,0,-706,2150,99,-51,0,0,27,0,43244,4353,2850,-46,0,-262,-216,325,494,-161,-8,1008,0,9,4425,38,-9,-3455,10188,0,10748,3954,31,0,0,-4545,-8855,-4368,1348510,24329,18362,5639,328,1324181,13733,42461,346967,9374,156847,10526,57099,113121,513065,229740,283325,108521,104228,480,0,1277,1985,551,0,278433,21001,1348510,1353514,531178,43374,14715,16730,11929,29723,29330,393,145378,0,106063,35220,2029,1515,0,0,551,0,565896,37965,-5004
1966,29943,1735,28208,17382,15562,1820,2324,8503,8075,8503,55924,52906,2941,77,56352,47993,8285,5667,2618,74,0,8075,2740,275,5061,5061,5061,5061,0,1873,3608,1735,3188,3188,99405,-574,3849,18187,2846,2063,1444,2619,9215,43426,22634,20792,12234,11752,135,0,92,236,19,0,21634,649,96103,31222,10836,5503,1600,3733,1368,1389,-21,3217,0,374,2482,264,78,0,0,19,0,49478,-18,3302,572,0,458,-114,709,771,-51,-10,-12494,0,-1,-16463,-61,1,4030,-7792,0,1772,-2873,-161,0,0,-6530,-3993,1640,1442070,26856,19977,6457,422,1415214,13159,46286,365154,12220,158910,11970,59718,122336,556490,252374,304116,104232,99517,554,0,1369,2222,570,0,308116,21777,1442070,1445434,562400,54210,20218,18330,15662,31091,30719,372,147333,0,108209,34829,2293,1432,0,0,570,0,612866,37534,-3364
1967,33429,1929,31500,19274,17208,2066,2541,9684,8499,9684,61358,58325,2952,81,62543,53654,8802,5916,2886,87,0,8499,3164,454,4880,4880,4880,4880,0,2036,3965,1929,2844,2844,133535,-1177,4244,40111,3026,10865,3244,10442,12534,45767,25291,20476,14960,14612,42,0,26,252,28,0,25411,4219,120883,59024,3837,120,968,2749,2324,2307,17,427,0,-765,1095,78,-9,0,0,28,0,54051,1220,12652,9191,0,-617,-9807,743,677,68,-2,7198,0,1,13339,104,-1,-6246,14263,3,10204,8384,83,0,0,-4411,-6322,7748,1587889,29568,21513,7504,551,1558321,11982,50747,405265,15246,169775,15214,70160,134870,602281,277665,324616,132634,127468,700,0,1395,2473,598,0,330040,25372,1587889,1583505,621424,58047,20338,19298,18411,33418,33026,392,166431,0,117648,44308,2371,1506,0,0,598,0,665452,38733,4384
1968,37388,2210,35178,21665,19423,2242,2812,10702,9957,10702,71578,66438,5030,110,72323,60389,11841,8623,3218,93,0,9957,3630,797,5531,5531,5531,5531,0,2905,5115,2210,2626,2626,141247,-1615,5406,32046,2474,7953,2767,9529,9323,53268,27749,25519,19506,19029,129,0,8,308,32,0,29402,3235,144324,54687,7349,3767,597,2985,9023,8803,220,3459,0,1055,2512,-153,13,0,0,32,0,61442,8364,-3077,-5580,0,123,5703,1565,1498,65,2,-441,0,5,4737,29,-5,-5207,25788,-2,27780,4412,55,0,0,-6457,-24664,-24713,1742838,33972,24341,8923,708,1708866,10367,56022,437311,17720,177728,17981,79689,144193,655270,305414,349856,156901,151234,858,0,1403,2776,630,0,363794,29201,1742838,1763167,676111,65396,24105,19895,21396,42439,41829,610,202137,0,146483,51232,2218,1574,0,0,630,0,729999,47085,-20329
1969,42119,2569,39551,23822,21422,2400,3194,12535,10420,12535,84545,78779,5639,127,86660,73497,13086,10035,3051,77,0,10420,3614,1262,5546,5546,5546,5546,0,2955,5524,2569,2590,2590,145716,0,224,12693,8938,-8313,1623,1549,8896,67477,40556,26921,26277,21177,610,0,75,376,39,4000,37107,1938,147541,20013,22130,9744,1032,11354,9565,9365,200,9301,0,1632,3331,208,91,0,4000,39,0,73006,13526,-1825,-898,0,3517,4415,1853,1619,216,17,-21381,0,5,-25919,-203,-5,4741,-36694,-1,-19534,-6975,-206,0,0,-9978,17166,21813,1880185,38704,27208,10584,912,1841481,10367,56572,449564,26658,169415,19604,81238,152649,722881,346499,376382,157051,146492,1265,0,1478,3147,669,4000,414348,30698,1880185,1878701,691428,87526,33849,20927,32750,52003,51194,809,184723,0,128581,47588,2426,1459,0,4000,669,0,801737,61284,1484
1970,45284,2940,42344,25845,23166,2679,3240,13260,10365,13260,101462,95414,5904,144,104356,89774,14517,11474,3043,65,0,10365,3977,585,5803,5803,5803,5803,0,2840,5780,2940,2962,2962,162936,365,4321,48441,-154,15340,6761,12560,13934,50817,23710,27107,16390,9236,537,0,129,455,33,6000,40067,2536,163791,65024,12643,9785,2541,317,6760,6641,119,7279,0,-336,1575,-30,37,0,6000,33,0,69939,2146,-855,1704,0,5522,3817,2000,1842,154,5,-488,0,5,-1917,-136,-5,1565,-4280,2,-5774,-2351,-18,0,0,3861,5792,13299,2060956,43464,30267,12012,1185,2017492,10732,60260,498005,26504,184755,26365,93798,166583,773595,370209,403386,171383,153811,1666,0,1607,3597,702,10000,469506,34011,2060956,2046173,756452,100169,43634,23468,33067,58765,57835,930,183859,0,122471,46812,2396,1478,0,10000,702,0,889067,57861,14783
1971,49765,3341,46424,28072,25078,2994,3931,14421,12002,14421,112088,105540,6392,156,114507,98929,15498,11941,3557,80,0,12002,4813,-153,7342,7342,7342,7342,0,3485,6826,3341,3857,3857,210980,-600,5653,47241,-1833,8506,8594,16577,15397,82324,32299,50025,25926,19906,-163,0,11,567,40,5565,42512,7925,208013,96002,11420,5903,4737,780,7924,7732,192,8981,0,3146,117,94,19,0,5565,40,0,76972,6714,2967,687,-3,1580,890,2744,2999,-227,-29,14812,0,8,26619,247,-8,-12054,30292,0,17860,8517,200,0,0,3715,-12736,-4708,2312819,49613,34716,13465,1432,2263206,10132,65863,545246,24671,193261,34959,110375,181980,855822,403041,452781,224167,200336,1750,0,1618,4156,742,15565,519362,42614,2312819,2302744,852987,111589,49537,28205,33847,66689,65567,1122,219417,0,143477,55446,2490,1697,0,15565,742,0,989156,62906,10075
1972,54291,3755,50536,30967,27369,3598,4259,15311,14024,15311,125941,118729,6982,230,127228,110584,16551,12483,4068,93,0,14024,5315,33,8674,8674,8674,8674,0,3539,7295,3755,5135,5135,265751,-544,1493,44821,-1304,5513,11466,11753,17393,134354,65238,69116,30338,21086,-50,0,138,728,51,8385,36928,18362,264884,103447,16699,8409,7417,873,23121,22589,532,9864,0,2652,-1461,240,-3,0,8385,51,0,92480,19273,867,742,-66,5076,4268,2820,2590,221,9,12582,0,35,21416,111,-35,-8945,22477,6,13951,4941,265,0,0,3314,-7075,2341,2619390,55821,38810,15380,1631,2563569,10410,67512,590065,23367,198789,46410,122126,199373,990451,468450,522001,275997,242838,1811,0,1756,4849,793,23950,570406,58728,2619390,2606974,957905,128288,57946,35622,34720,89903,88243,1660,248438,0,160080,58926,2730,1959,0,23950,793,0,1108016,74424,12416
1973,58063,4369,53694,33737,29785,3952,4551,15406,15144,15406,152966,144194,8337,436,153228,134752,18336,15035,3301,140,0,15144,5223,323,9599,9599,9599,9599,0,5224,9593,4369,4376,4376,298119,0,5846,42132,7424,901,13245,9331,11231,162388,86079,76309,24156,14115,858,0,366,882,51,7884,46780,16817,289095,94145,32275,19931,5392,6952,26221,25858,363,11416,0,5568,-1128,546,45,950,5384,51,0,94467,30571,9024,15460,-18,10830,-4648,3788,3414,323,51,-27483,0,18,-46002,-504,-18,19023,-63935,9,-46713,-11163,235,0,0,-6303,40241,65300,2884574,64721,44299,18370,2052,2819853,11567,73261,632197,30791,199690,59655,131457,210604,1152857,554529,598328,253629,210951,2165,0,2122,5713,844,31834,620023,76319,2884574,2806858,1053207,160563,77877,41014,41672,116133,114101,2032,202213,0,118935,46635,3276,2239,950,29334,844,0,1179996,94746,77716
1974,66369,5300,61068,37269,32988,4281,4786,19013,16194,19013,186693,176829,9417,447,189512,169257,20114,16889,3225,141,0,16194,4386,2565,9244,9244,9244,9244,0,6621,11922,5300,2623,2623,250079,85,4845,48794,13220,2480,11022,7038,15034,135609,82443,53166,18180,6730,1142,0,502,1086,53,8667,51948,-9382,250982,82642,42259,21085,7727,13447,18497,18386,111,13879,2379,2177,51,742,54,756,7667,53,0,102273,-8568,-904,2020,-1,5548,3526,9220,6592,2455,174,-33375,0,0,-54145,-784,0,21554,-73723,0,-55212,-11534,-133,0,0,-6844,49568,60832,3128214,80451,53686,24003,2762,3047763,11652,78087,683573,46493,202170,70677,138595,225638,1286786,636657,650129,216880,163536,2523,0,2624,6799,897,40501,702614,68171,3128214,2989666,1136615,201757,97897,48741,55119,134630,132487,2143,149213,2379,65900,35152,4018,2160,1706,37001,897,0,1284519,82932,138548
1975,74924,6511,68413,42179,36355,5824,4964,21270,16630,21270,207444,196857,10077,510,212084,191067,20863,17292,3571,154,0,16630,4356,3559,8715,8715,8715,8715,0,6388,12898,6511,2327,2327,227472,-53,9383,100792,-5493,54065,12744,7737,31739,37070,-3066,40136,24657,9292,387,0,81,1366,32,13499,36403,19220,228368,95765,20028,9395,9323,1310,-17307,-17325,18,16434,1266,-1130,-358,358,338,429,15499,32,0,114323,-875,-896,3356,0,6579,3223,3639,1888,1702,48,25919,0,0,48551,485,0,-23117,31201,0,10206,8240,3,0,0,12752,-1644,10427,3413670,90352,58173,28677,3502,3323318,11599,87390,796416,52933,256353,83421,146332,257377,1321172,630657,690515,290573,221379,3395,0,2705,8165,929,54000,726549,89619,3413670,3264695,1232380,221785,107292,58064,56429,117323,115162,2161,184096,3645,74976,43034,4376,2501,2135,52500,929,0,1422364,86747,148975
1976,81283,7518,73766,46683,40003,6680,5434,21649,17818,21649,215464,204180,10762,523,219295,196291,22813,18912,3901,191,0,17818,5923,923,10973,10973,10973,10973,0,6567,14085,7518,4406,4406,331284,-1,2930,107781,5745,50321,9906,13116,28693,143959,64718,79241,19304,7734,414,305,184,1852,54,8761,55590,1721,325213,121022,27954,14642,7283,6029,27500,26937,563,9858,-241,1921,-2522,481,696,-192,9661,54,0,127254,11625,6071,8213,-5,6553,-1666,4380,3083,1244,53,15453,0,146,26475,301,-119,-11350,31178,91,20578,5998,-68,0,0,4579,-11345,7841,3747198,101155,63531,33392,4232,3646043,11598,90277,904197,58678,306674,93327,159448,286070,1462667,692730,769937,336534,255588,4110,305,2889,9898,983,62761,746965,93805,3747198,3590382,1353402,249739,121934,65347,62458,144914,142099,2815,220462,3404,97475,46510,4857,3129,1943,62161,983,0,1530374,91491,156816
1977,96377,8716,87661,52163,44421,7742,6365,29133,20511,29133,238114,224668,12961,484,246736,218871,27727,21677,6050,138,0,20511,7926,-2636,15219,15219,15219,15219,0,7005,15721,8716,8214,8214,420086,120,11594,102047,15721,13981,16785,22979,32581,220598,103988,116610,21943,10427,375,185,406,2224,46,8280,48384,15400,411467,148619,48378,23066,12516,12796,22853,22996,-143,13828,483,2385,662,697,607,-232,9180,46,0,143128,34661,8619,5360,-10,4965,-405,6723,5531,1202,-10,-9235,0,24,-19536,-139,-24,10440,-13313,75,-6445,-1681,-129,0,0,-5133,10801,31380,4172129,114723,71723,38418,4582,4057406,11718,101798,1006244,74399,320655,110112,182427,318651,1683430,796559,886871,338778,246479,4346,490,3295,12098,1029,71041,806188,109250,4172129,3983933,1502021,297997,145000,77863,75134,168252,165505,2747,226035,3887,93415,45491,5554,3607,1711,71341,1029,0,1668770,120858,188196
1978,114460,10007,104453,59304,50946,8358,6852,38297,28545,38297,279972,264012,15207,753,289724,257445,32071,25896,6175,208,0,28545,10296,-1228,19476,19476,19476,19476,0,10413,20420,10007,9063,9063,506914,65,25017,107901,17080,9326,20439,24732,36324,263824,131253,132571,23644,12922,-461,780,825,1974,49,7555,49799,36665,491367,148086,57886,36673,7270,13943,34556,34359,197,22431,6921,4352,-875,1223,630,262,9869,49,0,159260,69148,15547,6640,0,156,-6484,8502,6991,1458,53,8593,0,49,22396,467,-49,-14270,9868,95,4403,1434,-86,0,0,4022,7227,33343,4710461,133478,82243,46185,5050,4576983,11671,126061,1115645,91479,329981,130551,208659,354975,1946271,926210,1020061,385069,281630,4352,1270,4120,14023,1078,78596,845997,146269,4710461,4488922,1662264,355883,181673,85133,89077,202903,199864,3039,254217,10808,102170,46050,6777,4151,1973,81210,1078,0,1836333,177322,221539
1979,125384,11921,113462,67454,57991,9463,6986,39022,29847,39022,339606,319824,18598,1184,348781,311629,36810,31717,5093,342,0,29847,10118,1849,17880,17880,17880,17880,0,14063,25984,11921,3817,3817,547482,-151,26701,125707,35508,16978,25359,20520,27342,301965,165941,136024,32640,17818,1040,1485,1029,2386,67,8815,48677,11944,531646,152058,81084,47307,6940,26837,47913,47578,335,51828,34406,3246,-833,1551,1944,721,10726,67,0,167430,31333,15836,12444,-36,461,-12019,13505,10409,2840,256,17304,0,54,24480,539,-54,-7715,28111,140,12409,6572,-83,0,0,9073,2698,33021,5312785,160824,98030,56805,5989,5151961,11172,153767,1240543,126987,346739,155713,229035,382069,2249074,1090940,1158134,449084,323928,12341,2755,5149,16355,1145,87411,894669,153652,5312785,5058225,1812855,438287,230300,92073,115914,250956,247442,3514,324943,45214,117825,51789,8328,6012,2694,91936,1145,0,2026959,204225,254560
1980,139759,14448,125311,77815,66788,11027,7854,39642,21279,39642,418460,395667,21611,1182,436822,395499,40983,35988,4995,340,0,21279,7281,2469,11529,11529,11529,11529,0,17168,31616,14448,-5638,-5638,563599,-12,19008,166987,18827,49631,33618,23588,41323,200496,102778,97718,51086,21933,2319,2301,11,2892,58,21572,92649,33386,540378,120498,66720,43585,10210,12925,47145,46706,439,57918,31201,1549,2002,682,2284,-414,20556,58,0,232644,15453,23221,25562,-20,-3277,-28860,14802,10841,3715,246,25922,-633,69,57595,2168,-69,-33208,33677,439,10288,10194,1249,0,0,11507,7047,44138,5925909,192575,116220,69415,6940,5733334,11160,172160,1406644,145354,396289,189331,252551,423119,2448577,1192269,1256308,569798,409866,16828,5056,5160,19178,1203,112507,934973,190022,5925909,5627211,1937851,505007,273885,102283,128839,298540,294148,4392,414418,76415,129662,70395,9010,9545,2172,116016,1203,0,2251974,219421,298698
1981,163523,17262,146261,87540,75282,12258,9237,49484,12367,49484,539657,515497,23196,964,576774,525004,51481,43029,8452,289,0,12367,4321,3717,4328,4328,4328,4328,0,20231,37493,17262,-15903,-15903,661071,-9,42860,199514,53476,72256,34758,13395,25629,273793,195957,77836,49917,27140,-1291,8223,667,3437,75,11666,72797,22199,671101,137355,87916,45532,9704,32680,90450,90114,336,127477,109890,3310,3457,1381,2721,19,6624,75,0,212342,15561,-10030,3903,0,-1970,-5873,12785,8571,3847,367,-21738,-1567,22,-34809,-967,-22,15605,-6751,245,7144,-5018,-562,0,0,-8560,-2202,6028,6620374,225382,135161,82267,7954,6394992,11151,213214,1604591,198830,468581,224089,265039,448052,2721842,1387126,1334716,593917,402197,14570,13279,5827,22593,1278,134173,1043531,206746,6620374,6315648,2075206,589623,319417,108687,161519,389235,384262,4973,553459,186305,140116,68834,10391,11704,2191,132640,1278,0,2475912,232213,304726
1982,178388,20358,158030,98796,84318,14478,9110,50124,11356,50124,623315,599001,23491,823,662083,611136,51271,45970,5301,-324,0,11356,2531,8585,241,241,241,241,0,20962,41320,20358,-20721,-20721,666133,-3,26416,256835,7630,121863,68612,20521,38209,193394,125935,67459,78399,41544,4888,906,442,2963,81,27575,50765,60327,658891,183819,89680,64475,15277,9928,42525,41619,906,78501,33623,4674,9488,858,2476,803,26498,81,0,238647,25719,7242,36109,-22,8168,-27963,8870,6380,2328,162,29609,4242,-232,64099,715,635,-39850,41000,-811,13984,10031,1152,0,0,16644,-2521,33828,7337740,254992,152924,92741,9327,7082748,11148,239745,1867881,212566,591020,289403,286705,488187,2901305,1509818,1391487,730763,507840,20173,14185,6269,16626,1359,164311,1067669,264237,7337740,6999186,2262297,682031,383892,123964,174175,430949,425881,5068,653960,219928,158774,88353,11249,9602,2994,161701,1359,0,2744429,225520,338554
1983,205075,23155,181920,110836,94984,15852,10301,60783,23269,60783,646562,619069,25887,1606,684077,628251,55958,48186,7772,-133,0,23269,4698,9618,8951,8951,8951,8951,0,22642,45797,23155,-13691,-13691,769409,-27,-8507,246870,21908,106850,65586,14851,37675,293550,120429,173121,86252,50304,1100,4185,126,3864,106,26567,109049,42222,797946,256872,106685,67695,17702,21288,31343,30863,480,14386,-40461,3472,25029,204,858,648,24530,106,0,292918,95741,-28536,-7539,-29,7336,14846,3315,4800,-1409,-75,45527,-741,54,99690,3159,2578,-59213,77395,2,37369,13591,1573,0,0,24860,-28553,-27141,8168777,280729,167470,102502,10757,7888048,11121,230815,2114010,234474,697596,354956,301369,525615,3197549,1633248,1564301,922442,657834,24432,18370,6395,23068,1465,190878,1106920,305192,8168777,7857364,2519170,788953,451587,141903,195463,462294,456744,5550,720879,179467,199615,126973,11453,12033,3642,186231,1465,0,3051623,314445,311413
1984,229359,26248,203111,121405,104290,17115,11675,70032,22939,70032,705390,674390,28842,2158,752483,686844,65402,56207,9195,237,0,22939,5537,16056,1345,1345,1345,1345,0,29582,55829,26248,-28236,-28236,997895,-25,20824,322339,53158,109247,54902,25889,79143,495420,290936,204484,47855,5102,2865,4804,805,3233,161,30885,61232,50251,1009673,317207,136145,74977,33141,28027,115984,114443,1541,121913,54087,6164,25127,887,3764,324,31399,161,0,247045,71379,-11778,69049,0,52591,-16458,5885,6848,-959,-4,19030,1510,0,11408,-171,-975,7258,20918,-2,4112,1237,-1402,0,0,16973,3996,74390,9303357,316029,187397,116153,12479,8987328,11096,250970,2451871,287632,807346,410059,327883,618951,3701635,1920885,1780750,980559,674344,27126,23174,7200,25326,1626,221763,1216822,374375,9303357,8917553,2836377,933731,526197,184044,223490,578276,571187,7089,846739,233554,209891,153337,12340,14395,3966,217630,1626,0,3357053,365377,385804
1985,253167,30060,223108,135507,116918,18589,13529,74072,31689,74072,772014,738280,31568,2167,814398,742156,72291,63067,9224,-50,0,31689,10527,15632,5527,5527,5527,5527,0,34050,64110,30060,-28523,-28523,1141913,-6,30685,420339,52250,136850,73532,99491,58216,486076,252017,234059,97557,52760,3844,50,1113,330,155,39305,19965,87298,1145995,261761,189059,99462,46897,42700,113938,113138,800,148704,10249,10452,81934,801,828,752,43533,155,0,302298,130235,-4082,18620,-6,-5815,-24441,5895,5932,182,-220,118015,6205,-1,179632,-19,7549,-75351,187981,0,88771,37694,4485,0,0,57031,-64071,-39924,10712207,355799,210920,130766,14113,10356408,11090,283139,2876391,339882,945631,479619,428848,682411,4196322,2173902,2022420,1277932,906736,42724,23224,8313,33205,1781,261949,1261673,449860,10712207,10366327,3110638,1123671,625659,230941,267071,693715,685826,7889,1127274,243803,309114,272965,13141,19708,4718,262044,1781,0,3828393,482637,345880
