date,Total Nonfinancial,Households and Nonprofits,Nonfinancial Business,Federal Government,State and Local Governments,GDP,Total Nonfinancial Debt Growth,Households and Nonprofits Debt Growth,Nonfinancial Business Debt Growth,Federal Government Debt Growth,State and Local Governments Debt Growth,Nonfinancial Corporate Business,Nonfinancial Noncorporate Business,Noncorporate Business; Nonmortgage Depository Loans,Noncorporate Business; Mortgages,Noncorporate Business; Other,Corporate Business; Corporate Bonds,Corporate Business; Nonmortgage Depository Loans,Corporate Business; Mortgages,Corporate Business; Commercial Paper,Corporate Business; Other,Total Nonfinancial; Ratio to GDP,Households and Nonprofits; Ratio to GDP,Nonfinancial Business; Ratio to GDP,Federal Government; Ratio to GDP,State and Local Governments; Ratio to GDP,Nonfinancial Corporate Business; Ratio to GDP,Nonfinancial Noncorporate Business; Ratio to GDP,Noncorporate Nonmortgage Depository Loans; Ratio to GDP,Noncorporate Mortgages; Ratio to GDP,Noncorporate Other Nonfinancial Debt; Ratio to GDP,Corporate Bonds; Ratio to GDP,Corporate Nonmortgage Depository Loans; Ratio to GDP,Corporate Mortgages; Ratio to GDP,Corporate Commercial Paper; Ratio to GDP,Corporate Other; Ratio to GDP,Households and Nonprofits; Share of Total Nonfinancial Debt,Nonfinancial Business; Share of Total Nonfinancial Debt,Federal Governments; Share of Total Nonfinancial Debt,State and Local Governments; Share of Total Nonfinancial Debt,Nonfinancial Corporate Business; Share of Total Nonfinancial Business Debt,Nonfinancial Noncorporate Business; Share of Total Nonfinancial Business Debt,Noncorporate Nonmortgage Depository Loans; Share of Nonfinancial Noncorporate Business Debt,Noncorporate Mortgages; Share of Nonfinancial Noncorporate Business Debt,Noncorporate Other; Share of Nonfinancial Noncorporate Business Debt,Corporate Bonds; Share of Nonfinancial Corporate Business Debt,Corporate Nonmortgage Depository Loans; Share of Nonfinancial Corporate Business Debt,Corporate Mortgages; Share of Nonfinancial Corporate Business Debt,Corporate Commercial Paper; Share of Nonfinancial Corporate Business Debt,Corporate Other; Share of Nonfinancial Corporate Business Debt
2021:Q4,65059542,17932849,18541004,25314346,3271343,24008472,8.24,7.978,6.668,10.804,-0.893,11650471,6890532,1569229,4911439,409864,6652249,1066571,859285,138243,2934123,2.71,0.747,0.772,1.054,0.136,0.485,0.287,0.065,0.205,0.017,0.277,0.044,0.036,0.006,0.122,0.276,0.285,0.389,0.05,0.628,0.372,0.228,0.713,0.059,0.571,0.092,0.074,0.012,0.252
2021:Q3,63747647,17583334,18237084,24648566,3278662,23202344,2.609,6.162,4.728,-1.323,1.855,11458088,6778996,1548391,4827513,403093,6690997,1005716,812894,123108,2825373,2.747,0.758,0.786,1.062,0.141,0.494,0.292,0.067,0.208,0.017,0.288,0.043,0.035,0.005,0.122,0.276,0.286,0.387,0.051,0.628,0.372,0.228,0.712,0.059,0.584,0.088,0.071,0.011,0.247
2021:Q2,63324886,17317446,18013562,24730352,3263527,22740959,6.517,7.736,1.834,9.585,3.181,11260712,6752849,1607599,4757266,387984,6622345,1038852,773906,110147,2715462,2.785,0.762,0.792,1.087,0.144,0.495,0.297,0.071,0.209,0.017,0.291,0.046,0.034,0.005,0.119,0.273,0.284,0.391,0.052,0.625,0.375,0.238,0.704,0.057,0.588,0.092,0.069,0.01,0.241
2021:Q1,62310708,16989871,17931420,24151638,3237779,22038226,6.8,6.711,4.585,8.985,3.415,11215097,6716323,1654623,4699068,362632,6604261,1119953,745489,79093,2666301,2.827,0.771,0.814,1.096,0.147,0.509,0.305,0.075,0.213,0.016,0.3,0.051,0.034,0.004,0.121,0.273,0.288,0.388,0.052,0.625,0.375,0.246,0.7,0.054,0.589,0.1,0.066,0.007,0.238
2020:Q4,61270383,16710657,17728293,23621060,3210373,21477597,5.101,6.08,0.497,8.42,1.539,11074946,6653346,1654539,4646361,352447,6490923,1111758,724039,132202,2616024,2.853,0.778,0.825,1.1,0.149,0.516,0.31,0.077,0.216,0.016,0.302,0.052,0.034,0.006,0.122,0.273,0.289,0.386,0.052,0.625,0.375,0.249,0.698,0.053,0.586,0.1,0.065,0.012,0.236
2020:Q3,60500486,16461934,17706382,23134099,3198072,21138574,4.133,5.551,0.131,6.032,5.571,11080080,6626302,1716276,4575561,334465,6492671,1178190,713735,103707,2591777,2.862,0.779,0.838,1.094,0.151,0.524,0.313,0.081,0.216,0.016,0.307,0.056,0.034,0.005,0.123,0.272,0.293,0.382,0.053,0.626,0.374,0.259,0.691,0.05,0.586,0.106,0.064,0.009,0.234
2020:Q2,59884022,16238723,17700740,22790415,3154145,19477444,26.737,-0.102,15.22,62.502,3.528,11168728,6532011,1709705,4518915,303392,6433686,1366931,703235,121359,2543517,3.075,0.834,0.909,1.17,0.162,0.573,0.335,0.088,0.232,0.016,0.33,0.07,0.036,0.006,0.131,0.271,0.296,0.381,0.053,0.631,0.369,0.262,0.692,0.046,0.576,0.122,0.063,0.011,0.228
2020:Q1,56133875,16244734,17052034,19710539,3126568,21481367,11.665,3.569,18.883,14.089,0.967,10756185,6295849,1573440,4462267,260143,5998461,1367638,692952,189173,2507961,2.613,0.756,0.794,0.918,0.146,0.501,0.293,0.073,0.208,0.012,0.279,0.064,0.032,0.009,0.117,0.289,0.304,0.351,0.056,0.631,0.369,0.25,0.709,0.041,0.558,0.127,0.064,0.018,0.233
2019:Q4,54541523,16099100,16283500,19039898,3119025,21694458,3.33,3.506,2.252,4.154,3.042,10146999,6136501,1481208,4398904,256388,5815713,1033990,678620,194530,2424146,2.514,0.742,0.751,0.878,0.144,0.468,0.283,0.068,0.203,0.012,0.268,0.048,0.031,0.009,0.112,0.295,0.299,0.349,0.057,0.623,0.377,0.241,0.717,0.042,0.573,0.102,0.067,0.019,0.239
2019:Q3,54094936,15962688,16192561,18844202,3095486,21505012,5.807,3.186,5.851,8.863,0.783,10128152,6064409,1478526,4334541,251342,5816955,1041411,674393,200412,2394981,2.515,0.742,0.753,0.876,0.144,0.471,0.282,0.069,0.202,0.012,0.27,0.048,0.031,0.009,0.111,0.295,0.299,0.348,0.057,0.625,0.375,0.244,0.715,0.041,0.574,0.103,0.067,0.02,0.236
